model_id,model_name,model_version,model_type,training_dataset_version,artifact_uri,deployment_status
b311ebfa-a17e-40d1-abfa-e8ae4039116b,document-intelligence,v2.9.9,Classifier,exim-ds-2024-08,s3://allcargo-exim-models/classifier/1d3c10ff5a96,Production
3dda1d10-8011-4ca0-af28-409eb11a9524,anomaly-detector,v2.7.4,Classifier,exim-ds-2026-06,s3://allcargo-exim-models/classifier/2d0a8a7399e2,Testing
2633334e-462a-4975-8cba-923f9dd30d12,eta-regressor,v1.1.6,Anomaly,exim-ds-2024-11,s3://allcargo-exim-models/anomaly/6cdd9650fc6b,Testing
d59a53e2-44a6-4a08-acba-d597eb52062d,document-intelligence,v3.4.2,Classifier,exim-ds-2025-09,s3://allcargo-exim-models/classifier/430a9f8b776b,Testing
34493434-052e-4ee4-9d58-2f8fba336f67,risk-summary-llm,v2.7.9,LLM,exim-ds-2024-05,s3://allcargo-exim-models/llm/7746ecc9b479,Production
e60a5a37-d399-4ba2-a4ab-fc280ae802c8,anomaly-detector,v1.0.5,Classifier,exim-ds-2024-01,s3://allcargo-exim-models/classifier/3df89fec69ae,Draft
3b51d3f3-2410-45d9-bfd1-4e2aa68fd5f2,delay-risk-classifier,v3.7.6,Anomaly,exim-ds-2026-06,s3://allcargo-exim-models/anomaly/99f3b15d55e7,Draft
49a222ef-85b1-4ed3-b2e8-ff0c1dbe7ef0,delay-risk-classifier,v3.6.9,Classifier,exim-ds-2026-05,s3://allcargo-exim-models/classifier/d0ab9a24093a,Production
8e5c3b37-7400-4f32-9d02-0b47703a9ea3,eta-regressor,v4.2.5,Classifier,exim-ds-2024-11,s3://allcargo-exim-models/classifier/b7fc3b1cf5a2,Draft
bb837292-0d60-4c18-a332-576bc203c54e,risk-summary-llm,v3.0.1,Classifier,exim-ds-2025-05,s3://allcargo-exim-models/classifier/7b223086a5f5,Testing
31fca56b-da2e-4a1f-8a83-27a0f74edf6d,risk-summary-llm,v4.0.4,Classifier,exim-ds-2024-07,s3://allcargo-exim-models/classifier/7e73a59afd9c,Production
fc64b411-7715-4cad-8dc7-c32eab26b355,eta-regressor,v1.3.0,Classifier,exim-ds-2025-06,s3://allcargo-exim-models/classifier/f2955ba6adfb,Production
1cfb0b15-69a6-4884-978a-db7a647543bc,risk-summary-llm,v4.9.2,Regressor,exim-ds-2026-12,s3://allcargo-exim-models/regressor/79a93cd8ffa3,Retired
9a433319-6d31-4ba8-a33c-74d43ab56154,delay-risk-classifier,v3.3.0,Anomaly,exim-ds-2025-04,s3://allcargo-exim-models/anomaly/3f4e2bd77f3a,Production
a5e3438b-7e9e-4c08-80bd-9be4ed3ef0f1,eta-regressor,v4.5.4,Anomaly,exim-ds-2026-06,s3://allcargo-exim-models/anomaly/81080a70503a,Production
d6b24ccf-45f5-45ab-9ede-8461013a7932,eta-regressor,v1.9.6,Classifier,exim-ds-2024-04,s3://allcargo-exim-models/classifier/08cbc25f8ee2,Draft
583a270d-bf5d-48b4-896d-2b2ea68f417a,risk-summary-llm,v3.0.3,NLP,exim-ds-2025-03,s3://allcargo-exim-models/nlp/ba7f56915515,Retired
d39053ae-7040-4e31-b699-b422c8d463ac,anomaly-detector,v3.2.4,Classifier,exim-ds-2024-03,s3://allcargo-exim-models/classifier/f436a2a3b042,Testing
f015bc04-1680-452c-ba8a-69a5cfb706a6,document-intelligence,v4.8.2,Classifier,exim-ds-2026-03,s3://allcargo-exim-models/classifier/ef6189093b13,Production
d1d9bc11-c403-46a4-89b9-00eca8f0be9c,eta-regressor,v4.2.8,Classifier,exim-ds-2025-12,s3://allcargo-exim-models/classifier/d852380aa07c,Production
b5f39e16-e13e-4149-a11e-b2be0dc9c2e9,eta-regressor,v2.7.0,Anomaly,exim-ds-2025-08,s3://allcargo-exim-models/anomaly/0c3ee20955f7,Draft
d6344242-9a95-4a02-a241-dbabb6256a45,document-intelligence,v1.4.6,Anomaly,exim-ds-2024-03,s3://allcargo-exim-models/anomaly/2ede160c90e8,Retired
ddf509e4-212a-401a-972a-10d2fbcf13ef,risk-summary-llm,v4.5.9,NLP,exim-ds-2025-10,s3://allcargo-exim-models/nlp/20bcd789c47a,Draft
bea269d8-77a9-46a1-b10b-aabeb0bedd3e,anomaly-detector,v3.2.3,Classifier,exim-ds-2025-06,s3://allcargo-exim-models/classifier/1c020208e8e9,Testing
aa980c50-b17b-4c21-8111-e1c652d83d4b,eta-regressor,v2.2.5,NLP,exim-ds-2024-11,s3://allcargo-exim-models/nlp/13664ce280b9,Retired
5fd4353a-e437-4b4e-8b82-65e1f11e7bf4,risk-summary-llm,v4.4.0,Anomaly,exim-ds-2025-02,s3://allcargo-exim-models/anomaly/b1d538fa2c39,Production
2a36af88-38bb-4922-bcf9-59d26efa4903,anomaly-detector,v1.1.7,Classifier,exim-ds-2026-12,s3://allcargo-exim-models/classifier/1ee048e9527d,Testing
6e16b056-a877-4a3d-a39f-ed64b106f659,delay-risk-classifier,v3.4.3,Classifier,exim-ds-2024-06,s3://allcargo-exim-models/classifier/b05abb17c309,Production
4810b924-e879-4542-999d-645d89d176ab,eta-regressor,v2.9.2,Classifier,exim-ds-2026-10,s3://allcargo-exim-models/classifier/730b86212258,Retired
ead74e34-9333-4f77-80cb-70fc6e12ceeb,delay-risk-classifier,v2.9.0,Classifier,exim-ds-2025-05,s3://allcargo-exim-models/classifier/4865e7239dba,Draft
a7fcd2ed-a300-4409-a21f-c7d13f9e67b3,anomaly-detector,v4.0.8,Classifier,exim-ds-2026-11,s3://allcargo-exim-models/classifier/6c214c9f8f2e,Production
f5aaa9ec-d36b-4c4b-8468-194b0aa6526b,eta-regressor,v1.4.0,Regressor,exim-ds-2025-03,s3://allcargo-exim-models/regressor/acc777472075,Draft
5ef9c86e-eccd-47ec-9c6b-9e45979b082a,risk-summary-llm,v3.0.1,Classifier,exim-ds-2026-08,s3://allcargo-exim-models/classifier/b05f64dcef32,Production
2b6bda61-ba55-4598-981d-eef9631a3b3c,document-intelligence,v4.4.4,NLP,exim-ds-2025-09,s3://allcargo-exim-models/nlp/bb2b2abe68e3,Testing
22aca722-0cb2-4603-aaf9-10287cfe38e6,risk-summary-llm,v1.9.9,NLP,exim-ds-2025-11,s3://allcargo-exim-models/nlp/0e3b46c938e8,Testing
fd54a93d-e651-42d7-a240-f8b053df0f73,anomaly-detector,v2.0.0,Classifier,exim-ds-2024-01,s3://allcargo-exim-models/classifier/6a71f897602c,Testing
f39d3c8f-0342-420a-b388-ec365181e89d,document-intelligence,v1.8.3,Classifier,exim-ds-2026-06,s3://allcargo-exim-models/classifier/cb762afd1cab,Production
890027d9-f8b6-4eeb-a55f-19d188919568,document-intelligence,v4.6.8,Anomaly,exim-ds-2026-02,s3://allcargo-exim-models/anomaly/de67ea7152e5,Retired
aaed47f6-45c4-4d90-9417-b6e3826b1b1b,anomaly-detector,v3.9.1,Classifier,exim-ds-2025-08,s3://allcargo-exim-models/classifier/4f0ff159e679,Production
56ad178c-0818-4525-9d12-dd97975978cb,delay-risk-classifier,v1.8.7,Regressor,exim-ds-2024-01,s3://allcargo-exim-models/regressor/40e61fd7ee56,Retired
700ddec0-e3f3-48c7-ab0c-7189c10a4717,delay-risk-classifier,v4.6.3,Classifier,exim-ds-2025-05,s3://allcargo-exim-models/classifier/b169cb99a954,Production
c401acf4-12a3-4638-8a1e-fbfa00233718,eta-regressor,v3.9.4,NLP,exim-ds-2026-07,s3://allcargo-exim-models/nlp/dd9d12e780eb,Production
70096260-33e3-405d-af28-135bf388f8c9,eta-regressor,v1.6.6,Classifier,exim-ds-2026-09,s3://allcargo-exim-models/classifier/aba3c6d284a4,Draft
a3a30ef7-895e-40ea-be5e-672fde9432f6,risk-summary-llm,v2.3.5,Classifier,exim-ds-2024-09,s3://allcargo-exim-models/classifier/eb2facb42cf4,Production
3a8b6ff2-f26c-464f-98f7-9fa33b0a0925,document-intelligence,v4.4.7,Regressor,exim-ds-2024-09,s3://allcargo-exim-models/regressor/c5540db4db23,Testing
deccc76e-c582-4549-91d0-d1ee2a4049fa,eta-regressor,v1.3.6,Classifier,exim-ds-2024-05,s3://allcargo-exim-models/classifier/dd2bba2a0bc9,Production
de26d6eb-38a8-4304-8d38-0ed771fe59f2,risk-summary-llm,v2.7.5,NLP,exim-ds-2026-06,s3://allcargo-exim-models/nlp/e76402d0f3c4,Production
a792fae5-fbb0-49cd-adb3-5138060c59c3,eta-regressor,v2.2.8,Classifier,exim-ds-2025-10,s3://allcargo-exim-models/classifier/8ec58d282422,Draft
971f5415-d1f5-44c3-8863-ab98381bfdda,eta-regressor,v3.7.2,Classifier,exim-ds-2024-09,s3://allcargo-exim-models/classifier/69bf184a6343,Draft
93b23839-7fda-4ae1-b230-e2489955ec42,risk-summary-llm,v2.3.0,NLP,exim-ds-2026-03,s3://allcargo-exim-models/nlp/006dea522f93,Draft
8224db99-ffed-4e26-bc44-97e4ccdb551d,anomaly-detector,v3.8.9,Classifier,exim-ds-2026-03,s3://allcargo-exim-models/classifier/f8825b52f33c,Production
737ae068-7e0f-4503-9e19-65dd2636998a,risk-summary-llm,v2.5.4,LLM,exim-ds-2025-12,s3://allcargo-exim-models/llm/75e22d491bf8,Testing
807e05e7-e449-48ed-bd55-72e559c30137,document-intelligence,v4.7.4,Anomaly,exim-ds-2025-03,s3://allcargo-exim-models/anomaly/cd2724afe8b2,Retired
464f7a85-39bd-4239-b040-0ef0dc73c032,document-intelligence,v1.0.6,NLP,exim-ds-2026-03,s3://allcargo-exim-models/nlp/cf53e5da3a29,Retired
6d183d2e-eabb-4294-8a8f-e08d1a4f8af8,eta-regressor,v4.6.0,Classifier,exim-ds-2025-09,s3://allcargo-exim-models/classifier/e99bc9aa2666,Testing
ddd34c38-8891-4b52-a827-2032135d2d79,risk-summary-llm,v2.9.0,Regressor,exim-ds-2025-08,s3://allcargo-exim-models/regressor/088abe9d6c9e,Draft
aeb40fb5-d922-4265-891b-0ebdfe8e6612,document-intelligence,v2.5.0,LLM,exim-ds-2026-10,s3://allcargo-exim-models/llm/6e6df0c5a629,Production
f8641a92-c193-4b76-a737-dd41ef60b1d0,delay-risk-classifier,v1.0.8,Anomaly,exim-ds-2026-07,s3://allcargo-exim-models/anomaly/ceb6d1ece9d4,Production
824ad9df-b3a4-4ebd-b0ad-d8b2433ef005,risk-summary-llm,v2.6.4,Regressor,exim-ds-2025-10,s3://allcargo-exim-models/regressor/15d8ec9e99cf,Retired
8fca4091-cb2c-499f-b47e-6b361dcc2c9a,delay-risk-classifier,v2.9.0,Classifier,exim-ds-2026-12,s3://allcargo-exim-models/classifier/bf424f49087b,Testing
b005456e-8ad9-40cb-96c4-8103a0d6e1b0,anomaly-detector,v2.7.3,Anomaly,exim-ds-2025-04,s3://allcargo-exim-models/anomaly/ced504331cdd,Production
463e9c23-e8e6-4e63-83c8-40dc2c1e9d6c,document-intelligence,v1.0.3,Anomaly,exim-ds-2026-05,s3://allcargo-exim-models/anomaly/b9f7bea82b52,Testing
3d087144-82b1-4113-976b-e9190258fdc8,risk-summary-llm,v1.7.8,Regressor,exim-ds-2025-11,s3://allcargo-exim-models/regressor/6d05aae4d62f,Production
8c02a3f1-15e0-4268-9680-8ffc028ab88c,anomaly-detector,v4.2.7,LLM,exim-ds-2025-05,s3://allcargo-exim-models/llm/0667f2d18b4c,Testing
4f3b6107-ab01-42b0-99a0-951a211c8ec1,anomaly-detector,v3.6.8,NLP,exim-ds-2024-07,s3://allcargo-exim-models/nlp/103b50f268bc,Draft
cfbe8e18-7369-4f73-93c2-dfb84ecd8680,eta-regressor,v4.1.9,Classifier,exim-ds-2026-02,s3://allcargo-exim-models/classifier/24050051cc6b,Testing
4f79fc6c-2ba7-4fb0-803b-0b7e6b595c0e,document-intelligence,v3.9.5,Regressor,exim-ds-2025-04,s3://allcargo-exim-models/regressor/6abfb269fb09,Draft
8b2fbb95-6aa0-4c76-97cb-910947a98caf,eta-regressor,v4.7.4,Anomaly,exim-ds-2025-05,s3://allcargo-exim-models/anomaly/172ddc5cf25e,Retired
e6f94240-d7c7-46a2-a8a7-3d95fb00fe5a,anomaly-detector,v3.5.0,Classifier,exim-ds-2026-04,s3://allcargo-exim-models/classifier/a47c81fcda9f,Production
e4688b4f-87af-479c-be59-8f1d1ec9de91,eta-regressor,v3.1.8,Regressor,exim-ds-2024-05,s3://allcargo-exim-models/regressor/92f092041ff6,Production
ae24b3ab-db73-45e7-bceb-bb48aa261151,eta-regressor,v4.6.8,Regressor,exim-ds-2026-12,s3://allcargo-exim-models/regressor/3eb9d7feb499,Production
19edbb75-1119-4eda-8b05-70a2ade61975,document-intelligence,v1.8.9,NLP,exim-ds-2024-12,s3://allcargo-exim-models/nlp/000ee3886a80,Testing
6eac862f-c59c-4788-ae94-73815abb6151,delay-risk-classifier,v2.9.3,NLP,exim-ds-2025-03,s3://allcargo-exim-models/nlp/1733dab55b65,Retired
5c5eeccb-dd24-4594-ab28-058fd4fd05ec,document-intelligence,v3.5.1,Anomaly,exim-ds-2024-08,s3://allcargo-exim-models/anomaly/247d51d9152c,Production
b17beca6-d051-48ef-9ee0-7ff829cf1d5e,risk-summary-llm,v3.9.1,NLP,exim-ds-2024-09,s3://allcargo-exim-models/nlp/e7f5ed1b6be0,Testing
aba5493f-47ff-4ee6-aa82-486fa3b0c887,delay-risk-classifier,v4.8.6,Anomaly,exim-ds-2026-06,s3://allcargo-exim-models/anomaly/f70aa584bd62,Production
037eb790-1cfa-4fe0-9243-952fd87cc070,risk-summary-llm,v4.6.2,Classifier,exim-ds-2025-04,s3://allcargo-exim-models/classifier/3e4792b39e7b,Production
dae4d472-6a61-4c19-86d7-8bf0eb5e31fa,document-intelligence,v1.7.3,NLP,exim-ds-2025-06,s3://allcargo-exim-models/nlp/395f5d51129d,Production
c6661732-c225-4954-bed4-403d9c4420b2,document-intelligence,v4.7.6,Classifier,exim-ds-2026-04,s3://allcargo-exim-models/classifier/07db9c6183ef,Retired
291e2eb8-d551-458e-8bec-2694b3aadd30,delay-risk-classifier,v2.9.7,LLM,exim-ds-2024-11,s3://allcargo-exim-models/llm/652fd90ddf51,Testing
6c013724-32fe-4631-93e2-7b6db39af225,anomaly-detector,v3.1.1,Classifier,exim-ds-2026-12,s3://allcargo-exim-models/classifier/fb20d79ee0d8,Testing
ade499c2-584b-4ea1-97e9-7f0e84238342,eta-regressor,v3.7.7,Classifier,exim-ds-2026-04,s3://allcargo-exim-models/classifier/dff2d12a8e5d,Production
b1ce78a1-31e9-46b4-ab19-93ffa8b0c24a,risk-summary-llm,v3.2.7,NLP,exim-ds-2024-08,s3://allcargo-exim-models/nlp/053f078d4fb8,Production
d3731e3c-f0f8-4262-8147-bae3b5dd03b7,eta-regressor,v1.2.9,LLM,exim-ds-2025-06,s3://allcargo-exim-models/llm/8d7e8c817316,Testing
f703d587-98cb-4489-827f-f3ace0120051,delay-risk-classifier,v4.7.6,Classifier,exim-ds-2024-12,s3://allcargo-exim-models/classifier/02accde38731,Testing
b77d1b7d-6502-4952-ad45-432d625a41ee,delay-risk-classifier,v1.9.0,Regressor,exim-ds-2024-03,s3://allcargo-exim-models/regressor/74bed1c0902a,Retired
d2d5be60-392b-4509-a37d-87a0762f174d,risk-summary-llm,v3.4.4,Classifier,exim-ds-2026-06,s3://allcargo-exim-models/classifier/d883751499cf,Production
3308bd83-c416-4109-b07d-45596b040960,delay-risk-classifier,v2.2.8,Regressor,exim-ds-2026-01,s3://allcargo-exim-models/regressor/7727858f4a3d,Production
b3ff7a54-7b1d-4dcf-b090-f6844a248f7a,risk-summary-llm,v3.5.8,Classifier,exim-ds-2025-12,s3://allcargo-exim-models/classifier/fbaefd618353,Testing
56a15d8d-c543-4888-b3a1-2c79ba8d095a,anomaly-detector,v3.2.2,LLM,exim-ds-2025-04,s3://allcargo-exim-models/llm/11f4d50f5c2a,Testing
dc57d0bc-3879-4a59-9b3a-55744317ad19,document-intelligence,v4.4.9,Classifier,exim-ds-2025-01,s3://allcargo-exim-models/classifier/f059c9979066,Testing
0b688c9c-313f-4f28-85e5-ecb0f98c1164,eta-regressor,v2.8.5,NLP,exim-ds-2025-05,s3://allcargo-exim-models/nlp/af42d69cb2ce,Testing
762612fc-5d5f-4cea-9258-bdd13101fd91,anomaly-detector,v1.3.5,LLM,exim-ds-2024-05,s3://allcargo-exim-models/llm/98efbcf9a236,Testing
34a6ff76-791a-49d0-9d50-4c85ff484193,delay-risk-classifier,v2.5.4,Regressor,exim-ds-2026-09,s3://allcargo-exim-models/regressor/8f5cb06fa7cc,Draft
63c81723-b5f3-489c-a3f6-339eaf49ede2,eta-regressor,v2.4.8,Anomaly,exim-ds-2025-12,s3://allcargo-exim-models/anomaly/e94555ce6a32,Production
2b9b001c-8127-4595-9824-b79aba8762b6,delay-risk-classifier,v3.4.7,Regressor,exim-ds-2026-05,s3://allcargo-exim-models/regressor/75860578571a,Draft
68d6f50f-35f6-4442-a081-5dc871295dc7,document-intelligence,v4.4.7,Regressor,exim-ds-2024-02,s3://allcargo-exim-models/regressor/a2888ff3b628,Production
032f5227-db40-4cd5-be58-8fda4f31555f,risk-summary-llm,v4.6.5,LLM,exim-ds-2026-08,s3://allcargo-exim-models/llm/b05d39f455fe,Draft
6a705ca1-2a18-45fb-a5f8-0de7b76dd630,anomaly-detector,v4.3.5,NLP,exim-ds-2024-12,s3://allcargo-exim-models/nlp/0543902be13e,Retired
1561d5fa-20ae-4221-be3f-f27537763bb8,eta-regressor,v1.6.4,NLP,exim-ds-2024-04,s3://allcargo-exim-models/nlp/36f70750cdf4,Production
6047494a-ff37-4103-bf14-e81e990555da,delay-risk-classifier,v3.6.1,Classifier,exim-ds-2024-12,s3://allcargo-exim-models/classifier/cab80f9d51be,Retired
9e8d0448-d352-4b2b-81d7-b8cdbd5e9b5b,document-intelligence,v1.4.3,Anomaly,exim-ds-2026-03,s3://allcargo-exim-models/anomaly/5e4acf3e2564,Draft
e9aa9c64-d2ae-4de6-99aa-afa6e701b80d,document-intelligence,v1.5.5,NLP,exim-ds-2024-08,s3://allcargo-exim-models/nlp/74026a9a6434,Draft
4c46d710-359a-4b35-a9f8-3187020872fb,delay-risk-classifier,v4.2.7,Anomaly,exim-ds-2024-02,s3://allcargo-exim-models/anomaly/52b8da5119af,Production
33a74518-5043-4690-a0c4-706dcd4d5df5,delay-risk-classifier,v2.3.3,Regressor,exim-ds-2026-09,s3://allcargo-exim-models/regressor/323fee5ee4c7,Draft
cd6b4539-c450-4d7a-86a4-466586093cfc,eta-regressor,v3.2.5,Classifier,exim-ds-2024-10,s3://allcargo-exim-models/classifier/245cfc0b99a0,Testing
76f79ba3-655a-4d97-a767-ab9ed2841f30,document-intelligence,v1.6.5,NLP,exim-ds-2024-03,s3://allcargo-exim-models/nlp/99c2f708d71e,Testing
bc4c95b5-8446-41d0-b41e-b16ec33e68d8,document-intelligence,v2.1.8,Classifier,exim-ds-2025-04,s3://allcargo-exim-models/classifier/683e0382dc76,Testing
d158e663-0625-4de4-a99b-eda65a584643,risk-summary-llm,v4.0.3,Classifier,exim-ds-2025-11,s3://allcargo-exim-models/classifier/546cba0cb0e9,Production
412fbe02-07c9-4e7d-b0d8-82fca70665c7,anomaly-detector,v3.8.8,Classifier,exim-ds-2024-07,s3://allcargo-exim-models/classifier/1a1fade7c215,Testing
78a93d8a-69c2-4e03-a797-bf6398522557,delay-risk-classifier,v2.4.1,Anomaly,exim-ds-2024-10,s3://allcargo-exim-models/anomaly/b4a8c34ca421,Testing
44e50416-f99b-4c2b-9893-7ff431b232ce,risk-summary-llm,v3.5.9,LLM,exim-ds-2025-04,s3://allcargo-exim-models/llm/f4f9e4e9bad8,Production
bd178cfe-e477-4142-aaa6-43d1e2bd2c51,delay-risk-classifier,v1.3.4,Anomaly,exim-ds-2025-02,s3://allcargo-exim-models/anomaly/fc4b2a4aeaa6,Production
0d36f5c3-f45a-4469-af4a-d207bbbb00df,risk-summary-llm,v3.7.0,Classifier,exim-ds-2025-07,s3://allcargo-exim-models/classifier/9cf9da373808,Testing
96474f5b-313d-4966-b20a-95f1eb312a1d,anomaly-detector,v4.6.0,Anomaly,exim-ds-2026-07,s3://allcargo-exim-models/anomaly/0a4077761f53,Draft
3cca1a3c-d70c-4d86-8d6b-9e980c57b1cb,risk-summary-llm,v1.9.9,Classifier,exim-ds-2024-02,s3://allcargo-exim-models/classifier/47df4f8d71d8,Production
8eeb2709-0244-4100-ab38-f7d3270d0828,document-intelligence,v2.1.7,LLM,exim-ds-2024-03,s3://allcargo-exim-models/llm/7c9d9ea317d8,Production
27180b34-beb6-4be0-8ade-b8303a13ea94,eta-regressor,v4.1.2,Classifier,exim-ds-2026-07,s3://allcargo-exim-models/classifier/ab73471f1f8c,Production
6f49c080-2e48-4d65-805c-0100eca116af,eta-regressor,v2.2.7,Classifier,exim-ds-2025-02,s3://allcargo-exim-models/classifier/7da02807d5ce,Retired
a8a233e6-7df6-44fc-ad9e-24b0cdc76a65,delay-risk-classifier,v1.0.0,Classifier,exim-ds-2024-08,s3://allcargo-exim-models/classifier/0122574176c0,Testing
7fbba23a-aaf6-4a41-97a2-694051c6a601,risk-summary-llm,v3.3.6,NLP,exim-ds-2025-02,s3://allcargo-exim-models/nlp/be8fe0960fe4,Production
8fd5a693-bf1a-4cae-aa71-72c408a49fdf,risk-summary-llm,v3.7.2,NLP,exim-ds-2024-12,s3://allcargo-exim-models/nlp/c7c2ab09459b,Production
1b9e10b8-7d77-4e65-9ff1-9b9c3db892b6,anomaly-detector,v1.0.1,NLP,exim-ds-2026-01,s3://allcargo-exim-models/nlp/ff9322048881,Testing
3b6aa6e3-e111-4481-b5ff-e60fd6f5b2f9,document-intelligence,v2.4.7,Anomaly,exim-ds-2026-08,s3://allcargo-exim-models/anomaly/ac599df974e5,Retired
33de53cc-90d5-49d8-ab80-88f282063616,document-intelligence,v3.0.2,Regressor,exim-ds-2026-11,s3://allcargo-exim-models/regressor/73792d83a542,Testing
a5897420-52eb-4c20-849b-c647c7e719ed,delay-risk-classifier,v3.9.8,Classifier,exim-ds-2024-12,s3://allcargo-exim-models/classifier/59e9dd89ad15,Testing
7e113a76-7664-4c93-846a-a85d1605b339,document-intelligence,v2.0.3,Classifier,exim-ds-2026-02,s3://allcargo-exim-models/classifier/17d02966819b,Production
ad3b7133-405f-4d5c-8924-d489d0f01d3e,eta-regressor,v2.5.8,NLP,exim-ds-2025-12,s3://allcargo-exim-models/nlp/e91f522bb180,Production
bcb0e171-ef29-4690-a55a-4bc61493a8fc,anomaly-detector,v4.1.9,LLM,exim-ds-2025-10,s3://allcargo-exim-models/llm/ec3ea89615ea,Production
0b769d81-fb57-4e3a-9749-42678ce37f29,document-intelligence,v1.2.7,Anomaly,exim-ds-2024-11,s3://allcargo-exim-models/anomaly/6c0878aab347,Retired
2ff580a6-5bd3-4f12-ad6b-c3785aa8180c,anomaly-detector,v4.0.6,Classifier,exim-ds-2026-05,s3://allcargo-exim-models/classifier/c9216470a1d3,Production
e6cd537c-5883-435f-9570-82473502f065,document-intelligence,v4.5.1,Classifier,exim-ds-2025-02,s3://allcargo-exim-models/classifier/ab535ff1770f,Draft
5956d29e-4b65-4f8e-ab01-4db1a4b382a0,anomaly-detector,v1.7.1,Classifier,exim-ds-2024-05,s3://allcargo-exim-models/classifier/900169f35cc4,Production
88d0910d-6d2c-40af-b2df-7c8fa6d7aa2f,risk-summary-llm,v2.3.1,Regressor,exim-ds-2024-12,s3://allcargo-exim-models/regressor/b44e3beac39c,Testing
bd7bc595-0661-4e55-bbb0-68f13fe2cbf2,document-intelligence,v2.6.8,Classifier,exim-ds-2024-10,s3://allcargo-exim-models/classifier/d444a573d979,Draft
b5d45c3a-613f-462f-ac0d-2e91d35b4e49,delay-risk-classifier,v2.6.7,Classifier,exim-ds-2025-07,s3://allcargo-exim-models/classifier/e7cc6952db99,Testing
07e9f0ef-14fa-4482-9910-264a1e88b9b9,anomaly-detector,v3.5.0,Regressor,exim-ds-2024-02,s3://allcargo-exim-models/regressor/438c4eb8ad37,Production
98f84d35-057d-47b0-bdd2-939aab6e92c4,anomaly-detector,v2.6.5,Anomaly,exim-ds-2024-09,s3://allcargo-exim-models/anomaly/149b113c601d,Production
476411ce-fa19-4232-a24a-86f28b88ee89,anomaly-detector,v3.2.6,LLM,exim-ds-2025-12,s3://allcargo-exim-models/llm/c8cfc7c37a86,Testing
69c54140-954b-44ec-b320-4f47ab4fb7ad,delay-risk-classifier,v3.2.9,Classifier,exim-ds-2025-10,s3://allcargo-exim-models/classifier/3b441149b2ca,Testing
a99b1a60-82bd-47ca-bb2c-9aa529fa887a,delay-risk-classifier,v2.0.2,Anomaly,exim-ds-2024-01,s3://allcargo-exim-models/anomaly/262678f9292d,Testing
e6dfcb3e-a9e8-4127-a6c0-fb4a03dc403f,risk-summary-llm,v1.5.1,Regressor,exim-ds-2025-08,s3://allcargo-exim-models/regressor/f17387585b27,Production
2451731e-f3f0-4358-af48-93ca80ec1f0a,anomaly-detector,v3.3.4,NLP,exim-ds-2024-04,s3://allcargo-exim-models/nlp/decf5d9e6fab,Draft
fd9bf459-84c3-4a22-a044-d3c76831328a,document-intelligence,v1.0.4,Regressor,exim-ds-2026-05,s3://allcargo-exim-models/regressor/7e9364de16ce,Production
2a14096b-64df-4d0d-b096-98a799fe869e,eta-regressor,v3.6.3,Anomaly,exim-ds-2026-04,s3://allcargo-exim-models/anomaly/697582114c1c,Draft
2da77e00-be34-41f4-a85f-6271fda8c2ac,document-intelligence,v3.3.2,Anomaly,exim-ds-2024-03,s3://allcargo-exim-models/anomaly/f79fb2845945,Draft
a3a8e4bf-3ba9-4e62-ac65-49d680dd6937,document-intelligence,v3.6.6,Classifier,exim-ds-2026-03,s3://allcargo-exim-models/classifier/0029d25998d2,Draft
6c47a42c-270c-4a8b-904a-242f2347e1f7,anomaly-detector,v2.9.5,Classifier,exim-ds-2026-10,s3://allcargo-exim-models/classifier/ea59a009529e,Production
