warehouse_id,warehouse_name,city,state,warehouse_capacity,current_utilization,warehouse_type
f5039090-a9ef-4991-a689-a4dc0571f47c,Los Angeles Distribution Center 22,Los Angeles,Los Angeles,9877,58.63,Regional
23e63cc7-454b-4e23-8061-b03966918180,Amsterdam Distribution Center 23,Amsterdam,Amsterdam,42616,64.81,Regional
c2be6a44-0771-4a12-b67b-ef6e85891f1f,Incheon Regional Hub 24,Incheon,Incheon,47525,77.35,Distribution
7992c7aa-9d20-4349-b61f-48ec46e717be,Hamburg Bonded Warehouse 25,Hamburg,Hamburg,73611,61.67,Regional
eca1b99e-6a5b-43d6-8ca2-f0f10fefa5e6,Singapore Bonded Warehouse 26,Singapore,Singapore,101498,89.39,Bonded
7a640b27-f723-4f97-92f2-ba2961c28fb6,Manchester Bonded Warehouse 27,Manchester,Manchester,57009,46.56,Regional
9924b108-da31-4f20-8f21-25c2e99676ea,Busan Fulfilment Center 28,Busan,Busan,58203,74.11,Distribution
6a0d1da6-1e6f-4c0b-bd01-14e38a5f2737,Tokyo Distribution Center 29,Tokyo,Tokyo,87412,70.63,Regional
0c642723-12b7-4a28-9a43-a4b4a6270187,Frankfurt Fulfilment Center 30,Frankfurt,Frankfurt,61794,81.59,Distribution
4bccdcad-ac16-4b64-b5b8-6c699e61a4fc,Seoul Bonded Warehouse 31,Seoul,Seoul,105205,81.82,Distribution
10704baf-e3b2-4696-ad60-de2406e84218,Hamburg Distribution Center 32,Hamburg,Hamburg,19677,63.38,Regional
57d4e9f0-cd4c-474c-9a99-fe76a712309d,Frankfurt Regional Hub 33,Frankfurt,Frankfurt,82154,84.84,Regional
81bf73ad-b3b6-4755-992e-3763f29eb415,Felixstowe Bonded Warehouse 34,Felixstowe,Felixstowe,41970,71.28,Regional
de51cd50-25b5-4a65-9bea-c01c99a5b181,Hamburg Fulfilment Center 35,Hamburg,Hamburg,61616,78.68,Distribution
d905b07b-adcb-4b1b-9cce-ad171c50c9d6,Dubai Fulfilment Center 36,Dubai,Dubai,23685,92.26,Distribution
8825461b-517b-48f3-bccf-72fe339e7bbe,Kolkata Distribution Center 37,Kolkata,Karnataka,87767,63.25,Distribution
7bb3914d-247e-4c25-b4d8-e63dbc29f5c1,Yokohama Bonded Warehouse 38,Yokohama,Yokohama,30077,60.02,Distribution
81c753e5-e3e1-4caf-931a-da5a82e1058f,Felixstowe Bonded Warehouse 39,Felixstowe,Felixstowe,63581,73.47,Distribution
5a76812d-ad9a-4507-8296-4bc4dd5808e8,Manchester Regional Hub 40,Manchester,Manchester,97557,83.84,Distribution
f522b0da-f175-45c8-a433-e95bb528e5e0,Amsterdam Regional Hub 41,Amsterdam,Amsterdam,111183,59.25,Distribution
2dc73af9-0d0b-4b50-a681-3aa4b546684f,New York Fulfilment Center 42,New York,New York,108845,74.41,Distribution
fe549eec-2029-47b9-b40d-05fe19059520,Rotterdam Bonded Warehouse 43,Rotterdam,Rotterdam,39048,70.52,Distribution
ca4a8bc7-2d61-4fa7-8a79-8b55f736ab8d,Busan Distribution Center 44,Busan,Busan,77002,78.67,Distribution
0b5158b6-a20f-4dbc-897a-9d59cd53d1a8,Rotterdam Distribution Center 45,Rotterdam,Rotterdam,104841,81.8,Distribution
4d931907-d1c4-4d93-a5b0-c1dd26502b00,Houston Fulfilment Center 46,Houston,Houston,94007,63.33,Regional
e64ed163-f40f-4412-b1a4-1d69ecb9efa3,Manchester Fulfilment Center 47,Manchester,Manchester,90656,63.52,Distribution
9c67a33e-2b65-4551-abf1-9800894f9476,Abu Dhabi Regional Hub 48,Abu Dhabi,Abu Dhabi,99191,66.89,Distribution
da3ef86b-a4bf-4fc0-bf3a-af1e8dcbaa53,Shenzhen Distribution Center 49,Shenzhen,Shenzhen,39356,50.81,Distribution
20a3e931-12bf-4845-9f32-35e431adcd9a,Rotterdam Fulfilment Center 50,Rotterdam,Rotterdam,51464,78.15,Distribution
8247d418-41f0-46cb-863e-1a6488c20948,Los Angeles Fulfilment Center 51,Los Angeles,Los Angeles,79236,67.53,Distribution
26efe3e7-b0d7-4a64-a8f9-53c8d2f1b0c6,Frankfurt Distribution Center 52,Frankfurt,Frankfurt,107559,92.93,Regional
72c199b8-ab3e-4821-a3ca-6c407a2665a1,Amsterdam Distribution Center 53,Amsterdam,Amsterdam,27314,71.63,Distribution
d1e7f23c-68f7-4454-9ea4-02083af76d1f,Amsterdam Fulfilment Center 54,Amsterdam,Amsterdam,35293,79.05,Distribution
ec6bbf50-c26c-407d-bae3-50cf584d2c75,Ningbo Regional Hub 55,Ningbo,Ningbo,96250,75.32,Distribution
98b5aea4-df70-41f7-88b0-8e446fdb0afc,Amsterdam Distribution Center 56,Amsterdam,Amsterdam,80555,81.22,Bonded
64ad85d9-42ee-4c41-b958-ac85529e2644,Singapore Distribution Center 57,Singapore,Singapore,19327,66.59,Distribution
159042a4-7b75-4444-a246-87128b9ce47c,Osaka Distribution Center 58,Osaka,Osaka,53028,69.85,Distribution
d59c0dce-3545-4d55-88b4-973bba3fdabe,Amsterdam Fulfilment Center 59,Amsterdam,Amsterdam,20098,69.86,Distribution
539e3dde-75b2-4887-9fd9-6b58abc5c27d,Bremen Distribution Center 60,Bremen,Bremen,63700,74.47,Distribution
6a927055-0e81-499b-a313-294230f71667,Chennai Regional Hub 61,Chennai,Gujarat,68228,80.22,Distribution
714c464b-ed3e-4bff-a209-0caf5f3952db,Tokyo Regional Hub 62,Tokyo,Tokyo,95507,88.52,Regional
755436d9-c2c2-4eb5-94cf-1eea5eec428b,Yokohama Regional Hub 63,Yokohama,Yokohama,119356,67.05,Distribution
16d71d2f-3da9-46f7-baaf-8c1d149903e6,New York Bonded Warehouse 64,New York,New York,119771,75.06,Distribution
4ef47676-c1ac-4e04-8f02-b323c6432e54,Amsterdam Bonded Warehouse 65,Amsterdam,Amsterdam,50470,81.46,Regional
a640c1d0-67c5-4f6b-bffa-065e43bab936,Singapore Distribution Center 66,Singapore,Singapore,31974,71.55,Distribution
f9268ec8-e33d-4a7e-8062-9c07d7b0b945,Los Angeles Fulfilment Center 67,Los Angeles,Los Angeles,75157,66.61,Regional
e6e59e8f-78ab-4477-8aef-b1aae28d180f,Ningbo Bonded Warehouse 68,Ningbo,Ningbo,84069,91.72,Regional
67ae3565-3ae3-4e82-9386-5dea6a9d1123,Rotterdam Regional Hub 69,Rotterdam,Rotterdam,91548,46.47,Distribution
a7d13caa-27ce-4b7f-9041-44693eb90a36,Rotterdam Fulfilment Center 70,Rotterdam,Rotterdam,14296,77.16,Regional
f7f8e33d-de8b-4076-9189-b7555bc9a655,Dubai Regional Hub 71,Dubai,Dubai,67756,73.79,Bonded
37cb15d8-70bf-4ff8-8969-ab942c871ead,Amsterdam Regional Hub 72,Amsterdam,Amsterdam,110439,59.99,Distribution
8ed38164-db52-402c-a4ca-b2079568883c,Yokohama Distribution Center 73,Yokohama,Yokohama,18810,67.86,Distribution
79680500-a4e4-446f-bf47-7d3368ff65fe,Abu Dhabi Regional Hub 74,Abu Dhabi,Abu Dhabi,100922,64.05,Bonded
dc22b864-2385-49fd-bd65-bbdd97b183e5,Singapore Fulfilment Center 75,Singapore,Singapore,84443,50.57,Regional
e5aa04ef-127c-462a-891f-385e01dc6925,Houston Distribution Center 76,Houston,Houston,9754,47.6,Distribution
2d865a89-74b4-4279-9f76-90a08dbaf5e9,Frankfurt Distribution Center 77,Frankfurt,Frankfurt,65569,79.6,Distribution
726b7c83-be95-4868-975b-46e25c6d17c9,Dubai Bonded Warehouse 78,Dubai,Dubai,29460,81.99,Distribution
b339bc72-3846-4563-b4d9-982821013a9c,Rotterdam Distribution Center 79,Rotterdam,Rotterdam,30152,59.71,Distribution
f19cec92-208b-4426-b42a-de62a4fdeea2,London Bonded Warehouse 80,London,London,16549,89.65,Regional
8882c9e0-6ed6-4c96-8ffc-a8659b2e3887,Bremen Fulfilment Center 81,Bremen,Bremen,68711,50.65,Distribution
451fdf0e-9f6e-4a75-9c31-0e011462a5bc,Houston Fulfilment Center 82,Houston,Houston,86179,85.74,Distribution
a416671b-21d0-4249-8674-19ff64064ef8,Osaka Distribution Center 83,Osaka,Osaka,51449,79.79,Bonded
ee0a3c95-baee-4d9b-9f4c-e046aa582c7d,Frankfurt Regional Hub 84,Frankfurt,Frankfurt,65543,66.83,Regional
f4e2d2d3-c3b7-43b7-9595-f64eaaffd646,Osaka Bonded Warehouse 85,Osaka,Osaka,37711,98.0,Regional
610f1dae-c8c8-486d-9d46-7ea467bf9a26,Mumbai Distribution Center 86,Mumbai,West Bengal,25647,88.66,Regional
2be54c40-3d69-4060-954b-32a91a631b03,Kolkata Bonded Warehouse 87,Kolkata,Karnataka,15657,85.42,Distribution
4bffcdba-5d83-4411-b5fc-35a9c63837b2,Los Angeles Bonded Warehouse 88,Los Angeles,Los Angeles,29742,70.96,Distribution
a180a71f-bace-4b2c-bf12-af9cebcde09b,Busan Fulfilment Center 89,Busan,Busan,55840,63.85,Distribution
8d91ebac-a3ad-4051-b1f2-01e85d9738ec,Shanghai Fulfilment Center 90,Shanghai,Shanghai,74206,68.07,Distribution
250e6020-db4d-4367-9f0a-ae55a56e7820,Amsterdam Distribution Center 91,Amsterdam,Amsterdam,81726,71.71,Distribution
8c480320-9c6e-410b-89e0-02731ff92cde,Seoul Regional Hub 92,Seoul,Seoul,86973,73.73,Distribution
bc7f5f53-240f-44f2-bf7b-cc15e09731cc,Amsterdam Fulfilment Center 93,Amsterdam,Amsterdam,52951,84.27,Regional
8634f151-7f4d-43a9-bf93-5fd2ec79fcde,Incheon Bonded Warehouse 94,Incheon,Incheon,27616,77.88,Bonded
540dc4e6-2e95-47c0-b884-60d7c9f69462,Amsterdam Bonded Warehouse 95,Amsterdam,Amsterdam,65713,82.94,Bonded
0a73ce57-4d37-4648-9de2-f06661ebcf54,Incheon Bonded Warehouse 96,Incheon,Incheon,115661,71.06,Distribution
4882872d-6c29-43bd-a760-6dce770f7567,Singapore Bonded Warehouse 97,Singapore,Singapore,33263,68.25,Regional
d10eed5a-b05b-4cae-99e8-e7281c596fc1,Singapore Regional Hub 98,Singapore,Singapore,41251,68.81,Distribution
3ff4fa42-e06e-4df5-9fee-8ffe4499ad6a,Delhi Regional Hub 99,Delhi,West Bengal,105324,66.07,Bonded
4a11f47c-8719-4c0b-9969-f3335c0a6838,Incheon Regional Hub 100,Incheon,Incheon,49279,60.93,Distribution
aea577b0-7384-4f54-b559-d0063e881986,Incheon Fulfilment Center 101,Incheon,Incheon,74054,88.31,Regional
5c2816a7-0bb0-4b7c-a664-86b10522e0e3,New York Distribution Center 102,New York,New York,38689,66.03,Distribution
5f9bf7b0-a4ca-4041-93cd-982fef34eff9,Delhi Bonded Warehouse 103,Delhi,Delhi,23685,78.05,Bonded
d1ad2296-9f40-4926-9105-76c729e8b377,Hamburg Fulfilment Center 104,Hamburg,Hamburg,21465,86.65,Distribution
2be0b520-2948-4731-a5a8-682caf877a42,Chicago Fulfilment Center 105,Chicago,Chicago,92469,76.63,Distribution
99948cf0-286e-4f9a-a06a-cd410bc56267,Bengaluru Bonded Warehouse 106,Bengaluru,Telangana,113721,71.6,Regional
89f7bc54-5594-4528-9948-e1772a6f2a49,Ningbo Fulfilment Center 107,Ningbo,Ningbo,60801,60.9,Distribution
79c0116e-ae7d-45e9-b339-13856e96df2e,Houston Fulfilment Center 108,Houston,Houston,65561,69.69,Bonded
eddbca1d-93cb-4342-8546-242bd0baaca4,Sharjah Fulfilment Center 109,Sharjah,Sharjah,115593,78.19,Regional
3fa4b62c-3b72-4ac1-9ac6-7315c364f57f,Incheon Distribution Center 110,Incheon,Incheon,31104,83.6,Distribution
5c54f3de-175b-46d3-904f-fb4f808ddea8,Delhi Regional Hub 111,Delhi,West Bengal,22281,72.87,Distribution
007626a1-fbe1-4137-83fb-3f31aceabb4b,Singapore Bonded Warehouse 112,Singapore,Singapore,111604,81.19,Bonded
82e4b9fe-6b69-469f-97ff-e01adba8d4c2,Osaka Bonded Warehouse 113,Osaka,Osaka,46731,93.0,Distribution
394f533e-dc15-44ea-82be-fef9e605529d,Bremen Bonded Warehouse 114,Bremen,Bremen,84877,83.4,Distribution
d7fd5af0-d97f-467d-baa6-4b696285711f,Rotterdam Distribution Center 115,Rotterdam,Rotterdam,86105,77.89,Distribution
7f88f7e1-c96e-4843-b548-148e240b5adf,Dubai Fulfilment Center 116,Dubai,Dubai,98595,75.04,Distribution
d11fdcb6-7615-43eb-8b9a-616537953a43,Bremen Distribution Center 117,Bremen,Bremen,8259,68.8,Distribution
30549cde-0bdc-466e-b368-16194e5dc5fa,Amsterdam Bonded Warehouse 118,Amsterdam,Amsterdam,49553,98.0,Distribution
83cf9e38-e855-4d19-a341-2dc6ad8da482,Sharjah Regional Hub 119,Sharjah,Sharjah,29483,60.62,Distribution
0c55a057-2d15-4313-ba41-43c405e7ccea,Tokyo Regional Hub 120,Tokyo,Tokyo,53320,76.9,Regional
61f04b7a-a915-4f24-a509-58fa5fc542cc,Singapore Bonded Warehouse 121,Singapore,Singapore,27509,59.6,Regional
1e8bd801-ccfe-47c1-a4f8-7d8fe0a22b36,Kolkata Fulfilment Center 122,Kolkata,Maharashtra,92664,64.55,Regional
c5be210d-9eab-4e01-909d-729aa48bd697,Incheon Regional Hub 123,Incheon,Incheon,76451,80.16,Regional
9e7f14aa-ba80-4c71-b621-509bb5061225,Shanghai Bonded Warehouse 124,Shanghai,Shanghai,90009,76.66,Regional
b662f9f9-ac2e-4548-8045-2ab734f99a4b,Shanghai Fulfilment Center 125,Shanghai,Shanghai,97545,80.1,Bonded
cea6314d-30c7-41f7-8b76-d6514b2da6e7,Frankfurt Regional Hub 126,Frankfurt,Frankfurt,58882,75.42,Distribution
ec977990-c4fc-4282-bee2-fd84c987fc01,Frankfurt Distribution Center 127,Frankfurt,Frankfurt,13924,60.84,Distribution
8d5b304f-5a8d-46a8-ba8f-bba81211b3d9,Abu Dhabi Bonded Warehouse 128,Abu Dhabi,Abu Dhabi,36056,58.07,Bonded
dfd5beb7-895e-4a09-8787-e56307436056,Amsterdam Regional Hub 129,Amsterdam,Amsterdam,44298,91.31,Distribution
8226acab-289a-46ef-9ae1-72d7ac807297,Yokohama Bonded Warehouse 130,Yokohama,Yokohama,115578,60.33,Distribution
b8320a6d-58e9-440d-afd8-4771f82610ca,Abu Dhabi Regional Hub 131,Abu Dhabi,Abu Dhabi,93844,78.38,Distribution
ceb756b6-456a-4f4a-83f5-00c230c379d5,Dubai Bonded Warehouse 132,Dubai,Dubai,70804,70.03,Distribution
05da347c-61b9-4e15-ba6f-3280497421c6,Busan Bonded Warehouse 133,Busan,Busan,40059,66.98,Distribution
e8b56082-af59-4336-b55c-695e4a0b281d,Los Angeles Bonded Warehouse 134,Los Angeles,Los Angeles,7738,72.2,Distribution
650fadb0-5673-4223-9548-91cfd504bd37,Singapore Regional Hub 135,Singapore,Singapore,117032,78.15,Distribution
8d4fac6a-c390-43ef-b2b1-81745cc4130b,Ahmedabad Fulfilment Center 136,Ahmedabad,West Bengal,25886,63.0,Bonded
8e58b8cc-5adb-4ba9-85cb-50aedd00b6fb,Incheon Fulfilment Center 137,Incheon,Incheon,109540,68.78,Distribution
c58fb3f2-4dd9-4581-b2ae-4b06c5c1d2bc,Rotterdam Distribution Center 138,Rotterdam,Rotterdam,62806,71.95,Distribution
ff01c7f1-f83b-4014-af9b-d19d3498b446,Abu Dhabi Regional Hub 139,Abu Dhabi,Abu Dhabi,93618,89.4,Distribution
e3ef7a5c-af88-4e60-aa84-eae1f205658e,Osaka Fulfilment Center 140,Osaka,Osaka,112491,92.0,Regional
0950cc31-331b-4a54-b3ef-efde325c1500,Ahmedabad Regional Hub 141,Ahmedabad,Karnataka,19164,76.63,Bonded
b97ed753-e7dc-4683-840e-868ed454b491,Singapore Bonded Warehouse 142,Singapore,Singapore,41336,82.64,Regional
9a86d783-39fa-429a-951a-f52be65e8f08,Los Angeles Distribution Center 143,Los Angeles,Los Angeles,92975,85.32,Distribution
943f205b-f51a-4941-9827-85f51a50212e,Rotterdam Distribution Center 144,Rotterdam,Rotterdam,111290,63.61,Distribution
a246eadc-e948-425c-b137-60184efca5a7,Abu Dhabi Distribution Center 145,Abu Dhabi,Abu Dhabi,45015,73.88,Regional
015e2e80-b134-4ea6-9b29-f5211f6c1ad8,Los Angeles Bonded Warehouse 146,Los Angeles,Los Angeles,33959,74.9,Regional
087d5109-6134-4118-b775-43d427c86b3f,Singapore Bonded Warehouse 147,Singapore,Singapore,77444,57.42,Distribution
fd6b4149-228c-40e7-87f2-3fe643c3ced7,Sharjah Distribution Center 148,Sharjah,Sharjah,48943,98.0,Distribution
c7f67e3c-b8ca-4e07-b6b8-133956e907d4,Bremen Bonded Warehouse 149,Bremen,Bremen,63997,68.94,Regional
9ba34506-ed31-4405-a4e7-9637fd04f5c1,Singapore Distribution Center 150,Singapore,Singapore,53318,63.38,Distribution
cfdb3e97-b7ab-4308-8b39-2c8cd4b0e130,Manchester Distribution Center 151,Manchester,Manchester,31618,76.06,Distribution
372fba6d-ea06-4132-b343-12ce07e00c58,Singapore Regional Hub 152,Singapore,Singapore,57604,56.47,Regional
5cf15580-d88d-43f3-98cf-5f5b45272124,New York Distribution Center 153,New York,New York,113377,35.0,Regional
e8c1712f-0893-4335-8719-e6ad486b1ee6,Tokyo Distribution Center 154,Tokyo,Tokyo,75723,79.87,Distribution
228c943f-629a-4848-969c-4c67efcaa64d,Hyderabad Regional Hub 155,Hyderabad,Tamil Nadu,114897,98.0,Bonded
9d36923b-9c04-4b9e-bdb5-321a818c52f7,Rotterdam Bonded Warehouse 156,Rotterdam,Rotterdam,82134,57.46,Regional
4ce9839c-9429-4861-8452-1ef150696352,Singapore Distribution Center 157,Singapore,Singapore,90667,69.23,Bonded
23cfb0f5-2a8a-4840-8ec4-a7cd6480f001,Bremen Distribution Center 158,Bremen,Bremen,71704,85.06,Distribution
4ff43900-6523-43e8-a15f-aa72bb33b54f,Amsterdam Distribution Center 159,Amsterdam,Amsterdam,31658,78.82,Distribution
49115640-f09b-474f-8a75-7a0cef9acd52,Singapore Distribution Center 160,Singapore,Singapore,81381,69.9,Regional
b29889b0-bb1f-4434-a96c-f31634fed510,Shenzhen Distribution Center 161,Shenzhen,Shenzhen,108441,80.86,Bonded
09718c77-0a48-4353-9931-6d5a7f668b02,Bremen Bonded Warehouse 162,Bremen,Bremen,25240,70.24,Regional
b3dea5f5-5b8a-46a0-b776-9fbff8d7ed49,Amsterdam Regional Hub 163,Amsterdam,Amsterdam,40563,77.25,Distribution
69f8715b-e176-45e6-9ff3-5333984c808e,Guangzhou Fulfilment Center 164,Guangzhou,Guangzhou,108862,78.91,Regional
c6f49522-ef98-4511-a5bc-e41ab66515c0,Yokohama Distribution Center 165,Yokohama,Yokohama,42296,63.55,Distribution
08127820-c90b-4399-b1b0-d02b06089445,Bremen Regional Hub 166,Bremen,Bremen,74875,48.05,Regional
faf14baf-4d29-4b3a-9bfd-cee684b332ae,London Fulfilment Center 167,London,London,6647,79.85,Distribution
a50e8d7a-8753-4d79-8e44-d525d67c6955,Busan Distribution Center 168,Busan,Busan,72000,58.83,Regional
bfa63213-2978-4e98-95d6-e7afd6bd9d85,Felixstowe Bonded Warehouse 169,Felixstowe,Felixstowe,99610,82.03,Regional
1d6021e8-e2ce-4f80-bc2c-4af24dc99aae,Los Angeles Fulfilment Center 170,Los Angeles,Los Angeles,101677,81.53,Distribution
09b2aba7-26f5-4826-b3cd-4ba8b42b3567,Singapore Regional Hub 171,Singapore,Singapore,99230,72.77,Regional
7a0ca0dc-d1b2-482c-95d5-303b43531fa7,Tokyo Distribution Center 172,Tokyo,Tokyo,7602,91.37,Distribution
d7b11290-ad2c-4c1d-a6e2-0e8f75c2a5d0,Dubai Bonded Warehouse 173,Dubai,Dubai,30849,64.89,Distribution
d9bbf71e-5461-47e3-9a13-bb572a6fe6ef,Osaka Regional Hub 174,Osaka,Osaka,38926,74.14,Distribution
3267cd95-a4d1-4451-abdb-e4981125c08f,Bremen Regional Hub 175,Bremen,Bremen,50133,82.93,Distribution
84964723-95ef-4bcb-8320-ca5d82a5bb00,Shanghai Regional Hub 176,Shanghai,Shanghai,8546,51.42,Distribution
4bbb03fa-df86-4ec8-aa6d-934e17e2fc7f,Shenzhen Bonded Warehouse 177,Shenzhen,Shenzhen,15731,78.02,Regional
a1ac7ef9-f477-45a0-af6d-38cada8dcf6d,Singapore Bonded Warehouse 178,Singapore,Singapore,88950,58.56,Distribution
0706f6d3-0576-45c9-ac67-fdc66ad89dc4,Frankfurt Distribution Center 179,Frankfurt,Frankfurt,53064,80.97,Distribution
6a4c6abf-1b77-467b-a5fc-6566c492a322,Yokohama Distribution Center 180,Yokohama,Yokohama,16735,41.38,Regional
1406e88a-8315-4a23-852c-7d551020e18e,Yokohama Distribution Center 181,Yokohama,Yokohama,64167,66.5,Distribution
78cc5b24-8093-4b1b-972f-f03652851a2a,Shanghai Distribution Center 182,Shanghai,Shanghai,108837,73.19,Distribution
cd01b97a-dcc5-4378-b71a-dfa350803e6f,Sharjah Distribution Center 183,Sharjah,Sharjah,52241,62.28,Distribution
37d59bfc-ba61-44a2-85fd-eae4feeca0c3,Chicago Fulfilment Center 184,Chicago,Chicago,37443,50.53,Distribution
d70bbc29-db70-4abb-b97c-97e36d5ee219,Tokyo Fulfilment Center 185,Tokyo,Tokyo,119056,80.57,Distribution
bbac8557-9c03-4b2c-aa3a-ea20df436d96,Los Angeles Regional Hub 186,Los Angeles,Los Angeles,49327,57.59,Regional
8a3b7d09-6c58-42e4-95c9-19ed6b1c3108,Guangzhou Distribution Center 187,Guangzhou,Guangzhou,85949,67.84,Bonded
49220854-faea-4d3d-a7d7-e29b39ba6707,Singapore Bonded Warehouse 188,Singapore,Singapore,64773,82.62,Distribution
de46326c-0da3-44b7-ad11-6bf12ca90627,Shanghai Distribution Center 189,Shanghai,Shanghai,28414,74.52,Distribution
4620e530-7500-4721-a52a-a8878bee3e33,Tokyo Distribution Center 190,Tokyo,Tokyo,64430,60.49,Bonded
52fad197-a984-474c-b76e-2f5c6588c20b,Yokohama Regional Hub 191,Yokohama,Yokohama,111707,76.13,Distribution
6c864ae7-6378-4724-831e-01ed5911f771,Osaka Distribution Center 192,Osaka,Osaka,93684,76.32,Distribution
7877e6c1-32b1-4e79-b22b-0a4c9df9e15f,Busan Regional Hub 193,Busan,Busan,59969,91.59,Distribution
6fcd9848-e811-410e-b840-ddded105f708,Singapore Regional Hub 194,Singapore,Singapore,36511,69.86,Bonded
8d5f95f8-92d7-4835-8ec2-8ae095afe831,Sharjah Distribution Center 195,Sharjah,Sharjah,33520,78.35,Distribution
ffae66ec-27a4-4901-96b3-b4a6eba008da,Incheon Regional Hub 196,Incheon,Incheon,108935,76.8,Bonded
0582993f-61e0-45fb-abf1-d7ddac7c9bcc,Guangzhou Fulfilment Center 197,Guangzhou,Guangzhou,38497,77.13,Distribution
23c78c48-bc71-445a-aaaa-d78e1091ed32,Abu Dhabi Regional Hub 198,Abu Dhabi,Abu Dhabi,16588,42.04,Distribution
e6036d0c-4d33-4215-b0c8-bb216a4bd6b0,Tokyo Bonded Warehouse 199,Tokyo,Tokyo,94737,55.74,Bonded
7d0d030b-ffb2-4172-a068-6f3fc21d9458,Chennai Distribution Center 200,Chennai,Tamil Nadu,88239,79.72,Distribution
3d7798f0-466b-4086-8f78-63d81045b775,Ningbo Bonded Warehouse 201,Ningbo,Ningbo,91992,65.58,Distribution
a506a372-e5b2-483a-bcd9-4c50ffbc3155,Chennai Bonded Warehouse 202,Chennai,Gujarat,118220,87.0,Regional
0a82cd93-f4b1-41a8-890e-23a6627fe1e0,Los Angeles Fulfilment Center 203,Los Angeles,Los Angeles,119126,98.0,Distribution
3b424544-6cd5-47f2-bb33-f73cc536a3b9,Sharjah Bonded Warehouse 204,Sharjah,Sharjah,37505,66.61,Regional
cd688591-9b3d-4384-a465-9117fe6069ed,Ahmedabad Regional Hub 205,Ahmedabad,Gujarat,79595,55.92,Regional
62cbb75e-5577-4609-ad34-b60d836fb3d2,Sharjah Fulfilment Center 206,Sharjah,Sharjah,75395,82.92,Distribution
29b6fb36-891d-4700-a8eb-79e17bd4d7b5,Incheon Bonded Warehouse 207,Incheon,Incheon,97447,69.13,Regional
2c6da325-42e2-4101-9044-d15d5529c4df,Seoul Bonded Warehouse 208,Seoul,Seoul,45661,76.97,Distribution
a1f2ceb1-8999-4877-820a-d790c09687c6,Chicago Bonded Warehouse 209,Chicago,Chicago,49991,77.43,Bonded
d3f9bf5a-f2cc-40e0-92d8-69486509366e,Sharjah Fulfilment Center 210,Sharjah,Sharjah,19484,69.42,Distribution
cd05cfea-142d-48ff-b38f-8c4eac3cb25b,Tokyo Distribution Center 211,Tokyo,Tokyo,35433,84.62,Regional
1bdeb0f5-5842-489b-a0fa-1c6338cfc7d4,Rotterdam Distribution Center 212,Rotterdam,Rotterdam,43279,91.44,Distribution
