vehicle_id,vehicle_number,vehicle_type,capacity_kg,fuel_type,maintenance_status,vehicle_age
9bf87745-69b5-4a3d-b2dc-dc3446f999bf,SH-7727-99,Ship,11384980.26,Electric,Good,8
fb5620aa-28e8-42c3-80c9-907359a55a7e,SH-8783-100,Ship,9166963.29,Marine Fuel,Good,9
0b1623f1-f152-4295-8344-ab3de6c24c10,AI-5132-101,Aircraft,122351.84,Diesel,Good,7
b607f3db-9ce2-4158-882d-e9f592ec6a54,SH-1864-102,Ship,18895386.41,Diesel,Due Soon,13
231fc888-1d53-4dda-bbc1-4fbf00496629,TR-9276-103,Truck,24046.95,CNG,Good,17
9bac4418-9035-423d-9ac2-eb4e6e4bfe6d,SH-9552-104,Ship,3565718.11,Diesel,Good,2
0c5a6d59-b62b-494c-b2d1-cbc7d3ddb0ab,TR-1532-105,Truck,20244.92,Diesel,Good,17
abe70dc1-6fa9-4f2b-985c-f69ab0a66bc4,TR-6763-106,Truck,16253.05,Diesel,Under Maintenance,9
52d60a67-7482-4bb4-b345-d75513ff42b5,SH-4387-107,Ship,6026808.86,Diesel,Good,16
711358d9-a602-4597-a630-60d41f053a61,SH-5817-108,Ship,15428684.79,Diesel,Good,15
a200d586-5397-406a-9687-6415e3e5e496,SH-2251-109,Ship,7695407.11,Marine Fuel,Good,7
4c091204-a56c-4ad5-af0a-d0dadd94b207,AI-9007-110,Aircraft,96563.91,Jet Fuel,Good,15
2ece7e9f-f945-4b08-bf16-cc055ca0e010,TR-1707-111,Truck,6018.84,Electric,Good,2
8e3b4b26-4473-437d-91b8-0958719c1d5f,SH-2578-112,Ship,17337558.28,Marine Fuel,Good,12
1af85d4a-6058-4b42-b7e5-af4bd9eefbab,TR-7619-113,Truck,22178.31,Diesel,Good,6
7f678254-d310-4f39-bcd6-c29c47e12b37,TR-9783-114,Truck,19261.52,Diesel,Due Soon,11
d8266565-39a8-457f-ba97-e818bfd7792f,RA-9319-115,Rail,333075.05,CNG,Due Soon,13
a552f3b5-7fc9-4f40-8a13-170fe6f6f8a2,TR-2498-116,Truck,27436.45,Marine Fuel,Good,2
6fd179fe-6b85-4697-ad20-534c68070bf8,TR-5145-117,Truck,17446.23,Diesel,Due Soon,8
fdade0c7-2922-426b-a71f-ca14c819050c,RA-7027-118,Rail,591198.75,Marine Fuel,Good,16
c0e181cf-d32c-4546-801e-f25b2d79db92,TR-8432-119,Truck,20785.16,Diesel,Good,9
7abe2e87-5651-42f0-9864-618bb565b548,TR-7626-120,Truck,7239.63,Jet Fuel,Good,10
0970c086-1685-45dc-90ab-e63dca8a7458,TR-9566-121,Truck,21188.51,Diesel,Good,10
b4c5a005-7d6a-4887-a4c2-1c87fdecd84e,TR-7733-122,Truck,17033.16,Diesel,Good,2
b9f5892c-da79-4b26-8b39-36231b37763a,SH-1234-123,Ship,2363336.25,Diesel,Due Soon,18
b60ea652-53a9-453e-9b8c-824cb8f8e353,TR-3823-124,Truck,14932.3,Jet Fuel,Due Soon,17
02f9b2c5-f953-48b2-b4d7-02ed144b2475,TR-4037-125,Truck,10734.55,Electric,Good,4
af9cbd0a-1832-47c1-9ea5-0ffd16bf2142,TR-5816-126,Truck,24265.7,Electric,Good,10
b79e5d81-6a48-4a96-8458-cce753b8b271,SH-2255-127,Ship,9295309.88,Diesel,Good,17
56651534-5f1a-497e-9b75-c50b0c4bf1a0,TR-2008-128,Truck,23212.6,Jet Fuel,Good,2
9866f1b1-521c-4c91-8878-07197d898d7c,TR-3194-129,Truck,24871.64,Electric,Good,15
706c7275-0bab-457a-bd82-2356962aee3c,TR-2380-130,Truck,15238.47,Diesel,Due Soon,18
b2506f58-4878-41af-ac49-15cedc93d889,SH-7619-131,Ship,23909834.75,Diesel,Due Soon,1
2db92d9e-d13b-424e-9c83-73e8f9e6fdd9,TR-8098-132,Truck,25427.38,Jet Fuel,Good,10
ba856226-7796-4427-996a-8acf5b325541,TR-2476-133,Truck,25032.2,Diesel,Good,17
f59cc9b4-ee15-45cf-bb9b-91826e37d2f8,TR-4402-134,Truck,22917.17,Marine Fuel,Under Maintenance,9
9b6d33ce-15ed-4de5-8742-fcfb9d610d13,TR-1067-135,Truck,3410.5,Marine Fuel,Good,14
fda2b002-042e-4c8d-8bf5-796e4ac7d831,TR-9458-136,Truck,26894.24,Marine Fuel,Good,12
19e9cd6b-2c79-4660-9119-046cbe01a729,SH-5777-137,Ship,1917477.46,Electric,Good,9
24726c37-f956-4e77-8ad1-db030cb61d18,SH-4744-138,Ship,8445928.17,Diesel,Good,8
725ff19f-0331-4a4f-8aba-b560a6e046b9,TR-2797-139,Truck,4514.95,Diesel,Due Soon,10
6a8e0476-cb75-479e-94ee-716acd3d027b,TR-3438-140,Truck,7948.99,Diesel,Due Soon,9
79e3b8fe-59de-4da0-8b12-04c7cd9cd54b,AI-2143-141,Aircraft,107015.66,Diesel,Due Soon,2
d6ea9dd1-bb31-4a25-811c-0ab66b1a9dc9,TR-3553-142,Truck,27979.41,Diesel,Good,5
9e302174-eb71-457e-a228-89dd0a5e8c22,TR-4923-143,Truck,26946.8,CNG,Good,17
a51a097e-2e06-45c3-afc4-4edf47330486,RA-9092-144,Rail,348216.23,Diesel,Good,14
8b81669c-8a98-462d-b4b5-13fe3f8f45fe,TR-4696-145,Truck,9976.6,Diesel,Due Soon,11
7b0041a3-b58b-4aaa-9cb2-05d936a72e1c,TR-2884-146,Truck,3457.44,Marine Fuel,Good,14
be7267ab-1eef-410c-923d-0df375a31bc5,TR-1714-147,Truck,11825.34,Jet Fuel,Good,5
bd0b8e88-2ae5-47d4-a26f-81e0e6437ae5,AI-7441-148,Aircraft,71981.11,Electric,Under Maintenance,7
17bdfa93-edc3-484c-ab88-c81b85b8dcff,TR-8737-149,Truck,9903.95,Diesel,Good,4
ded1dcdb-572f-42cb-af38-824d851fdfd6,TR-8457-150,Truck,25129.41,Marine Fuel,Due Soon,10
070634ad-0f74-48a2-b264-eaf9fde2513c,TR-8874-151,Truck,20422.61,Diesel,Good,18
a8232d3a-01a4-4b01-952a-489f9081a0bb,SH-1408-152,Ship,19036901.41,Diesel,Good,7
5eec5ad5-9620-4d5b-8d26-102123e5c1d5,SH-9856-153,Ship,22697473.53,Diesel,Good,5
8cbdfe83-a821-4135-a12d-b44466a88efe,TR-4182-154,Truck,10290.54,Diesel,Good,13
6972664a-f90a-4570-94f8-7677777607c1,TR-4103-155,Truck,26450.26,Diesel,Due Soon,7
3ff49c84-47f6-41fb-a948-9a0d88f6f2d8,SH-9848-156,Ship,7662874.92,Diesel,Good,2
ea1653fb-dd71-40c9-96d2-54eb639caa45,TR-5078-157,Truck,4478.02,Diesel,Due Soon,6
284a5ac9-477c-4b81-95d2-7c60215110f7,TR-9137-158,Truck,3658.12,Diesel,Due Soon,7
ded1b546-5105-4fe9-ba82-c49eb657efb3,SH-1265-159,Ship,15089881.63,Diesel,Due Soon,15
b3cb6583-581c-444e-af90-c2e3cdc8c055,TR-5581-160,Truck,12652.06,Diesel,Good,18
d151133f-eadd-415b-87db-3ca8da527c2f,AI-5575-161,Aircraft,133550.11,Marine Fuel,Due Soon,8
5aaf0018-be80-4b1e-b8b9-c68e8ca4cbfb,RA-8209-162,Rail,360758.45,Marine Fuel,Good,18
4bdd1d54-afc4-4063-b2fd-90bde4bbdcc9,RA-5880-163,Rail,68752.94,Diesel,Due Soon,12
e6f96a29-783b-4fdf-8c17-fa2999c54480,AI-8864-164,Aircraft,13801.15,Diesel,Under Maintenance,16
69638766-c160-4ea3-a0a3-5b83f268243d,RA-7168-165,Rail,622185.38,CNG,Good,10
4e7dcd4e-7a1f-42a4-a329-cd1faf8842fd,AI-7791-166,Aircraft,136244.3,CNG,Due Soon,6
967c35ce-254e-4ecc-8fa3-4b46cb79ac7e,RA-9344-167,Rail,214406.92,Electric,Good,18
6c3cdc46-4419-4181-81eb-dc171f002d33,RA-9921-168,Rail,296993.11,Diesel,Good,15
04ae051c-8a89-42f1-b33e-ca98308d93c0,RA-5213-169,Rail,661181.92,Diesel,Good,3
0b21fe57-1da2-4049-bd0c-99e78770c1fb,TR-9596-170,Truck,12269.68,Jet Fuel,Good,15
a6001a01-219a-4663-8d89-f0143eba86b5,TR-7791-171,Truck,7733.6,Electric,Good,2
75142092-c866-4232-98eb-e7d3d56997b2,SH-1369-172,Ship,22913832.55,Diesel,Good,16
f918581e-2fa5-456f-83f6-a675ed9f0c11,RA-6385-173,Rail,690511.78,Marine Fuel,Good,4
6469d99c-e277-4a12-b8c1-0c012a33eb7d,TR-4358-174,Truck,14254.41,Jet Fuel,Due Soon,15
bdeea0ff-f70e-4e68-b07c-9126f0a60aeb,TR-8792-175,Truck,7757.88,Diesel,Good,16
921f75da-ee35-462b-98fd-c33997631328,SH-3621-176,Ship,10048951.81,Diesel,Due Soon,10
ca8445f3-c03e-4463-a4c6-1c897027dfab,TR-6853-177,Truck,9924.38,Marine Fuel,Good,15
316c70c8-34cf-4426-bf41-b97dc151ed3c,TR-5268-178,Truck,25354.7,Diesel,Due Soon,10
615e2b2e-1cf4-4a53-ac8b-95afa2d2b75e,SH-2719-179,Ship,17073234.42,CNG,Good,7
a1d47c32-ad17-4303-a02b-48c1e75b405b,SH-1129-180,Ship,12237396.98,Electric,Good,18
763b796f-596c-49a8-b27a-7c38d1ba3ccb,TR-6282-181,Truck,20481.53,Diesel,Good,3
ba51a613-641a-4579-866d-54fc0bc45aa9,AI-6141-182,Aircraft,53352.64,Diesel,Good,14
a26ec0fc-aae6-4339-b703-981db6305151,TR-9073-183,Truck,26165.64,Diesel,Good,16
62e5d532-3828-4879-b466-b4fa14d598be,TR-9643-184,Truck,21295.58,Jet Fuel,Good,11
b7975d7a-4e10-49fe-b252-43fed5ef7dc6,TR-9302-185,Truck,26350.37,Electric,Good,16
add9c827-9ed9-4270-bfc5-9240fe3eab48,RA-1371-186,Rail,237549.87,CNG,Good,17
50004cad-50ac-41d1-82e3-c2733b16c2c0,TR-2370-187,Truck,27834.12,Diesel,Good,3
bcd84f76-f086-4f50-a4d4-8aec72a3142b,TR-5921-188,Truck,4329.89,Diesel,Good,11
a52844d4-eb65-47cb-b066-1bd2de6e011b,SH-8482-189,Ship,20749441.19,CNG,Good,11
c0b93d08-b60c-44ff-838d-54f6617b5d6f,SH-3145-190,Ship,20858883.46,Marine Fuel,Good,6
808bb25f-6dcb-49db-80fe-3988953fa7c2,TR-9392-191,Truck,27784.99,Electric,Good,14
9cf51e99-d69a-4164-ba96-aa1b6efcfbc2,TR-6582-192,Truck,19857.62,CNG,Good,7
c647c720-5fda-4ee9-a3ed-10ac1dfd49dd,AI-1014-193,Aircraft,134763.61,Jet Fuel,Under Maintenance,16
9b28304c-84c4-4167-9221-b9e0c32bbb5c,RA-2886-194,Rail,165747.33,Diesel,Good,10
7e8a058d-12ab-4dd9-a888-f9d6ad74fa4c,TR-6679-195,Truck,21859.64,CNG,Good,7
615b715f-d7aa-457a-bc2d-ab245d068e4f,TR-8291-196,Truck,11333.4,CNG,Good,10
d5782ede-c61a-466c-9a51-2ee86eacd9c5,SH-7367-197,Ship,12737583.25,Jet Fuel,Good,16
ed5a495d-6d7a-48ab-baba-118bc4b94350,TR-4063-198,Truck,25981.12,Jet Fuel,Good,5
b40be659-91a7-4d66-89f5-abc1b2b33d6d,TR-3601-199,Truck,8101.27,Marine Fuel,Due Soon,17
1d35ff63-e07a-45f7-9ade-2570f730f72f,TR-5905-200,Truck,8852.24,Diesel,Good,15
f7303e38-638c-411e-8d49-6c3798d83a8d,SH-7998-201,Ship,5751479.08,Jet Fuel,Good,1
00449f09-6bc5-464f-9cf2-402dd6ae6d89,SH-4124-202,Ship,4521011.83,Diesel,Good,5
8a2b1b25-5dbc-4132-af37-ed780924403a,TR-4037-203,Truck,11910.5,Diesel,Good,15
386a5dc8-e493-46aa-92bb-62d556272b43,TR-7689-204,Truck,18478.3,Diesel,Good,6
7b370fad-c245-4056-abbc-244d9680d35b,RA-8504-205,Rail,462396.84,Diesel,Good,16
cb5ef259-4510-4e72-bb85-93f922698629,SH-9736-206,Ship,23618976.51,Diesel,Under Maintenance,13
b0dde41a-9e60-4039-9ad5-b3d9cd7cd7c9,TR-2872-207,Truck,22517.69,Diesel,Good,14
65771674-51a5-4305-9c92-61707ed2fab2,TR-3407-208,Truck,21593.53,Jet Fuel,Good,7
6c103cf5-c9e0-4719-8d67-7b64f415e2fe,SH-9998-209,Ship,21938608.56,Diesel,Good,13
a587a30c-da5b-4bce-b7fd-9ce5cb05a025,SH-5069-210,Ship,6878249.06,Diesel,Good,4
274d4100-bde4-42e6-8b5b-142f5857d539,TR-2429-211,Truck,18752.92,Diesel,Due Soon,13
83dfa4ad-b3bc-4561-8488-6cc8e3026294,AI-8243-212,Aircraft,95519.03,Electric,Good,10
a090ea10-a570-4a30-81bf-f0848a9d1e93,TR-4887-213,Truck,15593.67,Diesel,Due Soon,7
5111781d-e4d3-4a4e-8421-759b35db19bb,RA-6635-214,Rail,527707.23,Electric,Good,6
40f3e8a0-434e-40fb-a906-1a5da00ed318,TR-9915-215,Truck,13328.28,Diesel,Good,11
0ead018f-be54-40ae-99f7-1e10a45fc710,AI-3181-216,Aircraft,119515.18,Marine Fuel,Good,13
bb2e5096-4330-40c7-b1e6-a5ba9d05a064,TR-2045-217,Truck,7957.76,Jet Fuel,Good,9
8fe9ad32-b989-41aa-ad1d-b03f2e85e9b5,TR-8125-218,Truck,26565.1,Diesel,Due Soon,9
869498f5-c125-4f2e-ad49-ee0a020fa0ec,TR-2515-219,Truck,3843.43,Diesel,Due Soon,4
841f0c4f-2aea-47cd-a869-54eaff3a2668,TR-6989-220,Truck,10266.99,Marine Fuel,Good,10
3474f807-3ba1-4cc1-b96f-c6faaa663308,TR-4098-221,Truck,13761.33,Electric,Due Soon,10
f7a8ce6c-7ba5-4be5-930e-9a05e931fb0a,TR-1543-222,Truck,27770.0,Diesel,Good,9
a14665ff-0ab6-45d6-88b7-d0851f4b1f95,TR-9030-223,Truck,20692.8,Diesel,Good,2
9c82770a-b9e0-4645-a606-8ae8443962b8,TR-8032-224,Truck,20911.28,Diesel,Good,3
3aeeb275-08ee-42a4-a8eb-77ab695bfb28,TR-1947-225,Truck,24261.56,Diesel,Good,2
4036796a-d174-4a86-a679-d0a2f37a240c,TR-9997-226,Truck,7751.95,Diesel,Good,16
f32cebca-b547-4d1d-8ecf-7c41659d2ab8,TR-4267-227,Truck,18383.66,Diesel,Due Soon,2
54338feb-3f8f-4aad-aa03-417207c8bcc3,SH-4770-228,Ship,8028984.45,Marine Fuel,Good,17
3cf6ead4-02ca-49c1-ac08-af4a9b5bc07f,SH-5568-229,Ship,23698042.32,Marine Fuel,Good,3
25204fbf-50d6-4960-9e45-118cf039ec4c,TR-7018-230,Truck,5373.99,Diesel,Good,12
9d6928dc-f82e-45d6-ba81-7341bd6c0f66,TR-7185-231,Truck,10941.29,Jet Fuel,Good,6
85dd106b-9cde-4480-b6d8-c6f974a8a0e5,TR-5791-232,Truck,27081.61,Diesel,Due Soon,3
58b637c9-2a26-4eb2-bfa7-9d517d6a1553,TR-3202-233,Truck,25140.61,Diesel,Due Soon,17
1f1d04b0-d2ab-4db0-8338-f674e70498e9,SH-5324-234,Ship,19423665.67,Marine Fuel,Due Soon,3
9030befa-948b-4fcd-b850-ffdcaa8cc043,TR-6666-235,Truck,20448.01,Marine Fuel,Good,15
53dbf0ce-0117-48f3-9cc9-2bb2a342d4cb,TR-9336-236,Truck,18965.2,CNG,Good,10
a5662657-a781-4b94-96cf-752db6d9a7d0,TR-3613-237,Truck,15668.12,Diesel,Good,11
70f26156-559b-45fd-acde-137e93ea5b4f,TR-3946-238,Truck,4108.35,Diesel,Under Maintenance,5
815df53f-4bcb-4a8c-9819-8b71170a13be,AI-7508-239,Aircraft,31937.34,Jet Fuel,Good,1
7c758ffd-69bf-42c9-a147-2d9a80ef2b10,SH-8442-240,Ship,10114770.79,Diesel,Good,9
b72dd834-4836-4112-8588-e6636808aad6,SH-3927-241,Ship,14529396.01,Diesel,Due Soon,1
2a6a2b04-81a6-4237-9367-5e85596b3675,AI-2371-242,Aircraft,39239.09,Diesel,Due Soon,10
01340e7a-004c-4b6c-8976-f2a54b3a0bca,TR-7571-243,Truck,20105.97,Jet Fuel,Good,17
a83442af-43eb-4821-80a2-89b852ae607a,TR-8422-244,Truck,20064.37,Marine Fuel,Good,9
71c4cd71-32cd-4cea-8b91-7b6a163b3511,AI-3647-245,Aircraft,60298.71,Marine Fuel,Good,4
28e346a2-bb3c-4e02-bff0-c7abff5e27e4,TR-1056-246,Truck,12845.46,Diesel,Due Soon,10
f5b34837-80cc-4f5e-87aa-dcdc5f18efbd,TR-9726-247,Truck,23733.5,Diesel,Due Soon,2
7393fc93-4506-4b11-af4d-475ae5407688,SH-1975-248,Ship,19716542.55,Jet Fuel,Good,15
