carrier_id,carrier_name,carrier_type,average_rating,fleet_size,years_of_service,headquarters
f23db8e7-88d5-468c-81d9-ffca0c267e30,DP World Logistics 57,Sea,4.35,1363,14,Germany
8390df49-6b31-40f6-b42d-7e98f68d44d3,Maersk 58,Sea,3.19,1451,12,United Kingdom
96f800cd-bafd-45d6-b311-aa6f1fb75bc5,Maersk 59,Sea,3.57,3625,28,South Korea
ae59e535-34bb-4867-8c5d-ee4a7161d72a,Allcargo Express 60,Sea,4.22,3085,4,Netherlands
d05169a4-df20-453f-a218-c0fc6e2eab7b,Kuehne Nagel 61,Sea,4.12,3713,23,UAE
5883f652-0982-442e-9458-9294246b22cb,Emirates SkyCargo 62,Sea,3.61,2115,16,Germany
fbad1ee4-fc69-48d4-a9e5-ccf0c65f39e7,Emirates SkyCargo 63,Sea,3.1,2109,30,India
b70d4aa0-856b-4e88-82fe-44ba950ac53b,Maersk 64,Sea,4.57,3663,25,United States
1d946a69-b250-4655-b7f9-b5b59d3bf32b,MSC 65,Sea,4.87,1136,29,Germany
17ea2133-291c-43f1-a4b2-e5c041072fa6,CMA CGM 66,Sea,3.4,1158,10,United Kingdom
c6a1e273-9310-4bba-b993-8013a69c737d,FedEx 67,Air,4.74,55,19,Netherlands
75db2156-cc37-481d-939c-4d491717e162,FedEx 68,Air,4.51,3532,14,South Korea
ab27376e-6314-4c94-9710-37ddb462752a,DB Schenker 69,Road,3.13,438,25,UAE
37e2f60f-67aa-454a-a468-fafd661c1399,Emirates SkyCargo 70,Rail,4.73,1521,8,UAE
34cf2a38-6cf6-4100-969e-5bbd04372180,FedEx 71,Road,3.67,3684,10,United States
666b5f81-de31-4810-802e-5b7265cffc95,Maersk 72,Road,3.35,3855,8,China
5c3674ae-931f-4bf6-89ea-0ef9f8783fa3,CMA CGM 73,Sea,3.17,3783,33,Netherlands
85bc847a-bf82-4a46-9866-9d9cec570470,Hapag-Lloyd 74,Sea,3.63,1100,6,UAE
9e7d0ba2-11ee-41c3-af77-1d501f2383d3,Kuehne Nagel 75,Road,4.82,2303,32,Netherlands
11aef38f-e488-4b07-9762-0dc3865db352,DP World Logistics 76,Road,4.4,344,28,United States
93cd36d2-fab6-4892-ae60-4cea2bf577f6,Emirates SkyCargo 77,Air,4.84,253,29,South Korea
4ef3b3b1-eec7-4246-b1ea-41bd0934b82c,Hapag-Lloyd 78,Air,4.84,3103,14,South Korea
3e594a3e-7aa5-4459-bbc5-ebf8255191b9,DB Schenker 79,Sea,4.17,3485,33,Germany
4a26fed7-f769-4152-8ee2-152fafca3f86,DB Schenker 80,Road,3.74,165,24,Germany
5a00d64b-4276-4cef-b524-314c997c8a4e,DB Schenker 81,Air,3.2,2089,35,South Korea
0d704bf5-c9aa-4a74-92a8-e645a8efa271,MSC 82,Sea,3.42,378,6,Singapore
0050fc32-84b6-4841-b64d-6c3ec65e6d38,Blue Dart 83,Road,3.64,1577,24,Netherlands
8d6b5d1a-8f1f-4a49-b69b-33b66e1580f2,Hapag-Lloyd 84,Rail,3.78,764,6,Germany
6ccc85de-0137-42ab-a6b4-80d047c37bf6,Blue Dart 85,Road,4.47,3898,25,UAE
e517e27b-4f9f-4f95-8926-f7e6effe1f3f,Maersk 86,Air,4.74,3343,20,China
5a5c8692-432d-4679-8e07-a6d65640bc73,FedEx 87,Air,4.06,2411,35,South Korea
b2b04e4f-fcf9-42a6-a0c8-58fa0a00f454,Hapag-Lloyd 88,Road,3.39,1621,27,South Korea
0ef2a0d3-cc50-48f9-a6f7-61bc75d4910e,DP World Logistics 89,Sea,4.06,2086,9,United States
785a76fc-3979-4629-ae0e-685a269b5065,CMA CGM 90,Road,3.17,2991,27,South Korea
f1b6bc0e-0d54-4bf5-b5cc-cc871d5d8745,DP World Logistics 91,Air,4.84,2689,5,Japan
fb0d3fba-8851-42ee-b43e-64563bfbdb4e,Hapag-Lloyd 92,Road,3.33,4103,4,Singapore
26768ae9-66dd-4d27-96a6-1a04f219b4e1,FedEx 93,Road,4.07,2924,33,Germany
d4ea7e90-a061-4ef9-8118-f2aac181148a,Allcargo Express 94,Road,3.99,3569,9,Singapore
c7c0f774-dd86-43e9-9b8e-1d19f253016c,Kuehne Nagel 95,Road,3.63,2152,38,Netherlands
02bae24f-6a30-46cb-bda1-a410293ea830,DHL 96,Air,3.75,717,12,United Kingdom
9059ba55-674f-40ce-86c2-6ea04a1969b2,CMA CGM 97,Air,4.69,3035,25,United States
42b1cb44-f844-4a7b-9020-92c8743a307f,Allcargo Express 98,Rail,3.75,3785,27,Germany
1637058b-0d8c-416b-8c17-5c7eac544bbb,Allcargo Express 99,Air,4.03,1966,28,China
ee30b9ff-a3ef-4a0d-ad75-7d99faa8f156,Emirates SkyCargo 100,Sea,3.11,2636,9,United States
7cfefd12-41f6-449c-b0f8-c93c6db23d9e,DB Schenker 101,Air,3.11,1672,31,United Kingdom
5a0ac6af-ddd3-49cd-9e0c-d497f47d0a5b,MSC 102,Road,3.35,367,33,Japan
7dae2089-152e-4bd5-905d-995c4ce65d09,DHL 103,Rail,3.87,2872,11,India
d902ea57-03eb-47b7-b367-5229df52886c,DB Schenker 104,Sea,3.32,816,28,China
ee8c8ab3-86d7-4ac5-bd52-3605c76ccfde,Maersk 105,Air,4.3,487,17,United Kingdom
3a248cfc-0c36-44e2-8662-159451cf84cb,Maersk 106,Road,4.66,3489,16,Singapore
74520192-6735-4b47-982a-35fc7fa29bdd,Maersk 107,Road,3.88,3020,14,South Korea
5ce29e15-2573-4aac-8596-20c06b8e6a91,DP World Logistics 108,Sea,3.19,1169,11,Germany
9b911731-b5ce-4e3c-af5e-37d5c2acc102,MSC 109,Air,3.45,2362,6,United Kingdom
830d0bc0-3303-4413-8d1f-44ffcbd72938,Emirates SkyCargo 110,Road,3.17,3840,20,United Kingdom
a0f5ae14-c572-479a-ac5a-2976b306c770,Maersk 111,Sea,3.66,3961,22,South Korea
8ad0658c-3064-47b5-ad86-850c56a5db28,Allcargo Express 112,Sea,3.64,2334,12,Netherlands
d1f2231d-c16f-42d9-a2f3-122d0c4c236d,DP World Logistics 113,Road,4.37,540,32,South Korea
85c1c9fd-7748-4358-977a-a393bc75edd7,Hapag-Lloyd 114,Air,3.11,3742,30,UAE
6e5a8b32-f8a1-4f7e-bf74-83da542d6a8f,Maersk 115,Sea,4.2,1582,38,UAE
8de737b0-2a64-408b-af59-6339f4db9eb3,Allcargo Express 116,Road,3.49,1613,16,Germany
edcd3820-52d4-4697-944d-a06e66def40b,DP World Logistics 117,Rail,4.67,1986,25,China
7251be46-12ed-4363-9c0f-163eab2f6a95,Maersk 118,Sea,3.33,163,10,India
b5e8111b-12eb-4bd9-9eb1-04d2604fa093,Hapag-Lloyd 119,Rail,4.3,625,5,China
553fbd87-274f-4df3-a3f1-acaf4ce5642f,DP World Logistics 120,Road,3.86,3485,23,Netherlands
4b33433f-c0d2-476b-9dda-a00e716229f4,DB Schenker 121,Road,3.29,2058,6,United Kingdom
794a37af-67b3-4466-8c01-30701152860b,Maersk 122,Rail,3.61,3714,37,Netherlands
490cb96e-7dd5-478e-9174-f24c02c4dc8d,Maersk 123,Road,4.12,3973,3,UAE
e374f9c9-8a7c-4f3d-b064-ea6a5036fe6e,DB Schenker 124,Road,3.34,3274,18,Singapore
ae90cfa4-0824-4947-97db-31dbad400f17,Emirates SkyCargo 125,Road,4.61,3807,29,United Kingdom
28ceba12-ba55-4d4e-b657-15e3b752d493,Emirates SkyCargo 126,Air,4.08,3152,28,Japan
de377bf8-bcf8-4d3b-92ae-e09b6d713dc1,Blue Dart 127,Sea,4.49,1793,29,UAE
84d1b4e9-9c4c-4340-8f10-00443070542d,DB Schenker 128,Air,4.02,3964,6,India
bcf41679-6894-4a13-9c01-d7d193caf341,Hapag-Lloyd 129,Sea,3.26,1142,36,United States
c9a735df-8ba5-4046-987e-6dbd9fecc259,Blue Dart 130,Sea,3.53,1468,18,Singapore
3f6e31e7-01f7-4744-8f51-f08072ed7abb,MSC 131,Road,4.0,967,7,Japan
59a1af58-0fca-493b-b732-252eeb662c12,DP World Logistics 132,Rail,4.68,1720,32,Singapore
10ea5830-ca52-45f3-a307-5aa06a9b34c7,Maersk 133,Road,4.64,2067,23,China
170ae1e2-f2bc-4433-96d7-7e3f224cf9c4,DP World Logistics 134,Sea,4.47,47,9,United Kingdom
9c503c64-433f-4c1b-88a4-17f3731c5abc,DB Schenker 135,Road,3.29,2448,27,United Kingdom
6b3988ff-e9fe-484d-b093-2c7d9111653a,DB Schenker 136,Sea,3.28,2723,26,China
a6785649-319a-422c-ad09-ccaeef43277f,Maersk 137,Road,3.58,2309,19,Japan
0f97a90c-e870-48f9-b927-27e2872acb52,DHL 138,Air,4.8,367,19,UAE
d0b02d8c-8c98-494c-9dc5-962f9e0d68d8,Maersk 139,Sea,3.15,2163,12,United States
c29d3e57-84fc-452c-87cf-c317267650d2,DP World Logistics 140,Road,3.67,1260,11,UAE
10eb2967-aee1-48d8-8614-dd7a514de567,Allcargo Express 141,Sea,4.23,1774,30,Netherlands
c40ef00f-b2e4-45ec-9e73-a70e228cc6df,Blue Dart 142,Air,3.24,2076,37,Singapore
f5e4771e-f510-4faf-900d-f789fde3272d,Allcargo Express 143,Sea,3.21,522,29,United Kingdom
b8a8b604-9f4c-4057-bbe7-22e5f58876ff,Blue Dart 144,Air,4.04,1679,26,Japan
36e75f7e-a863-4119-af0a-17f7f537e663,FedEx 145,Road,3.93,3739,26,UAE
c7d69234-a6e2-42df-b8b5-aedbb05967ae,CMA CGM 146,Road,4.19,2695,37,South Korea
39d147aa-0a66-4a47-9c81-4e3fc065b68b,MSC 147,Sea,3.37,159,10,Germany
d9b3e864-0894-4ef5-af83-4dd1e63010c7,MSC 148,Sea,3.12,3457,29,Netherlands
7fa9d391-970b-430e-af2e-e1b9031e9563,MSC 149,Road,3.7,3498,32,Netherlands
b9f8a8c0-50e2-4d8f-b11b-98fd93e42767,Hapag-Lloyd 150,Road,4.1,3750,26,Netherlands
7a03bd2e-4fa1-4243-8653-c8252b3b84b6,CMA CGM 151,Sea,3.3,434,19,Japan
5ba02bc7-b4d8-4a0f-b348-77234e1183a0,Emirates SkyCargo 152,Road,4.73,4005,11,South Korea
50c5ac4e-5e6f-4dd6-87a9-cc727f9afa43,DB Schenker 153,Air,3.83,2810,16,Netherlands
d04413b6-274d-4f9f-aa26-8a72e8ca9f87,DHL 154,Rail,3.22,3270,3,India
5a9eaf78-b9be-475d-8044-2d76256eebed,Allcargo Express 155,Sea,4.0,3159,12,United Kingdom
8f0093f7-8417-4321-a61f-eae9bef367cf,FedEx 156,Sea,3.56,1650,8,China
7c874ed7-bf9d-4dcd-8ee5-56d718d55e4b,MSC 157,Air,4.0,3452,22,Singapore
0ec81157-3df5-4966-962e-ca7ac528498b,Maersk 158,Rail,3.8,2597,4,Germany
245a55ce-8ad8-4f48-b26a-df3bcdb01d11,DP World Logistics 159,Sea,4.81,3874,4,South Korea
ea8f4df7-bbf9-4e48-9b5e-131f27e84a1d,MSC 160,Rail,4.23,4057,15,Singapore
3528e31f-d15f-4ffd-a22d-6c496ba7c710,DHL 161,Air,3.81,192,19,Germany
da247946-d847-46da-b685-b0b7d90ccc96,DB Schenker 162,Road,4.56,273,33,Japan
07929e4f-794b-43b2-a826-4bfc5deed1a5,Maersk 163,Road,3.32,1502,25,South Korea
be5290fb-8a81-4761-b9f8-285d1cd12289,Hapag-Lloyd 164,Sea,4.43,4126,23,Germany
b87670cd-53fa-4220-91c9-3afe158baab8,DP World Logistics 165,Sea,3.13,2283,26,United Kingdom
e729b70d-e55f-4b87-a219-131e6c8ad145,Kuehne Nagel 166,Rail,3.35,1527,6,Germany
213e072c-2ea4-4a8d-87c2-58b1961d402e,Allcargo Express 167,Air,4.87,3984,13,Singapore
c1639286-83ea-4d34-9f13-4fa10e561b7a,FedEx 168,Sea,4.07,2866,12,Germany
2449ad41-2778-415c-a693-2f5093086848,DHL 169,Rail,3.84,2842,24,South Korea
12117098-45d2-46ee-9f28-46d4cf9fb2dd,Allcargo Express 170,Sea,3.67,2059,38,United Kingdom
986d8ed8-16e2-460b-8530-c7a405e3479c,Maersk 171,Road,3.62,643,16,UAE
d72d0cf1-27dc-4b45-b55e-be71b6cca108,Allcargo Express 172,Air,4.22,339,35,Singapore
67a1dffe-59a6-4c60-80a9-967622b8b897,Hapag-Lloyd 173,Road,3.25,472,21,United States
376b9f3d-1e08-402d-8a7d-b418b8a533cf,Blue Dart 174,Sea,4.71,4185,28,UAE
023ce628-75f9-417e-943b-feff4345ae97,DP World Logistics 175,Sea,3.56,1417,32,UAE
045cddb5-ecde-4f4a-bc69-75d298445e1a,DB Schenker 176,Sea,4.25,1282,25,United States
151fe59e-ee14-417e-9231-2064c50a5189,Kuehne Nagel 177,Air,4.87,3164,37,Germany
ab3d5e9f-2968-4991-930c-99204eda8d4e,Hapag-Lloyd 178,Sea,3.2,2946,31,UAE
e00856a9-c163-40f1-b95d-f396ff9d62c4,DHL 179,Road,4.16,2072,34,Singapore
d80bd7af-200c-4be3-bcf4-59f2cbec57c4,Kuehne Nagel 180,Sea,3.37,1898,37,Germany
9b11888a-9431-4445-90aa-0bdaa43dd334,FedEx 181,Sea,3.9,3654,31,Germany
8b28f482-76ff-42f0-9f69-ede77e735000,CMA CGM 182,Sea,3.93,3349,38,China
21f182c3-2142-401f-b438-040b53dfcd5e,Maersk 183,Sea,4.01,1504,6,Germany
f798d41d-73ca-4a3f-aa43-30c160e32bb6,DB Schenker 184,Rail,4.19,3335,4,UAE
392d879b-e658-4157-a366-c549970e236a,FedEx 185,Sea,4.2,4143,16,Japan
28084f50-307b-45f5-b00d-3d014cd58b89,Blue Dart 186,Sea,3.87,687,38,Netherlands
6be47b0b-188c-4235-9487-4e5b18697c46,Maersk 187,Rail,4.52,1280,19,United States
37f825e8-3af7-4b96-a61a-170808d929db,Kuehne Nagel 188,Sea,4.81,1483,13,United Kingdom
28e44baa-0f03-4001-816f-d9babb9e6e14,FedEx 189,Sea,4.67,2816,36,China
2c7c9716-c14a-4f6b-8637-e48b754f8f1e,DP World Logistics 190,Rail,3.26,250,28,South Korea
09603831-28e7-4919-a5a2-e00de1d718d8,Kuehne Nagel 191,Air,4.62,2163,4,United States
4d997203-b9c8-40b3-8eba-27e57c3ee95a,Allcargo Express 192,Sea,4.87,4067,9,India
e094a6ec-8e7b-4770-9a6a-b6310988e28d,Emirates SkyCargo 193,Sea,4.6,4014,9,South Korea
0a818749-fbfd-4af6-be46-9adf72473aad,Kuehne Nagel 194,Sea,3.59,775,11,Japan
e5a97516-93a0-4b3d-b56d-2c3d0ee73089,MSC 195,Air,3.6,4107,10,Netherlands
b37d1bdd-8163-48b4-b90d-0622b10246b7,FedEx 196,Road,3.69,2374,22,Japan
23772b64-a257-486f-a026-e11d6eeb0ddb,Kuehne Nagel 197,Road,4.72,2330,16,Japan
b0fe66fb-fa53-4f3b-87e1-cd626e3d9d9b,Blue Dart 198,Road,4.72,2702,11,Japan
1170b000-7343-4c13-a7f5-82c6a8fd85af,FedEx 199,Sea,3.25,229,20,United Kingdom
261ffea9-f0a8-4af6-a042-8ca494335da6,Kuehne Nagel 200,Road,3.45,906,28,Singapore
1b1933fa-1b0d-4549-83da-dfe2f8353e62,Maersk 201,Rail,4.85,2402,28,Germany
3996d2d9-e572-452d-9943-609c4a3df92b,FedEx 202,Road,3.24,1443,23,South Korea
ea5196c9-b3e4-4937-b001-83fea974d482,Emirates SkyCargo 203,Air,4.03,1351,10,Germany
713977eb-2be7-4259-b8ba-2627fd5fc1af,DB Schenker 204,Air,3.41,1455,29,South Korea
a256ccd7-f9d0-4947-8af6-873e2afc5bf5,Hapag-Lloyd 205,Road,3.32,390,9,UAE
a8105cf8-5cc6-4b54-afef-e6f3bc1a227d,DHL 206,Sea,4.81,2968,13,United Kingdom
d7fb30df-5912-421c-befa-becd4fffb683,FedEx 207,Sea,4.59,2687,26,China
85e00807-dae1-47c7-a565-dd0b4c32b08d,Maersk 208,Air,4.78,3345,33,China
70b2049a-f349-4fae-9700-43ecc3ac8cd8,Kuehne Nagel 209,Road,4.43,3798,35,UAE
060e7ea3-7c3b-4281-ae63-73803684a462,Maersk 210,Rail,4.8,4160,36,Netherlands
090a9c44-e24a-44f7-ad72-b9bc963daabd,Emirates SkyCargo 211,Road,4.8,387,4,Japan
008e038d-6c72-4d2c-8237-728ec253271e,DHL 212,Sea,4.56,3889,22,Singapore
322c6456-96b0-41ad-aab6-22e61520c935,Hapag-Lloyd 213,Sea,3.46,858,29,India
0ac7f243-a59f-4de3-99e2-ed2b7c3a5f51,Maersk 214,Road,3.18,680,37,Netherlands
770e9fba-43f6-41a5-bac6-06d39eaf4b86,Blue Dart 215,Air,3.26,2623,17,United States
df487654-438b-4f9e-93d9-6b5bf5682cf8,DP World Logistics 216,Sea,3.26,2566,18,United States
39859048-03a2-4836-903d-52ebd9771fdc,MSC 217,Sea,3.75,713,33,Singapore
00f693a4-7819-4dec-a530-8aeef8b7114e,Emirates SkyCargo 218,Road,3.85,1520,28,South Korea
9810202b-d8e1-4387-b121-40e706b283b2,Maersk 219,Road,4.15,2415,25,United Kingdom
dd4a08fd-c7ad-421d-b6b9-d0f9fa46f891,Emirates SkyCargo 220,Road,4.38,3600,17,India
707ccbaa-a472-436b-ab95-e123de0d325e,Emirates SkyCargo 221,Road,4.73,490,4,South Korea
6b141564-ac04-4007-998d-65ef785ee68f,FedEx 222,Air,3.44,2503,34,Japan
a9e8d8d7-ff3e-4de5-88aa-fc1edf584c5f,Kuehne Nagel 223,Road,3.87,2558,32,United States
46768129-c7d6-427d-98b9-d91cca2594a2,Hapag-Lloyd 224,Road,3.59,3265,16,Netherlands
6172258b-9be0-4ac0-8e65-d7381ec2b971,DB Schenker 225,Road,3.63,174,15,Japan
398eb64e-cdba-4804-8e1c-8f29bf5c77b1,DB Schenker 226,Air,4.05,3099,35,United Kingdom
89364697-6e9c-4071-92ba-7ca5f1e1b9de,Kuehne Nagel 227,Sea,3.95,2822,17,United Kingdom
32a141bd-fddf-43ba-b4a8-5947bbf00578,FedEx 228,Air,4.09,3850,21,Germany
36fc726d-049c-4dcb-8dac-c696ba1bd45b,CMA CGM 229,Sea,4.54,924,13,South Korea
bf4bf590-3c00-45b7-ab5f-5e51a1d6942d,FedEx 230,Sea,4.5,1938,19,Netherlands
587bb536-1f31-45c3-9fe4-e26540518a9e,DHL 231,Sea,4.82,2695,38,South Korea
4434014e-f82d-4fff-9671-bc4152a19eab,MSC 232,Sea,4.54,2651,9,Netherlands
c20d80f2-c4bf-44bb-a122-6afa7c55cf97,DHL 233,Road,4.34,3869,37,United States
a1f5accd-dbe1-48ab-80e4-7d564a967300,Emirates SkyCargo 234,Sea,4.37,1424,21,Germany
870b8e74-6d57-48fc-abb8-e938c279a88b,MSC 235,Sea,4.28,1307,31,Germany
5f9bc3c7-7fba-49ad-933c-69e05c9cc0ed,MSC 236,Sea,3.54,3245,32,Netherlands
e15c6e02-550a-465e-bdd0-0e94eab95ad6,DHL 237,Sea,3.4,2080,7,Singapore
8a9d86cb-5355-4758-94b2-4043370b38fe,Emirates SkyCargo 238,Sea,3.48,3664,29,UAE
098b7d51-61be-4f7f-87fb-ad35737d9dc9,CMA CGM 239,Sea,4.45,1274,24,United States
9d09190f-d318-4afa-af02-833d170bae76,Allcargo Express 240,Road,4.32,3764,22,UAE
3353e9fc-3f1c-4542-b7e0-e99a9bcff62b,Maersk 241,Sea,3.93,2949,9,UAE
f7c3ad1a-c082-4909-8af3-4e2288ba8bfc,Allcargo Express 242,Road,4.15,3725,30,United Kingdom
f1032810-c58c-4a20-975c-fe01e18f342e,Hapag-Lloyd 243,Air,4.48,2146,20,South Korea
c75c8b86-41a6-4843-afc9-997e36fa4cea,DP World Logistics 244,Air,3.74,575,13,Singapore
11739c4e-8c46-4cf8-8aa2-223b9a7f932e,DB Schenker 245,Sea,3.99,3858,8,China
ef148f8c-c7de-4565-9c80-6a94b38e89ad,Kuehne Nagel 246,Road,3.42,2486,10,China
3134180c-d9e4-4246-861b-ec45d003b233,Allcargo Express 247,Sea,3.76,899,10,UAE
59672f80-8ddf-4c94-b8c4-7dab04ba4e65,DB Schenker 248,Sea,3.96,2729,35,Singapore
ebefa261-8484-4c36-9c62-73a7dd247a81,DB Schenker 249,Road,4.8,1983,22,Singapore
65516330-050f-4f09-8cf6-33be415b61de,FedEx 250,Sea,3.87,1392,6,United Kingdom
f187cc85-503c-4353-9315-724e8376616b,Hapag-Lloyd 251,Sea,4.51,486,36,Netherlands
a18f310a-b69b-4c5d-8fd9-78de57f49985,Emirates SkyCargo 252,Sea,4.36,905,16,UAE
c5a87920-8163-4bcd-9bd1-c8948bae99a0,CMA CGM 253,Road,4.36,2108,38,Germany
86c480f9-b7c0-4c12-b8b1-ef665f3114a6,FedEx 254,Air,4.77,1208,6,India
800b3079-3432-45c3-b461-90d359484782,DHL 255,Sea,4.47,4023,27,China
8d93ce9f-fc74-4c77-9dd8-35d0fbc5bd40,DP World Logistics 256,Road,4.8,1317,9,China
b96375ea-9810-4746-ab8b-53ab284a56d6,Hapag-Lloyd 257,Rail,3.73,1644,17,South Korea
e381f504-fa51-47a3-98d6-e397a9ac4d8b,CMA CGM 258,Sea,3.46,3052,34,United States
e4736f73-32a3-4e8c-8f46-4985bb637906,Allcargo Express 259,Sea,3.61,3328,23,Japan
4384e3f7-c91f-4593-bea2-b162d87c6d16,Blue Dart 260,Rail,3.54,1144,14,UAE
3b3abfd6-1b93-43e9-a8c9-b0e5184e70a7,MSC 261,Air,4.38,4148,21,Netherlands
4243dfb5-a7b6-4a36-96d1-20101dbb241d,FedEx 262,Air,4.7,392,20,Germany
9001207e-02b1-47c5-83b4-92120a464212,Maersk 263,Rail,4.01,4131,14,United States
