Sheet Name: Carriers

carrier_id: cedba817-bbfa-4736-96d3-6588736ea61d | carrier_name: Maersk 1 | carrier_type: Air | average_rating: 4.08 | fleet_size: 1635 | years_of_service: 19 | headquarters: Netherlands
carrier_id: 576d54ad-707b-44d6-a400-0069658be197 | carrier_name: FedEx 23 | carrier_type: Road | average_rating: 3.69 | fleet_size: 813 | years_of_service: 6 | headquarters: Germany
carrier_id: c2becd38-fc1a-4d5d-adab-25fab286c098 | carrier_name: Hapag-Lloyd 24 | carrier_type: Air | average_rating: 4.18 | fleet_size: 1316 | years_of_service: 19 | headquarters: South Korea
carrier_id: f38c2a4d-ec76-4b66-a637-3de44aabf7b1 | carrier_name: Maersk 25 | carrier_type: Sea | average_rating: 3.57 | fleet_size: 2210 | years_of_service: 20 | headquarters: Germany
carrier_id: 2d7d6c1f-fbe0-4602-9ea1-9aacd4559932 | carrier_name: DHL 26 | carrier_type: Sea | average_rating: 3.27 | fleet_size: 4033 | years_of_service: 36 | headquarters: United States
carrier_id: 45b63db3-f315-4de3-bf8d-3dc7dbe65402 | carrier_name: FedEx 27 | carrier_type: Sea | average_rating: 3.24 | fleet_size: 3777 | years_of_service: 24 | headquarters: Germany
carrier_id: 7fd92d1e-4a2f-4505-9bf2-728e6586406a | carrier_name: DB Schenker 28 | carrier_type: Sea | average_rating: 3.43 | fleet_size: 1554 | years_of_service: 9 | headquarters: Singapore
carrier_id: 9905b4ee-a999-4362-b648-a6432f908d4e | carrier_name: Allcargo Express 29 | carrier_type: Air | average_rating: 3.58 | fleet_size: 742 | years_of_service: 9 | headquarters: United States
carrier_id: 1d9ea0ab-2b22-4453-8a3a-ae8e6bc413d0 | carrier_name: Allcargo Express 30 | carrier_type: Rail | average_rating: 3.69 | fleet_size: 2549 | years_of_service: 28 | headquarters: Japan
carrier_id: d54f1cfd-5e51-4fd1-ba8b-e244f8e5bd1e | carrier_name: MSC 31 | carrier_type: Sea | average_rating: 3.8 | fleet_size: 3735 | years_of_service: 29 | headquarters: United States
carrier_id: 8e397fbb-1db9-460a-9011-55fcc4961174 | carrier_name: CMA CGM 32 | carrier_type: Rail | average_rating: 4.37 | fleet_size: 3355 | years_of_service: 29 | headquarters: United States
carrier_id: a6fee5cc-9a5b-49b6-8d1a-e4f5eadba5bd | carrier_name: DHL 33 | carrier_type: Rail | average_rating: 4.65 | fleet_size: 3708 | years_of_service: 36 | headquarters: India
carrier_id: 310a9526-a3c6-4a96-a4d7-f4fbe2231d68 | carrier_name: Emirates SkyCargo 34 | carrier_type: Air | average_rating: 3.61 | fleet_size: 1488 | years_of_service: 30 | headquarters: South Korea
carrier_id: b81b40bd-eca8-451b-8cb2-ba718e7323df | carrier_name: Kuehne Nagel 35 | carrier_type: Sea | average_rating: 4.39 | fleet_size: 2202 | years_of_service: 28 | headquarters: China
carrier_id: 7b22389f-a34b-4358-adff-cd3baca6815f | carrier_name: Maersk 36 | carrier_type: Road | average_rating: 4.49 | fleet_size: 862 | years_of_service: 5 | headquarters: Japan
carrier_id: 283c7d34-bd8d-4240-8a0b-dfd2bc4531fa | carrier_name: FedEx 37 | carrier_type: Road | average_rating: 4.75 | fleet_size: 2587 | years_of_service: 8 | headquarters: UAE
carrier_id: a3adc6c8-7ccf-448d-8504-a1f9eefcb14f | carrier_name: DB Schenker 38 | carrier_type: Sea | average_rating: 3.29 | fleet_size: 408 | years_of_service: 15 | headquarters: India
carrier_id: e3c3699f-7f1f-48ab-8643-c6cc1a6ecb9b | carrier_name: Emirates SkyCargo 39 | carrier_type: Sea | average_rating: 3.88 | fleet_size: 454 | years_of_service: 37 | headquarters: Singapore
carrier_id: 827e3ade-dc69-4173-a9f0-80c7da890981 | carrier_name: DP World Logistics 40 | carrier_type: Sea | average_rating: 4.53 | fleet_size: 1340 | years_of_service: 30 | headquarters: United Kingdom
carrier_id: e3b60b40-ec7f-4663-bc74-41ad8203284e | carrier_name: Kuehne Nagel 41 | carrier_type: Sea | average_rating: 4.55 | fleet_size: 2357 | years_of_service: 9 | headquarters: South Korea
carrier_id: 97d261ac-b658-4ccb-a9ef-e2ab66ac7060 | carrier_name: DB Schenker 42 | carrier_type: Road | average_rating: 3.31 | fleet_size: 2292 | years_of_service: 32 | headquarters: UAE
carrier_id: b2fc5956-30bb-416a-b3e1-059214854688 | carrier_name: Kuehne Nagel 43 | carrier_type: Sea | average_rating: 3.39 | fleet_size: 1919 | years_of_service: 3 | headquarters: China
carrier_id: 4128f913-b5cd-4444-b885-23b49798dda0 | carrier_name: Kuehne Nagel 44 | carrier_type: Sea | average_rating: 4.64 | fleet_size: 1486 | years_of_service: 30 | headquarters: China
carrier_id: d03a5c16-cc52-4a69-abe0-55bfddc27e67 | carrier_name: MSC 45 | carrier_type: Road | average_rating: 4.5 | fleet_size: 3289 | years_of_service: 30 | headquarters: Singapore
carrier_id: 2552b925-fdad-4662-9c1d-14360c05ae64 | carrier_name: FedEx 46 | carrier_type: Sea | average_rating: 4.67 | fleet_size: 2011 | years_of_service: 10 | headquarters: UAE
carrier_id: 33a13863-7efa-4e92-8f8e-2762fa12deed | carrier_name: FedEx 47 | carrier_type: Road | average_rating: 3.31 | fleet_size: 462 | years_of_service: 26 | headquarters: Germany
carrier_id: d9b6f2cb-9232-4520-ab86-f3e109b74b23 | carrier_name: CMA CGM 48 | carrier_type: Air | average_rating: 3.81 | fleet_size: 205 | years_of_service: 16 | headquarters: India
carrier_id: a2bedee9-c446-48e6-a0aa-9162559620aa | carrier_name: DP World Logistics 49 | carrier_type: Sea | average_rating: 4.51 | fleet_size: 116 | years_of_service: 37 | headquarters: India
carrier_id: 9dad58ad-74f7-4f43-a195-56102aa17d5f | carrier_name: FedEx 50 | carrier_type: Air | average_rating: 3.32 | fleet_size: 495 | years_of_service: 37 | headquarters: Netherlands
carrier_id: 2caec3a5-1b1b-4f22-bd8a-abdd08c58bc4 | carrier_name: DHL 51 | carrier_type: Sea | average_rating: 3.98 | fleet_size: 3011 | years_of_service: 31 | headquarters: South Korea
carrier_id: dddf7755-6105-4d1e-b86f-75a766ff582a | carrier_name: Blue Dart 52 | carrier_type: Rail | average_rating: 4.38 | fleet_size: 764 | years_of_service: 14 | headquarters: United States
carrier_id: 4e8b4190-c818-4734-9e04-4ff4c95f1423 | carrier_name: DP World Logistics 53 | carrier_type: Road | average_rating: 3.6 | fleet_size: 2264 | years_of_service: 6 | headquarters: Singapore
carrier_id: 60a9d1a8-6754-41a7-baf6-1d84b2a69c96 | carrier_name: Blue Dart 54 | carrier_type: Road | average_rating: 4.79 | fleet_size: 1722 | years_of_service: 12 | headquarters: United States
carrier_id: ba667d36-95a5-49cf-8686-9d8e864c55a8 | carrier_name: Emirates SkyCargo 55 | carrier_type: Sea | average_rating: 4.02 | fleet_size: 1574 | years_of_service: 18 | headquarters: Germany
carrier_id: dec64907-f49a-4cc6-8ea6-abc4d602b1ef | carrier_name: FedEx 56 | carrier_type: Rail | average_rating: 4.55 | fleet_size: 2462 | years_of_service: 30 | headquarters: United Kingdom
carrier_id: f23db8e7-88d5-468c-81d9-ffca0c267e30 | carrier_name: DP World Logistics 57 | carrier_type: Sea | average_rating: 4.35 | fleet_size: 1363 | years_of_service: 14 | headquarters: Germany
carrier_id: 8390df49-6b31-40f6-b42d-7e98f68d44d3 | carrier_name: Maersk 58 | carrier_type: Sea | average_rating: 3.19 | fleet_size: 1451 | years_of_service: 12 | headquarters: United Kingdom
carrier_id: 96f800cd-bafd-45d6-b311-aa6f1fb75bc5 | carrier_name: Maersk 59 | carrier_type: Sea | average_rating: 3.57 | fleet_size: 3625 | years_of_service: 28 | headquarters: South Korea
carrier_id: ae59e535-34bb-4867-8c5d-ee4a7161d72a | carrier_name: Allcargo Express 60 | carrier_type: Sea | average_rating: 4.22 | fleet_size: 3085 | years_of_service: 4 | headquarters: Netherlands
carrier_id: d05169a4-df20-453f-a218-c0fc6e2eab7b | carrier_name: Kuehne Nagel 61 | carrier_type: Sea | average_rating: 4.12 | fleet_size: 3713 | years_of_service: 23 | headquarters: UAE
carrier_id: 5883f652-0982-442e-9458-9294246b22cb | carrier_name: Emirates SkyCargo 62 | carrier_type: Sea | average_rating: 3.61 | fleet_size: 2115 | years_of_service: 16 | headquarters: Germany
carrier_id: fbad1ee4-fc69-48d4-a9e5-ccf0c65f39e7 | carrier_name: Emirates SkyCargo 63 | carrier_type: Sea | average_rating: 3.1 | fleet_size: 2109 | years_of_service: 30 | headquarters: India
carrier_id: b70d4aa0-856b-4e88-82fe-44ba950ac53b | carrier_name: Maersk 64 | carrier_type: Sea | average_rating: 4.57 | fleet_size: 3663 | years_of_service: 25 | headquarters: United States
carrier_id: 1d946a69-b250-4655-b7f9-b5b59d3bf32b | carrier_name: MSC 65 | carrier_type: Sea | average_rating: 4.87 | fleet_size: 1136 | years_of_service: 29 | headquarters: Germany
carrier_id: 17ea2133-291c-43f1-a4b2-e5c041072fa6 | carrier_name: CMA CGM 66 | carrier_type: Sea | average_rating: 3.4 | fleet_size: 1158 | years_of_service: 10 | headquarters: United Kingdom
carrier_id: c6a1e273-9310-4bba-b993-8013a69c737d | carrier_name: FedEx 67 | carrier_type: Air | average_rating: 4.74 | fleet_size: 55 | years_of_service: 19 | headquarters: Netherlands
carrier_id: 75db2156-cc37-481d-939c-4d491717e162 | carrier_name: FedEx 68 | carrier_type: Air | average_rating: 4.51 | fleet_size: 3532 | years_of_service: 14 | headquarters: South Korea
carrier_id: ab27376e-6314-4c94-9710-37ddb462752a | carrier_name: DB Schenker 69 | carrier_type: Road | average_rating: 3.13 | fleet_size: 438 | years_of_service: 25 | headquarters: UAE
carrier_id: 37e2f60f-67aa-454a-a468-fafd661c1399 | carrier_name: Emirates SkyCargo 70 | carrier_type: Rail | average_rating: 4.73 | fleet_size: 1521 | years_of_service: 8 | headquarters: UAE
carrier_id: 34cf2a38-6cf6-4100-969e-5bbd04372180 | carrier_name: FedEx 71 | carrier_type: Road | average_rating: 3.67 | fleet_size: 3684 | years_of_service: 10 | headquarters: United States
carrier_id: 666b5f81-de31-4810-802e-5b7265cffc95 | carrier_name: Maersk 72 | carrier_type: Road | average_rating: 3.35 | fleet_size: 3855 | years_of_service: 8 | headquarters: China
carrier_id: 5c3674ae-931f-4bf6-89ea-0ef9f8783fa3 | carrier_name: CMA CGM 73 | carrier_type: Sea | average_rating: 3.17 | fleet_size: 3783 | years_of_service: 33 | headquarters: Netherlands
carrier_id: 85bc847a-bf82-4a46-9866-9d9cec570470 | carrier_name: Hapag-Lloyd 74 | carrier_type: Sea | average_rating: 3.63 | fleet_size: 1100 | years_of_service: 6 | headquarters: UAE
carrier_id: 9e7d0ba2-11ee-41c3-af77-1d501f2383d3 | carrier_name: Kuehne Nagel 75 | carrier_type: Road | average_rating: 4.82 | fleet_size: 2303 | years_of_service: 32 | headquarters: Netherlands
carrier_id: 11aef38f-e488-4b07-9762-0dc3865db352 | carrier_name: DP World Logistics 76 | carrier_type: Road | average_rating: 4.4 | fleet_size: 344 | years_of_service: 28 | headquarters: United States
carrier_id: 93cd36d2-fab6-4892-ae60-4cea2bf577f6 | carrier_name: Emirates SkyCargo 77 | carrier_type: Air | average_rating: 4.84 | fleet_size: 253 | years_of_service: 29 | headquarters: South Korea
carrier_id: 4ef3b3b1-eec7-4246-b1ea-41bd0934b82c | carrier_name: Hapag-Lloyd 78 | carrier_type: Air | average_rating: 4.84 | fleet_size: 3103 | years_of_service: 14 | headquarters: South Korea
carrier_id: 3e594a3e-7aa5-4459-bbc5-ebf8255191b9 | carrier_name: DB Schenker 79 | carrier_type: Sea | average_rating: 4.17 | fleet_size: 3485 | years_of_service: 33 | headquarters: Germany
carrier_id: 4a26fed7-f769-4152-8ee2-152fafca3f86 | carrier_name: DB Schenker 80 | carrier_type: Road | average_rating: 3.74 | fleet_size: 165 | years_of_service: 24 | headquarters: Germany
carrier_id: 5a00d64b-4276-4cef-b524-314c997c8a4e | carrier_name: DB Schenker 81 | carrier_type: Air | average_rating: 3.2 | fleet_size: 2089 | years_of_service: 35 | headquarters: South Korea
carrier_id: 0d704bf5-c9aa-4a74-92a8-e645a8efa271 | carrier_name: MSC 82 | carrier_type: Sea | average_rating: 3.42 | fleet_size: 378 | years_of_service: 6 | headquarters: Singapore
carrier_id: 0050fc32-84b6-4841-b64d-6c3ec65e6d38 | carrier_name: Blue Dart 83 | carrier_type: Road | average_rating: 3.64 | fleet_size: 1577 | years_of_service: 24 | headquarters: Netherlands
carrier_id: 8d6b5d1a-8f1f-4a49-b69b-33b66e1580f2 | carrier_name: Hapag-Lloyd 84 | carrier_type: Rail | average_rating: 3.78 | fleet_size: 764 | years_of_service: 6 | headquarters: Germany
carrier_id: 6ccc85de-0137-42ab-a6b4-80d047c37bf6 | carrier_name: Blue Dart 85 | carrier_type: Road | average_rating: 4.47 | fleet_size: 3898 | years_of_service: 25 | headquarters: UAE
carrier_id: e517e27b-4f9f-4f95-8926-f7e6effe1f3f | carrier_name: Maersk 86 | carrier_type: Air | average_rating: 4.74 | fleet_size: 3343 | years_of_service: 20 | headquarters: China
carrier_id: 5a5c8692-432d-4679-8e07-a6d65640bc73 | carrier_name: FedEx 87 | carrier_type: Air | average_rating: 4.06 | fleet_size: 2411 | years_of_service: 35 | headquarters: South Korea
carrier_id: b2b04e4f-fcf9-42a6-a0c8-58fa0a00f454 | carrier_name: Hapag-Lloyd 88 | carrier_type: Road | average_rating: 3.39 | fleet_size: 1621 | years_of_service: 27 | headquarters: South Korea
carrier_id: 0ef2a0d3-cc50-48f9-a6f7-61bc75d4910e | carrier_name: DP World Logistics 89 | carrier_type: Sea | average_rating: 4.06 | fleet_size: 2086 | years_of_service: 9 | headquarters: United States
carrier_id: 785a76fc-3979-4629-ae0e-685a269b5065 | carrier_name: CMA CGM 90 | carrier_type: Road | average_rating: 3.17 | fleet_size: 2991 | years_of_service: 27 | headquarters: South Korea
carrier_id: f1b6bc0e-0d54-4bf5-b5cc-cc871d5d8745 | carrier_name: DP World Logistics 91 | carrier_type: Air | average_rating: 4.84 | fleet_size: 2689 | years_of_service: 5 | headquarters: Japan
carrier_id: fb0d3fba-8851-42ee-b43e-64563bfbdb4e | carrier_name: Hapag-Lloyd 92 | carrier_type: Road | average_rating: 3.33 | fleet_size: 4103 | years_of_service: 4 | headquarters: Singapore
carrier_id: 26768ae9-66dd-4d27-96a6-1a04f219b4e1 | carrier_name: FedEx 93 | carrier_type: Road | average_rating: 4.07 | fleet_size: 2924 | years_of_service: 33 | headquarters: Germany
carrier_id: d4ea7e90-a061-4ef9-8118-f2aac181148a | carrier_name: Allcargo Express 94 | carrier_type: Road | average_rating: 3.99 | fleet_size: 3569 | years_of_service: 9 | headquarters: Singapore
carrier_id: c7c0f774-dd86-43e9-9b8e-1d19f253016c | carrier_name: Kuehne Nagel 95 | carrier_type: Road | average_rating: 3.63 | fleet_size: 2152 | years_of_service: 38 | headquarters: Netherlands
carrier_id: 02bae24f-6a30-46cb-bda1-a410293ea830 | carrier_name: DHL 96 | carrier_type: Air | average_rating: 3.75 | fleet_size: 717 | years_of_service: 12 | headquarters: United Kingdom
carrier_id: 9059ba55-674f-40ce-86c2-6ea04a1969b2 | carrier_name: CMA CGM 97 | carrier_type: Air | average_rating: 4.69 | fleet_size: 3035 | years_of_service: 25 | headquarters: United States
carrier_id: 42b1cb44-f844-4a7b-9020-92c8743a307f | carrier_name: Allcargo Express 98 | carrier_type: Rail | average_rating: 3.75 | fleet_size: 3785 | years_of_service: 27 | headquarters: Germany
carrier_id: 1637058b-0d8c-416b-8c17-5c7eac544bbb | carrier_name: Allcargo Express 99 | carrier_type: Air | average_rating: 4.03 | fleet_size: 1966 | years_of_service: 28 | headquarters: China
carrier_id: ee30b9ff-a3ef-4a0d-ad75-7d99faa8f156 | carrier_name: Emirates SkyCargo 100 | carrier_type: Sea | average_rating: 3.11 | fleet_size: 2636 | years_of_service: 9 | headquarters: United States
carrier_id: 7cfefd12-41f6-449c-b0f8-c93c6db23d9e | carrier_name: DB Schenker 101 | carrier_type: Air | average_rating: 3.11 | fleet_size: 1672 | years_of_service: 31 | headquarters: United Kingdom
carrier_id: 5a0ac6af-ddd3-49cd-9e0c-d497f47d0a5b | carrier_name: MSC 102 | carrier_type: Road | average_rating: 3.35 | fleet_size: 367 | years_of_service: 33 | headquarters: Japan
carrier_id: 7dae2089-152e-4bd5-905d-995c4ce65d09 | carrier_name: DHL 103 | carrier_type: Rail | average_rating: 3.87 | fleet_size: 2872 | years_of_service: 11 | headquarters: India
carrier_id: d902ea57-03eb-47b7-b367-5229df52886c | carrier_name: DB Schenker 104 | carrier_type: Sea | average_rating: 3.32 | fleet_size: 816 | years_of_service: 28 | headquarters: China
carrier_id: ee8c8ab3-86d7-4ac5-bd52-3605c76ccfde | carrier_name: Maersk 105 | carrier_type: Air | average_rating: 4.3 | fleet_size: 487 | years_of_service: 17 | headquarters: United Kingdom
carrier_id: 3a248cfc-0c36-44e2-8662-159451cf84cb | carrier_name: Maersk 106 | carrier_type: Road | average_rating: 4.66 | fleet_size: 3489 | years_of_service: 16 | headquarters: Singapore
carrier_id: 74520192-6735-4b47-982a-35fc7fa29bdd | carrier_name: Maersk 107 | carrier_type: Road | average_rating: 3.88 | fleet_size: 3020 | years_of_service: 14 | headquarters: South Korea
carrier_id: 5ce29e15-2573-4aac-8596-20c06b8e6a91 | carrier_name: DP World Logistics 108 | carrier_type: Sea | average_rating: 3.19 | fleet_size: 1169 | years_of_service: 11 | headquarters: Germany
carrier_id: 9b911731-b5ce-4e3c-af5e-37d5c2acc102 | carrier_name: MSC 109 | carrier_type: Air | average_rating: 3.45 | fleet_size: 2362 | years_of_service: 6 | headquarters: United Kingdom
carrier_id: 830d0bc0-3303-4413-8d1f-44ffcbd72938 | carrier_name: Emirates SkyCargo 110 | carrier_type: Road | average_rating: 3.17 | fleet_size: 3840 | years_of_service: 20 | headquarters: United Kingdom
carrier_id: a0f5ae14-c572-479a-ac5a-2976b306c770 | carrier_name: Maersk 111 | carrier_type: Sea | average_rating: 3.66 | fleet_size: 3961 | years_of_service: 22 | headquarters: South Korea
carrier_id: 8ad0658c-3064-47b5-ad86-850c56a5db28 | carrier_name: Allcargo Express 112 | carrier_type: Sea | average_rating: 3.64 | fleet_size: 2334 | years_of_service: 12 | headquarters: Netherlands
carrier_id: d1f2231d-c16f-42d9-a2f3-122d0c4c236d | carrier_name: DP World Logistics 113 | carrier_type: Road | average_rating: 4.37 | fleet_size: 540 | years_of_service: 32 | headquarters: South Korea
carrier_id: 85c1c9fd-7748-4358-977a-a393bc75edd7 | carrier_name: Hapag-Lloyd 114 | carrier_type: Air | average_rating: 3.11 | fleet_size: 3742 | years_of_service: 30 | headquarters: UAE
carrier_id: 6e5a8b32-f8a1-4f7e-bf74-83da542d6a8f | carrier_name: Maersk 115 | carrier_type: Sea | average_rating: 4.2 | fleet_size: 1582 | years_of_service: 38 | headquarters: UAE
carrier_id: 8de737b0-2a64-408b-af59-6339f4db9eb3 | carrier_name: Allcargo Express 116 | carrier_type: Road | average_rating: 3.49 | fleet_size: 1613 | years_of_service: 16 | headquarters: Germany
carrier_id: edcd3820-52d4-4697-944d-a06e66def40b | carrier_name: DP World Logistics 117 | carrier_type: Rail | average_rating: 4.67 | fleet_size: 1986 | years_of_service: 25 | headquarters: China
carrier_id: 7251be46-12ed-4363-9c0f-163eab2f6a95 | carrier_name: Maersk 118 | carrier_type: Sea | average_rating: 3.33 | fleet_size: 163 | years_of_service: 10 | headquarters: India
carrier_id: b5e8111b-12eb-4bd9-9eb1-04d2604fa093 | carrier_name: Hapag-Lloyd 119 | carrier_type: Rail | average_rating: 4.3 | fleet_size: 625 | years_of_service: 5 | headquarters: China
carrier_id: 553fbd87-274f-4df3-a3f1-acaf4ce5642f | carrier_name: DP World Logistics 120 | carrier_type: Road | average_rating: 3.86 | fleet_size: 3485 | years_of_service: 23 | headquarters: Netherlands
carrier_id: 4b33433f-c0d2-476b-9dda-a00e716229f4 | carrier_name: DB Schenker 121 | carrier_type: Road | average_rating: 3.29 | fleet_size: 2058 | years_of_service: 6 | headquarters: United Kingdom
carrier_id: 794a37af-67b3-4466-8c01-30701152860b | carrier_name: Maersk 122 | carrier_type: Rail | average_rating: 3.61 | fleet_size: 3714 | years_of_service: 37 | headquarters: Netherlands
carrier_id: 490cb96e-7dd5-478e-9174-f24c02c4dc8d | carrier_name: Maersk 123 | carrier_type: Road | average_rating: 4.12 | fleet_size: 3973 | years_of_service: 3 | headquarters: UAE
carrier_id: e374f9c9-8a7c-4f3d-b064-ea6a5036fe6e | carrier_name: DB Schenker 124 | carrier_type: Road | average_rating: 3.34 | fleet_size: 3274 | years_of_service: 18 | headquarters: Singapore
carrier_id: ae90cfa4-0824-4947-97db-31dbad400f17 | carrier_name: Emirates SkyCargo 125 | carrier_type: Road | average_rating: 4.61 | fleet_size: 3807 | years_of_service: 29 | headquarters: United Kingdom
carrier_id: 28ceba12-ba55-4d4e-b657-15e3b752d493 | carrier_name: Emirates SkyCargo 126 | carrier_type: Air | average_rating: 4.08 | fleet_size: 3152 | years_of_service: 28 | headquarters: Japan
carrier_id: de377bf8-bcf8-4d3b-92ae-e09b6d713dc1 | carrier_name: Blue Dart 127 | carrier_type: Sea | average_rating: 4.49 | fleet_size: 1793 | years_of_service: 29 | headquarters: UAE
carrier_id: 84d1b4e9-9c4c-4340-8f10-00443070542d | carrier_name: DB Schenker 128 | carrier_type: Air | average_rating: 4.02 | fleet_size: 3964 | years_of_service: 6 | headquarters: India
carrier_id: bcf41679-6894-4a13-9c01-d7d193caf341 | carrier_name: Hapag-Lloyd 129 | carrier_type: Sea | average_rating: 3.26 | fleet_size: 1142 | years_of_service: 36 | headquarters: United States
carrier_id: c9a735df-8ba5-4046-987e-6dbd9fecc259 | carrier_name: Blue Dart 130 | carrier_type: Sea | average_rating: 3.53 | fleet_size: 1468 | years_of_service: 18 | headquarters: Singapore
carrier_id: 3f6e31e7-01f7-4744-8f51-f08072ed7abb | carrier_name: MSC 131 | carrier_type: Road | average_rating: 4.0 | fleet_size: 967 | years_of_service: 7 | headquarters: Japan
carrier_id: 59a1af58-0fca-493b-b732-252eeb662c12 | carrier_name: DP World Logistics 132 | carrier_type: Rail | average_rating: 4.68 | fleet_size: 1720 | years_of_service: 32 | headquarters: Singapore
carrier_id: 10ea5830-ca52-45f3-a307-5aa06a9b34c7 | carrier_name: Maersk 133 | carrier_type: Road | average_rating: 4.64 | fleet_size: 2067 | years_of_service: 23 | headquarters: China
carrier_id: 170ae1e2-f2bc-4433-96d7-7e3f224cf9c4 | carrier_name: DP World Logistics 134 | carrier_type: Sea | average_rating: 4.47 | fleet_size: 47 | years_of_service: 9 | headquarters: United Kingdom
carrier_id: 9c503c64-433f-4c1b-88a4-17f3731c5abc | carrier_name: DB Schenker 135 | carrier_type: Road | average_rating: 3.29 | fleet_size: 2448 | years_of_service: 27 | headquarters: United Kingdom
carrier_id: 6b3988ff-e9fe-484d-b093-2c7d9111653a | carrier_name: DB Schenker 136 | carrier_type: Sea | average_rating: 3.28 | fleet_size: 2723 | years_of_service: 26 | headquarters: China
carrier_id: a6785649-319a-422c-ad09-ccaeef43277f | carrier_name: Maersk 137 | carrier_type: Road | average_rating: 3.58 | fleet_size: 2309 | years_of_service: 19 | headquarters: Japan
