Sheet Name: AI_Inference_Log

inference_id: 095fcec2-7a82-43af-9b05-26769481008d | shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | model_id: a516984e-2c08-4916-847c-7fe4e5e6164f | prediction_timestamp: 2026-01-01 17:27:00 | delay_probability: 0.06664 | risk_category: Low | latency_ms: 486
inference_id: 1d6ff2d1-55c9-47cd-92c7-aaa78a434f30 | shipment_id: f9a5e338-612b-4277-b3e5-b217f5052b69 | model_id: 3364d44e-a0af-44ca-b216-a923df139ad3 | prediction_timestamp: 2025-05-23 19:33:00 | delay_probability: 0.14424 | risk_category: Low | latency_ms: 74
inference_id: 2c45fb4c-0dd5-43dc-8c55-746cd64ed366 | shipment_id: 59c91d80-c10b-4ab9-a42f-6cca9997e1e2 | model_id: 32bdf45c-cbe8-4b76-afcd-7aa752a658d1 | prediction_timestamp: 2025-12-31 14:22:00 | delay_probability: 0.30261 | risk_category: Medium | latency_ms: 673
inference_id: d55866bd-6f7c-4560-a486-e1b9ae05c6b0 | shipment_id: 69f82d20-3011-42d2-b151-436ec9afbbbf | model_id: 6e7ec81d-4a13-4a2c-aeea-c11407f7b1a3 | prediction_timestamp: 2025-02-16 20:02:00 | delay_probability: 0.23619 | risk_category: Low | latency_ms: 536
inference_id: 50d0b633-8d23-4c68-ba74-9f595a3ea491 | shipment_id: f2a2bec3-4db3-42a5-add3-99d1bbbe8df2 | model_id: e4688b4f-87af-479c-be59-8f1d1ec9de91 | prediction_timestamp: 2025-03-02 14:02:00 | delay_probability: 0.09832 | risk_category: Low | latency_ms: 167
inference_id: 4f162085-4d35-45af-9c8b-5308d0a049c4 | shipment_id: 7b48b5fa-3361-4369-b045-89bb5577482f | model_id: 243d3243-0c8e-499f-b1fa-94cb9af8ce5a | prediction_timestamp: 2025-02-12 15:20:00 | delay_probability: 0.28743 | risk_category: Medium | latency_ms: 765
inference_id: c9d80899-8084-4fce-940d-93c8fd6a2667 | shipment_id: a0de7924-4f0a-41d0-9903-b102730aca78 | model_id: 02b27519-45b0-49ac-b87f-5fb3bf2787c8 | prediction_timestamp: 2026-01-22 13:00:00 | delay_probability: 0.22331 | risk_category: Low | latency_ms: 193
inference_id: eecbbd93-98b1-414a-a80f-d4416f4de05a | shipment_id: d952f5ba-ce31-4a85-aedf-2e6c78bf7729 | model_id: 47a9bd72-1045-40ad-9608-d77ec076a720 | prediction_timestamp: 2026-04-02 18:17:00 | delay_probability: 0.46246 | risk_category: Medium | latency_ms: 506
inference_id: 8a03ff54-e7a9-4b80-adb9-099f68c4424a | shipment_id: e25e4fab-e213-4df1-847a-d9a004b6c672 | model_id: 21875694-0bd4-44a1-8206-9aef34519181 | prediction_timestamp: 2025-08-02 13:10:00 | delay_probability: 0.06906 | risk_category: Low | latency_ms: 460
inference_id: b8a0b9b4-4d95-4ca9-8016-a9cfb6713c6c | shipment_id: 1f111f2c-da6c-4341-b355-9ee0aadfeb06 | model_id: 9edc4bce-fdb4-4e94-9f5d-b49f4894f016 | prediction_timestamp: 2025-10-30 13:48:00 | delay_probability: 0.09798 | risk_category: Low | latency_ms: 510
inference_id: 462cbe6f-b197-459f-b9cf-ec57028feea7 | shipment_id: a2855800-6d8c-453d-9b65-6172d17010ac | model_id: 5267a0af-a562-4851-8fa8-a5b954ec48f4 | prediction_timestamp: 2025-12-05 16:00:00 | delay_probability: 0.11643 | risk_category: Low | latency_ms: 109
inference_id: 53bef87b-0d68-4051-ac9c-748d3ca90391 | shipment_id: 3917879e-5ac6-4ddd-99bc-9888f03a0e9e | model_id: e5d9483b-ba25-48f3-8ce0-f6e5d30b0786 | prediction_timestamp: 2025-03-29 17:52:00 | delay_probability: 0.44235 | risk_category: Medium | latency_ms: 778
inference_id: 8217a9d8-28c5-467d-bba4-bd71a72a2ffd | shipment_id: 7d02e36e-a619-44c1-a66b-aaa5a0cb18d4 | model_id: 7bc10cc3-1c0a-4e34-9c47-1bcaffe7cdde | prediction_timestamp: 2025-08-31 15:44:00 | delay_probability: 0.29261 | risk_category: Medium | latency_ms: 447
inference_id: 85565dcc-80a2-4df6-b7b7-b7d4a6e650eb | shipment_id: 68e4edc0-29c1-4988-9448-356081077627 | model_id: 5599a849-ac56-4bfa-832b-6c4e76d7ee95 | prediction_timestamp: 2025-04-06 22:21:00 | delay_probability: 0.13648 | risk_category: Low | latency_ms: 232
inference_id: 9aa58d07-1605-4925-854b-9fe83d8384b1 | shipment_id: 170afafb-872d-4662-9f14-b4987f59e842 | model_id: 0b90bcbd-23c2-4e1b-a3e7-3dfcdd5d2b66 | prediction_timestamp: 2025-04-06 09:17:00 | delay_probability: 0.74504 | risk_category: High | latency_ms: 645
inference_id: f34ffc29-8cb3-43e2-8d7d-005e93a9923d | shipment_id: 7074da33-fe68-4549-bf89-24cdfef3d491 | model_id: f6a5c040-4326-4811-90f5-3a954d2ff0a7 | prediction_timestamp: 2026-01-04 18:14:00 | delay_probability: 0.33258 | risk_category: Medium | latency_ms: 740
inference_id: 4652cab3-cc4e-456d-b279-d94bf57c4d57 | shipment_id: 3a3293bd-2446-4e5e-b733-51b076974f5b | model_id: 09464870-cb55-44b2-98ca-9c95e8dfe346 | prediction_timestamp: 2026-03-17 08:57:00 | delay_probability: 0.24347 | risk_category: Low | latency_ms: 602
inference_id: ff49014b-a4a5-4335-882e-b32b3cbcf291 | shipment_id: 4e9dabde-0ac6-4be4-a6aa-5cc697494340 | model_id: 542fe98e-6bc6-42a4-b639-538e7d3f578d | prediction_timestamp: 2025-07-13 21:56:00 | delay_probability: 0.14891 | risk_category: Low | latency_ms: 771
inference_id: dd7f940f-c818-456a-a050-2d3ab24ffa26 | shipment_id: 98324d21-e12f-4343-bb39-032e88fe450c | model_id: a25790b8-414b-4915-8a8c-ff6d03a74b8b | prediction_timestamp: 2025-10-25 14:00:00 | delay_probability: 0.74036 | risk_category: High | latency_ms: 119
inference_id: d512d158-1f8d-4182-9496-1fcbbb665784 | shipment_id: 88b6ab28-a0b3-46e9-8ccc-f58591f82d81 | model_id: 7a7f62c1-614d-478c-879d-3bb23b134b9d | prediction_timestamp: 2026-04-05 12:37:00 | delay_probability: 0.11335 | risk_category: Low | latency_ms: 208
inference_id: 3b29df98-c7ff-4945-969c-5056ee42b59f | shipment_id: b3b913a6-8ff0-4ee2-8721-f893c7da1009 | model_id: 789105c0-e6a6-46fe-b193-58109d8124fa | prediction_timestamp: 2025-07-12 15:33:00 | delay_probability: 0.30928 | risk_category: Medium | latency_ms: 653
inference_id: 62e48456-c27f-4ff7-8e48-4e1b238b5c53 | shipment_id: 699f3484-2724-4b99-ac15-3906aba97694 | model_id: 76d5c2bb-39e8-4538-bfd7-bc98d3e3984d | prediction_timestamp: 2026-03-12 12:53:00 | delay_probability: 0.111 | risk_category: Low | latency_ms: 616
inference_id: cec8ea47-952a-4472-94c8-e31a754cf053 | shipment_id: ff7e3bb6-2076-4867-9636-6f913b44a651 | model_id: 2a30d3b6-b132-422d-a850-0968d8a7854d | prediction_timestamp: 2025-05-10 16:25:00 | delay_probability: 0.8073 | risk_category: Critical | latency_ms: 587
inference_id: 3dabf4cc-d9f0-4aa7-bd8d-d02950cc81fd | shipment_id: b0a5ff2b-f3bf-451b-8ee6-e857d16f3cb6 | model_id: 7f16db36-098a-4a48-b356-142cf0c4b4cf | prediction_timestamp: 2025-01-02 17:11:00 | delay_probability: 0.0435 | risk_category: Low | latency_ms: 678
inference_id: c243eb52-352a-4045-b2f9-bb33e3563e95 | shipment_id: 4dbfd38b-cee2-4a3f-a804-52da0a988559 | model_id: 83b25e1a-b79b-4c45-b1e7-2649cb87b429 | prediction_timestamp: 2025-04-14 17:42:00 | delay_probability: 0.08275 | risk_category: Low | latency_ms: 767
inference_id: 246ae274-df67-4774-9250-66de65ad4760 | shipment_id: 847a9bf6-9ae6-4534-a200-b959e160efb4 | model_id: 17289d5d-6d48-4438-9f05-f667abda19aa | prediction_timestamp: 2026-03-22 15:44:00 | delay_probability: 0.06331 | risk_category: Low | latency_ms: 737
inference_id: fd847d7d-9fd8-4bb6-bcc7-7ea0c74d163d | shipment_id: ecec55c9-5d3b-4ba1-ab82-666d094926d6 | model_id: f9f6cac4-8f1c-4d4a-812a-a8e13e854c96 | prediction_timestamp: 2025-01-04 18:58:00 | delay_probability: 0.36745 | risk_category: Medium | latency_ms: 637
inference_id: f50702c1-8c67-4bb1-8799-8891671233b5 | shipment_id: 2faafcde-f35e-46e8-b280-c466737f1482 | model_id: 0b1e71ff-bfcc-496e-9e7e-adc80688b1eb | prediction_timestamp: 2025-11-04 08:31:00 | delay_probability: 0.14307 | risk_category: Low | latency_ms: 552
inference_id: b48dabe3-0bb7-4ca4-9017-ee27465be541 | shipment_id: cc4c4a90-28dc-47b2-9ab6-ce35bec68d7f | model_id: 17f6fbf6-312e-4d0f-9d3f-f72d8a917a71 | prediction_timestamp: 2026-02-02 13:06:00 | delay_probability: 0.10448 | risk_category: Low | latency_ms: 707
inference_id: 9291d22f-57b1-470a-ad01-df59ad88537b | shipment_id: 744ed46c-295d-4390-9caa-093ca2495fab | model_id: aea21025-23cf-4a13-8dea-8479329127e4 | prediction_timestamp: 2025-04-29 12:43:00 | delay_probability: 0.17234 | risk_category: Low | latency_ms: 228
inference_id: f205cc80-aa87-4824-b3d7-f07dd2c8854a | shipment_id: 2578b7ee-86ca-4958-bf98-2d545f7ddcf8 | model_id: e5690515-c657-4f48-9133-26fdecc18a82 | prediction_timestamp: 2025-06-18 18:43:00 | delay_probability: 0.26156 | risk_category: Low | latency_ms: 296
inference_id: 78c175ef-b93f-401d-9ea0-d5271b6faaa1 | shipment_id: 70c23394-2977-4cb4-934c-d4030f5bc6e3 | model_id: 8c8d3cba-47cc-42e4-a8ee-c39de64e0f84 | prediction_timestamp: 2025-09-25 22:45:00 | delay_probability: 0.10145 | risk_category: Low | latency_ms: 216
inference_id: 33372eb8-c9f7-4eb1-9383-64991defe2b6 | shipment_id: 715136db-3320-40a5-86f5-0bfd263bf377 | model_id: 0bd9421e-8f2a-4e28-822f-ea56648f5a8c | prediction_timestamp: 2025-11-01 18:50:00 | delay_probability: 0.14328 | risk_category: Low | latency_ms: 247
inference_id: 5130833f-22a9-4c2a-bb14-3b4578ccb222 | shipment_id: cb9bebd6-fcb6-4013-96ae-edcc47a6b371 | model_id: 217cf5ce-505c-4490-b9c0-ec76a42c29c9 | prediction_timestamp: 2025-01-17 20:11:00 | delay_probability: 0.5136 | risk_category: Medium | latency_ms: 617
inference_id: fe0263aa-e9d3-4f77-bd2c-fd45facac7db | shipment_id: f3de0f6d-532f-4411-873e-efa5a84d38b8 | model_id: ef2b882d-94e9-458e-8df3-fe553dd668a0 | prediction_timestamp: 2025-04-11 19:00:00 | delay_probability: 0.05133 | risk_category: Low | latency_ms: 50
inference_id: 29d92dc4-b3be-47dd-b134-8408f8b88421 | shipment_id: f41b5733-7e43-4a47-a9f7-0657177811bf | model_id: c5c63959-4aa6-4cf8-91f4-a2165baf466e | prediction_timestamp: 2025-02-26 15:42:00 | delay_probability: 0.29347 | risk_category: Medium | latency_ms: 104
inference_id: 3e955e4b-59a8-46f5-970a-08cc6c5e03f6 | shipment_id: 8f3dbd71-f84c-4307-84bf-5ae2671ddeb4 | model_id: 86ac0994-76d1-4b1c-8eac-402c3d95b81b | prediction_timestamp: 2026-02-23 15:30:00 | delay_probability: 0.28767 | risk_category: Medium | latency_ms: 228
inference_id: bcf2a5fc-bc6b-49cb-97fa-cae8101cf698 | shipment_id: ff2d7e0d-fb4e-4f13-a7ec-c7ed28e25dff | model_id: ce08e7cb-a049-4172-bb09-6ae0074fb91c | prediction_timestamp: 2025-09-01 19:45:00 | delay_probability: 0.25784 | risk_category: Low | latency_ms: 287
inference_id: 5a5999ba-22fb-4c97-af12-fd2959307d41 | shipment_id: 24f8a30d-e315-4d56-b7ea-f554a2304c7b | model_id: bc01f607-64ec-4d7c-81ba-531fd6925f41 | prediction_timestamp: 2025-12-22 11:09:00 | delay_probability: 0.46924 | risk_category: Medium | latency_ms: 325
inference_id: 016106e0-20a3-4dcc-9be5-24255ae44914 | shipment_id: 7952cdbe-1975-4e37-b276-5dec6efd27e4 | model_id: 2d64ea95-7236-4c0f-9b8a-c93a1c9fe878 | prediction_timestamp: 2026-03-04 12:18:00 | delay_probability: 0.1756 | risk_category: Low | latency_ms: 339
inference_id: de9d897c-5651-4578-960c-f74cb2faf8be | shipment_id: fecbed5d-64fa-405c-9757-f0bd01463311 | model_id: db210a6d-e103-460b-bf67-95589b7c2154 | prediction_timestamp: 2025-11-11 14:08:00 | delay_probability: 0.08529 | risk_category: Low | latency_ms: 266
inference_id: 67dc101b-50ac-4347-a5ef-972a9884b808 | shipment_id: c7572819-1b8e-4dec-a323-4839f35b9d57 | model_id: eb88347f-f3f5-4ca1-a4ac-22ba5abb05a1 | prediction_timestamp: 2025-06-24 11:38:00 | delay_probability: 0.14408 | risk_category: Low | latency_ms: 751
inference_id: 26723032-0629-4b07-941d-3f175b505861 | shipment_id: 6887de15-06ee-4673-ba72-e2cc7e3ec8cf | model_id: e6954003-387d-48fb-87e9-bd7610d5981b | prediction_timestamp: 2026-02-26 09:43:00 | delay_probability: 0.18367 | risk_category: Low | latency_ms: 463
inference_id: 4fbb17e6-7f22-4c79-b60b-903eff5d010a | shipment_id: a740adba-3b5f-4cb3-903d-2ad8fb7293fe | model_id: 9849df79-dfcf-456f-ad14-332da139fc9f | prediction_timestamp: 2025-07-28 19:15:00 | delay_probability: 0.43997 | risk_category: Medium | latency_ms: 577
inference_id: 1b61b223-2e77-4b29-94ce-ada80d4dab95 | shipment_id: 9621f665-d763-42dd-acc2-43a9d45b5cb5 | model_id: 4c56e18d-2b64-40f2-bb36-c4ee5ac6d784 | prediction_timestamp: 2025-11-28 21:20:00 | delay_probability: 0.0498 | risk_category: Low | latency_ms: 467
inference_id: e9a98f1e-d4bb-4ee0-a16d-72967c0ed6a3 | shipment_id: 9f01265b-4a54-4451-973b-73cf77b988ab | model_id: 1f936bf2-3ad3-4e06-a66d-52824f7c6a91 | prediction_timestamp: 2026-03-14 19:05:00 | delay_probability: 0.66951 | risk_category: High | latency_ms: 254
inference_id: b1eec8bd-0d42-4ca4-8e9a-65d2076aa2a7 | shipment_id: 73a57c86-a9b9-4415-add9-d514ddacbb83 | model_id: 55ff955e-9a07-4b2b-8045-b63209db9b7a | prediction_timestamp: 2026-02-15 14:05:00 | delay_probability: 0.21502 | risk_category: Low | latency_ms: 663
inference_id: 37a1ea66-1bde-4846-b5ed-5f0c983c1107 | shipment_id: 282d71aa-3f2e-4673-9325-e12dd9930501 | model_id: 3239e967-e866-454d-96e3-cc7e36d1810c | prediction_timestamp: 2025-05-23 17:05:00 | delay_probability: 0.27598 | risk_category: Low | latency_ms: 604
inference_id: 12a77c05-ae6c-4b55-998b-f8a6d9e37054 | shipment_id: 1d103414-954f-4eba-9cca-3513d94f185b | model_id: 2dd8d8a3-df8d-4c53-9ad5-85c44b75ab8c | prediction_timestamp: 2025-06-29 10:28:00 | delay_probability: 0.07336 | risk_category: Low | latency_ms: 111
inference_id: fa05c0d7-a074-4ee4-ae29-1d3351b871be | shipment_id: 8f6bb357-8979-420d-b34f-021754181e92 | model_id: a4b2175b-a073-48fb-8f2a-dfc6abb1f272 | prediction_timestamp: 2025-11-09 18:13:00 | delay_probability: 0.4007 | risk_category: Medium | latency_ms: 248
inference_id: e240e4b6-6ce3-47fa-9102-55c26482dc57 | shipment_id: 735690b6-08fd-4795-9d92-42a02cd6cf39 | model_id: 5e8f6c3a-9ac5-443f-9ec1-35d2edf01f8a | prediction_timestamp: 2025-07-09 10:50:00 | delay_probability: 0.29329 | risk_category: Medium | latency_ms: 146
inference_id: 18b7499d-cdf9-4f55-a66c-afa5033bae2c | shipment_id: f4e4049b-62b8-4ed4-90ce-e4593cefc39a | model_id: 43a5697e-c980-4dcc-9142-d985bf864862 | prediction_timestamp: 2025-08-25 14:46:00 | delay_probability: 0.51049 | risk_category: Medium | latency_ms: 204
inference_id: 6da70577-6a63-4c3e-bb98-04ad3e4faae0 | shipment_id: 2137e0c0-358f-46ba-8062-8a5d333fc4aa | model_id: 5968695b-c3c2-461a-8d1f-01f7f9aab5a9 | prediction_timestamp: 2025-11-23 17:33:00 | delay_probability: 0.32521 | risk_category: Medium | latency_ms: 153
inference_id: 524411c2-223b-48ea-849a-46f83cd05327 | shipment_id: 77042492-10e8-4d2f-98df-681e827902fc | model_id: db9b8c36-1cea-43a3-8e7a-9a3681161f12 | prediction_timestamp: 2025-05-26 21:26:00 | delay_probability: 0.34562 | risk_category: Medium | latency_ms: 473
inference_id: a1c877a9-a775-4bcc-84af-c6524a8d5c92 | shipment_id: b3df8660-9386-411a-8547-4d3aa2327473 | model_id: b494be21-f892-4cf1-b0c4-8c9471c0ccd5 | prediction_timestamp: 2025-07-11 18:04:00 | delay_probability: 0.3542 | risk_category: Medium | latency_ms: 588
inference_id: 20c453df-a052-4f32-b58a-b047b028e921 | shipment_id: 5b7b4264-dd7b-4b95-a6cf-6b0534504fdc | model_id: 3f9db3f5-3163-45b3-9b7f-107497fccdae | prediction_timestamp: 2026-02-05 09:16:00 | delay_probability: 0.17359 | risk_category: Low | latency_ms: 451
inference_id: 82b155b7-8a19-48e0-8999-34d598e7f15b | shipment_id: 4c163820-db8e-40e7-b7ec-8ec7c84e0af0 | model_id: 5550f154-e4b8-45d8-818c-4400ccafc582 | prediction_timestamp: 2026-03-09 08:04:00 | delay_probability: 0.35606 | risk_category: Medium | latency_ms: 641
inference_id: 61dfda08-236d-4de8-abcc-6f111f925a68 | shipment_id: b98d371b-37ca-4137-8fbf-74297c62edb8 | model_id: 138a9b76-913e-4d29-ae1d-bac719705651 | prediction_timestamp: 2025-07-06 21:51:00 | delay_probability: 0.61466 | risk_category: High | latency_ms: 106
