Sheet Name: AI_Monitoring_Alerts

alert_id: 6bdb5358-2bc5-47ca-88fc-2d7ee42bfccc | shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | inference_id: 095fcec2-7a82-43af-9b05-26769481008d | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 7a957f27-1fa3-4f3e-847c-82792a92274c | shipment_id: f00cca3f-8191-49ab-9441-e8534a7828fa | inference_id: ca9180ed-16de-46a2-a35e-8158a5445745 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: 33f22cbb-474e-4833-9db3-c28c2d7a7590 | shipment_id: ceba6c0e-8603-4529-9541-6e0f83ca1b4d | inference_id: 481836c4-3e88-4d49-8d92-582eedb25a9d | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: f6dffb2a-2d05-49a6-896f-ae989af2f885 | shipment_id: c0d5bad1-7e77-47ec-9993-c00c937b14d2 | inference_id: 12a320e6-c5f5-445a-baee-980d63224546 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: b821664b-9524-49f4-aa41-ceb3c0fa2469 | shipment_id: 6360b19c-ca79-450a-b40c-1a8c5da9f710 | inference_id: 16cee7e5-0059-4105-b274-394046e24085 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 6bfdaaaf-90e8-49e1-a3fd-c62fad45d07d | shipment_id: d5fa79d0-4747-484f-a2f9-bd89e7ba0222 | inference_id: db408f5c-8449-467f-a04c-c580dd312b37 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: fb3bbf07-0df5-4376-8c80-507e7ad9e04c | shipment_id: 66da8ae7-0799-4db5-a7e3-41587b2158bd | inference_id: 1cd87175-4326-42c6-9e10-03a8a349c925 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 3fd8f22c-cef7-44ca-bf56-d45cdc4c0686 | shipment_id: 7c9c0f2b-dde6-4eb9-ac7b-7613ec28c744 | inference_id: 6c74198b-8212-4337-b520-0c0ce79c1a87 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 0bacbe3b-0eef-4c6b-8439-c1b35e07d11f | shipment_id: 25cd962f-8773-4c20-9037-5e61103c10bb | inference_id: d230c0d0-5d41-4b5d-b73c-a0979b434a1e | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 01dca565-f2ad-4d8b-a9d2-65473b18f8a8 | shipment_id: 75c53893-28b0-45be-9002-3e92f9ef35fe | inference_id: 390c3f82-7cf4-4141-a7dd-e0f61f30988e | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: d9002d05-e56f-42a5-9c19-7a4e0d180a9e | shipment_id: d11529e1-5c7f-40fc-b991-ce8c93690393 | inference_id: e8f9586f-3fc9-43cf-9e0e-c7b40809da29 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: ec83da03-b835-48ad-b269-503c688caac6 | shipment_id: 8e195477-b47a-43b5-aee2-ae6eae252d1b | inference_id: 10d003c3-3e48-4dd9-8a33-122f4c10f9f2 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: 49bda49e-deca-4d6e-99f3-30c560fd9c3f | shipment_id: 758f238c-3a26-41ba-95da-95105b09554a | inference_id: 4781478b-f40a-4a3a-911b-ddd73f1a1367 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: b3a1cf22-d3e5-4ddf-b5e0-f9bbe3525591 | shipment_id: dbdb1359-37c2-4acf-b855-1c7940b8a61f | inference_id: 9149d7e7-aaa0-438c-8b65-a9f9e9911cfb | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 3e0e6603-428d-4267-953c-ecf17d94467c | shipment_id: 4bd56ae1-e29e-4c5f-9020-8e22810b3a3e | inference_id: e9de16ab-2200-49f4-8620-3bdc596aa898 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: e666155f-c9a0-4897-9a7b-d00ad76736c3 | shipment_id: f9a5e338-612b-4277-b3e5-b217f5052b69 | inference_id: 1d6ff2d1-55c9-47cd-92c7-aaa78a434f30 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: a7b355e7-e7c6-49af-8833-fe9cc47cc560 | shipment_id: 59c91d80-c10b-4ab9-a42f-6cca9997e1e2 | inference_id: 2c45fb4c-0dd5-43dc-8c55-746cd64ed366 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: c535e2cd-42ab-4b3d-b4c4-61b3d04c12db | shipment_id: 69f82d20-3011-42d2-b151-436ec9afbbbf | inference_id: d55866bd-6f7c-4560-a486-e1b9ae05c6b0 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: e57549d0-86eb-43f3-afe9-1173172024f6 | shipment_id: f2a2bec3-4db3-42a5-add3-99d1bbbe8df2 | inference_id: 50d0b633-8d23-4c68-ba74-9f595a3ea491 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: cf67a33f-a550-4be0-9bae-52c5de85e94b | shipment_id: 7b48b5fa-3361-4369-b045-89bb5577482f | inference_id: 4f162085-4d35-45af-9c8b-5308d0a049c4 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 16074eae-b28e-446d-aee4-420466ad59ca | shipment_id: a0de7924-4f0a-41d0-9903-b102730aca78 | inference_id: c9d80899-8084-4fce-940d-93c8fd6a2667 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: dfd7eb7e-f539-4ed6-95e7-71020203c2a9 | shipment_id: d952f5ba-ce31-4a85-aedf-2e6c78bf7729 | inference_id: eecbbd93-98b1-414a-a80f-d4416f4de05a | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 5e7426cf-8c63-4290-8fab-fa6dd0b29473 | shipment_id: e25e4fab-e213-4df1-847a-d9a004b6c672 | inference_id: 8a03ff54-e7a9-4b80-adb9-099f68c4424a | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: d71b435b-4f53-4ee5-8d5f-5f9eefac0747 | shipment_id: 1f111f2c-da6c-4341-b355-9ee0aadfeb06 | inference_id: b8a0b9b4-4d95-4ca9-8016-a9cfb6713c6c | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: f2290f04-6555-4c5e-aace-136a7d478356 | shipment_id: a2855800-6d8c-453d-9b65-6172d17010ac | inference_id: 462cbe6f-b197-459f-b9cf-ec57028feea7 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 76c4663f-02b4-46af-a134-05ee8e6a13dc | shipment_id: 3917879e-5ac6-4ddd-99bc-9888f03a0e9e | inference_id: 53bef87b-0d68-4051-ac9c-748d3ca90391 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 152db864-b9a9-4b92-a35c-957ff0b58fc1 | shipment_id: 7d02e36e-a619-44c1-a66b-aaa5a0cb18d4 | inference_id: 8217a9d8-28c5-467d-bba4-bd71a72a2ffd | alert_type: Customs escalation | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 4e573072-86cf-4f89-ba79-aa1a9235409d | shipment_id: 68e4edc0-29c1-4988-9448-356081077627 | inference_id: 85565dcc-80a2-4df6-b7b7-b7d4a6e650eb | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 1e7529ea-2909-4ced-8780-33f5305f2200 | shipment_id: 170afafb-872d-4662-9f14-b4987f59e842 | inference_id: 9aa58d07-1605-4925-854b-9fe83d8384b1 | alert_type: Anomaly | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Acknowledged
alert_id: 147bf19c-94ae-4a6e-bc1d-9fc81ca88d0a | shipment_id: 7074da33-fe68-4549-bf89-24cdfef3d491 | inference_id: f34ffc29-8cb3-43e2-8d7d-005e93a9923d | alert_type: Document issue | severity: Medium | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: 31c198cd-1bc7-4f1f-aca9-943ab32bbcb7 | shipment_id: 3a3293bd-2446-4e5e-b733-51b076974f5b | inference_id: 4652cab3-cc4e-456d-b279-d94bf57c4d57 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: b3ee94e5-3ce6-4e0a-b41b-ef1b730a0658 | shipment_id: 4e9dabde-0ac6-4be4-a6aa-5cc697494340 | inference_id: ff49014b-a4a5-4335-882e-b32b3cbcf291 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: ab948fe2-bdda-4dfd-9e05-011231d81982 | shipment_id: 98324d21-e12f-4343-bb39-032e88fe450c | inference_id: dd7f940f-c818-456a-a050-2d3ab24ffa26 | alert_type: Anomaly | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Open
alert_id: 2eda8b2a-8c17-4a72-a5f4-59693c744486 | shipment_id: 88b6ab28-a0b3-46e9-8ccc-f58591f82d81 | inference_id: d512d158-1f8d-4182-9496-1fcbbb665784 | alert_type: Model drift watch | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 0c3c25af-8861-4228-864b-cb70e3c666d1 | shipment_id: b3b913a6-8ff0-4ee2-8721-f893c7da1009 | inference_id: 3b29df98-c7ff-4945-969c-5056ee42b59f | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: 24eccd48-ee9e-4c4e-bd9d-a238f9e592d7 | shipment_id: 699f3484-2724-4b99-ac15-3906aba97694 | inference_id: 62e48456-c27f-4ff7-8e48-4e1b238b5c53 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: ca16e58b-2ce9-4026-8d9c-7265a37f5ada | shipment_id: ff7e3bb6-2076-4867-9636-6f913b44a651 | inference_id: cec8ea47-952a-4472-94c8-e31a754cf053 | alert_type: Document issue | severity: Critical | recommended_action: Escalate to operations lead, notify customer success, and review route/carrier alternatives. | alert_status: Resolved
alert_id: a37d3fde-1026-4bd2-9e4a-42c14488199d | shipment_id: b0a5ff2b-f3bf-451b-8ee6-e857d16f3cb6 | inference_id: 3dabf4cc-d9f0-4aa7-bd8d-d02950cc81fd | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: 17876c86-340a-4cb8-8b87-32dbd11effd2 | shipment_id: 4dbfd38b-cee2-4a3f-a804-52da0a988559 | inference_id: c243eb52-352a-4045-b2f9-bb33e3563e95 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: 06c578a3-9bcd-4261-b82e-b69fdab6931b | shipment_id: 847a9bf6-9ae6-4534-a200-b959e160efb4 | inference_id: 246ae274-df67-4774-9250-66de65ad4760 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 1f3be51c-7983-4e12-a0bf-81ace144e179 | shipment_id: ecec55c9-5d3b-4ba1-ab82-666d094926d6 | inference_id: fd847d7d-9fd8-4bb6-bcc7-7ea0c74d163d | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 56cb5ec0-b329-4865-9552-be81351d3684 | shipment_id: 2faafcde-f35e-46e8-b280-c466737f1482 | inference_id: f50702c1-8c67-4bb1-8799-8891671233b5 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: ef6bc03e-fdbf-441b-b622-28700b12d9a5 | shipment_id: cc4c4a90-28dc-47b2-9ab6-ce35bec68d7f | inference_id: b48dabe3-0bb7-4ca4-9017-ee27465be541 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 678b2324-c87c-42d1-93b7-46f505a0515a | shipment_id: 744ed46c-295d-4390-9caa-093ca2495fab | inference_id: 9291d22f-57b1-470a-ad01-df59ad88537b | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Open
alert_id: be3203c7-f6b1-4ed2-b4ff-7728ec0c4364 | shipment_id: 2578b7ee-86ca-4958-bf98-2d545f7ddcf8 | inference_id: f205cc80-aa87-4824-b3d7-f07dd2c8854a | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 05c8ca95-eafb-4cb7-b7d2-e1a5e57eb695 | shipment_id: 70c23394-2977-4cb4-934c-d4030f5bc6e3 | inference_id: 78c175ef-b93f-401d-9ea0-d5271b6faaa1 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Open
alert_id: 1f2f7648-47d9-4b35-9563-86f1a340af7a | shipment_id: 715136db-3320-40a5-86f5-0bfd263bf377 | inference_id: 33372eb8-c9f7-4eb1-9383-64991defe2b6 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 925dbe93-7b40-41f5-9acb-71f0b1bfb684 | shipment_id: cb9bebd6-fcb6-4013-96ae-edcc47a6b371 | inference_id: 5130833f-22a9-4c2a-bb14-3b4578ccb222 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: f341ffd1-35ce-4a5f-af11-218558beadad | shipment_id: f3de0f6d-532f-4411-873e-efa5a84d38b8 | inference_id: fe0263aa-e9d3-4f77-bd2c-fd45facac7db | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 5e77b80f-835f-43af-8945-69144af5abb7 | shipment_id: f41b5733-7e43-4a47-a9f7-0657177811bf | inference_id: 29d92dc4-b3be-47dd-b134-8408f8b88421 | alert_type: Anomaly | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: a87d3472-1f34-4134-87e3-416a2870a2b1 | shipment_id: 8f3dbd71-f84c-4307-84bf-5ae2671ddeb4 | inference_id: 3e955e4b-59a8-46f5-970a-08cc6c5e03f6 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 9ac95f99-bb6c-476a-a671-79cf5a7e4c42 | shipment_id: ff2d7e0d-fb4e-4f13-a7ec-c7ed28e25dff | inference_id: bcf2a5fc-bc6b-49cb-97fa-cae8101cf698 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: c570377c-e62b-4851-bf9a-3ae7fc8eb51a | shipment_id: 24f8a30d-e315-4d56-b7ea-f554a2304c7b | inference_id: 5a5999ba-22fb-4c97-af12-fd2959307d41 | alert_type: Anomaly | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 497d1ccd-8942-4a9f-8bf8-e1c1514e18c8 | shipment_id: 7952cdbe-1975-4e37-b276-5dec6efd27e4 | inference_id: 016106e0-20a3-4dcc-9be5-24255ae44914 | alert_type: Anomaly | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 2b1613ba-97ec-4b5e-836c-4d3fe3be79f6 | shipment_id: fecbed5d-64fa-405c-9757-f0bd01463311 | inference_id: de9d897c-5651-4578-960c-f74cb2faf8be | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 946883f9-0955-406c-afe8-9abf4263c737 | shipment_id: c7572819-1b8e-4dec-a323-4839f35b9d57 | inference_id: 67dc101b-50ac-4347-a5ef-972a9884b808 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 37415325-6682-4a45-b2bb-f7c27c4e7115 | shipment_id: 6887de15-06ee-4673-ba72-e2cc7e3ec8cf | inference_id: 26723032-0629-4b07-941d-3f175b505861 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 28162fd7-a218-486d-a60a-ea5b0edf9b69 | shipment_id: a740adba-3b5f-4cb3-903d-2ad8fb7293fe | inference_id: 4fbb17e6-7f22-4c79-b60b-903eff5d010a | alert_type: Model drift watch | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: e3983965-7c77-473c-bde8-1e71873d5111 | shipment_id: 9621f665-d763-42dd-acc2-43a9d45b5cb5 | inference_id: 1b61b223-2e77-4b29-94ce-ada80d4dab95 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 02b407fa-dcb9-4706-96b0-7cbaf3aec6a1 | shipment_id: 9f01265b-4a54-4451-973b-73cf77b988ab | inference_id: e9a98f1e-d4bb-4ee0-a16d-72967c0ed6a3 | alert_type: Document issue | severity: High | recommended_action: Create proactive follow-up task and validate customs, weather, and carrier status. | alert_status: Resolved
alert_id: 13f48197-5939-44f0-b873-5c77aee0f413 | shipment_id: 73a57c86-a9b9-4415-add9-d514ddacbb83 | inference_id: b1eec8bd-0d42-4ca4-8e9a-65d2076aa2a7 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: e86f15d5-8a62-4dcd-a345-37c9951a9fa1 | shipment_id: 282d71aa-3f2e-4673-9325-e12dd9930501 | inference_id: 37a1ea66-1bde-4846-b5ed-5f0c983c1107 | alert_type: Document issue | severity: Low | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: 30943cb8-5140-4448-8760-640f76d9e29b | shipment_id: 1d103414-954f-4eba-9cca-3513d94f185b | inference_id: 12a77c05-ae6c-4b55-998b-f8a6d9e37054 | alert_type: Delay risk | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 7eafddcd-e590-49b0-be00-cb9f683b8022 | shipment_id: 8f6bb357-8979-420d-b34f-021754181e92 | inference_id: fa05c0d7-a074-4ee4-ae29-1d3351b871be | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: 55e3b0b2-c21a-4526-884d-b49592119a2f | shipment_id: 735690b6-08fd-4795-9d92-42a02cd6cf39 | inference_id: e240e4b6-6ce3-47fa-9102-55c26482dc57 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: f08f453e-793a-4020-81ad-6a85b676b5d6 | shipment_id: f4e4049b-62b8-4ed4-90ce-e4593cefc39a | inference_id: 18b7499d-cdf9-4f55-a66c-afa5033bae2c | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
alert_id: 41afa285-dba7-44f5-a413-e873b7f1bdc4 | shipment_id: 2137e0c0-358f-46ba-8062-8a5d333fc4aa | inference_id: 6da70577-6a63-4c3e-bb98-04ad3e4faae0 | alert_type: Document issue | severity: Medium | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: e38595f8-e060-418e-a7c2-4420d098a8c0 | shipment_id: 77042492-10e8-4d2f-98df-681e827902fc | inference_id: 524411c2-223b-48ea-849a-46f83cd05327 | alert_type: Delay risk | severity: Medium | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Resolved
alert_id: eb5f6fec-d3d1-4c4f-a961-aed8e02c7ef4 | shipment_id: b3df8660-9386-411a-8547-4d3aa2327473 | inference_id: a1c877a9-a775-4bcc-84af-c6524a8d5c92 | alert_type: Document issue | severity: Medium | recommended_action: Request document review and confirm invoice, packing list, and customs fields. | alert_status: Acknowledged
alert_id: 3673ace6-f97c-42a0-8c20-2b71b8ce2f27 | shipment_id: 5b7b4264-dd7b-4b95-a6cf-6b0534504fdc | inference_id: 20c453df-a052-4f32-b58a-b047b028e921 | alert_type: Customs escalation | severity: Low | recommended_action: Monitor shipment status and refresh prediction after next tracking update. | alert_status: Acknowledged
