Sheet Name: Vehicles

vehicle_id: a7a7c694-8da6-4c10-a00e-367e67b16b2d | vehicle_number: RA-3523-1 | vehicle_type: Rail | capacity_kg: 435344.38 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: f6a645a1-d757-4f6b-bd50-4c34345c5d90 | vehicle_number: TR-5983-12 | vehicle_type: Truck | capacity_kg: 16220.78 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 17
vehicle_id: 16a349ea-1a01-4f95-9bc4-eebcb2e046fd | vehicle_number: TR-7763-13 | vehicle_type: Truck | capacity_kg: 25891.99 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 6
vehicle_id: 52a896bc-75be-4960-99f0-a66f9a52bccb | vehicle_number: AI-1984-14 | vehicle_type: Aircraft | capacity_kg: 133925.04 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 2
vehicle_id: ac448642-8699-4976-8252-6bc6529b4632 | vehicle_number: TR-8172-15 | vehicle_type: Truck | capacity_kg: 6264.76 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 5
vehicle_id: 67805b18-26e6-4acf-ad6a-be3ec2acf02f | vehicle_number: SH-9302-16 | vehicle_type: Ship | capacity_kg: 16055212.13 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 7
vehicle_id: 30f97f84-6ca2-49e3-91b4-196701798a09 | vehicle_number: TR-8940-17 | vehicle_type: Truck | capacity_kg: 8399.23 | fuel_type: CNG | maintenance_status: Due Soon | vehicle_age: 1
vehicle_id: eb0e6638-2932-44b7-a308-1f973de710e3 | vehicle_number: SH-4123-18 | vehicle_type: Ship | capacity_kg: 12669826.82 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 5
vehicle_id: 4e7782a1-a2f0-439f-b27e-3db83ab36cd2 | vehicle_number: TR-3897-19 | vehicle_type: Truck | capacity_kg: 8699.67 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 5
vehicle_id: 0addfaaa-261e-4895-9756-f6efa6fcf48f | vehicle_number: SH-7881-20 | vehicle_type: Ship | capacity_kg: 24037299.22 | fuel_type: Marine Fuel | maintenance_status: Due Soon | vehicle_age: 5
vehicle_id: 9ab9f828-8b7d-4a55-9d81-9f82199e3730 | vehicle_number: TR-1334-21 | vehicle_type: Truck | capacity_kg: 3872.08 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 5
vehicle_id: f506665a-ca56-43ad-9a80-2575a984dbd6 | vehicle_number: SH-9075-22 | vehicle_type: Ship | capacity_kg: 9359833.91 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 13
vehicle_id: 237bf89f-9075-4570-926f-4fcae7ece44c | vehicle_number: AI-1739-23 | vehicle_type: Aircraft | capacity_kg: 64174.84 | fuel_type: Jet Fuel | maintenance_status: Under Maintenance | vehicle_age: 5
vehicle_id: 63d03a9c-7737-48eb-b690-729e95b9ea88 | vehicle_number: RA-5248-24 | vehicle_type: Rail | capacity_kg: 165440.85 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 11
vehicle_id: 751a5ad2-195a-4736-a031-d4025a69ade5 | vehicle_number: TR-9991-25 | vehicle_type: Truck | capacity_kg: 3842.37 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 17
vehicle_id: cfa3e7a1-a385-45a4-bf39-6fb3cd0a9ce9 | vehicle_number: SH-3815-26 | vehicle_type: Ship | capacity_kg: 3805874.57 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 13
vehicle_id: 96d3ada6-1c10-4f52-9e8a-18588ca78387 | vehicle_number: TR-9400-27 | vehicle_type: Truck | capacity_kg: 10391.52 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 10
vehicle_id: 9e1cc56d-2ff5-47bf-aa8e-3697b1d6edba | vehicle_number: TR-7543-28 | vehicle_type: Truck | capacity_kg: 21441.97 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 17
vehicle_id: 6bc737c4-c2c1-412b-9d01-898df0db8fa1 | vehicle_number: TR-4267-29 | vehicle_type: Truck | capacity_kg: 14650.85 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 16
vehicle_id: 7f3b5fa2-b614-437b-b9ac-d523d98195bc | vehicle_number: AI-3339-30 | vehicle_type: Aircraft | capacity_kg: 35131.24 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 18
vehicle_id: 81120500-0ba6-44c4-ae43-32d24cfa4a35 | vehicle_number: TR-3956-31 | vehicle_type: Truck | capacity_kg: 26825.57 | fuel_type: Electric | maintenance_status: Due Soon | vehicle_age: 1
vehicle_id: f44d1bd9-4235-4e87-88ee-5313d58bd2cc | vehicle_number: SH-7447-32 | vehicle_type: Ship | capacity_kg: 6907794.56 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: 09fc9327-3024-431e-a0a8-d158b299a187 | vehicle_number: SH-3489-33 | vehicle_type: Ship | capacity_kg: 21050540.56 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 13
vehicle_id: a0e79c01-9450-420b-8464-11230fad91fc | vehicle_number: TR-2079-34 | vehicle_type: Truck | capacity_kg: 14108.89 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 7
vehicle_id: f4f2495b-1e49-4d82-83e7-e75a4b242fae | vehicle_number: TR-1611-35 | vehicle_type: Truck | capacity_kg: 5246.65 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 13
vehicle_id: fd9f2809-312e-45ec-8878-1b9cda840e19 | vehicle_number: SH-9083-36 | vehicle_type: Ship | capacity_kg: 10395349.17 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 11
vehicle_id: b4815f67-693a-4364-ac53-890ceef553d9 | vehicle_number: TR-2637-37 | vehicle_type: Truck | capacity_kg: 22571.07 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: 0736befb-efd0-436a-b1c0-d47037cb39a4 | vehicle_number: TR-5687-38 | vehicle_type: Truck | capacity_kg: 18151.8 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 17
vehicle_id: 8f4484d0-53ad-484c-b22a-d5e9dc8ab9fe | vehicle_number: RA-5441-39 | vehicle_type: Rail | capacity_kg: 654438.82 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: 861d4536-ce03-4712-9c39-5b20af8376d6 | vehicle_number: TR-4727-40 | vehicle_type: Truck | capacity_kg: 18716.76 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 3
vehicle_id: d3e96a74-393a-476b-8980-442150e0be12 | vehicle_number: TR-7486-41 | vehicle_type: Truck | capacity_kg: 19379.7 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: 49eb3508-2998-474f-85db-b0c825ee0b62 | vehicle_number: TR-6336-42 | vehicle_type: Truck | capacity_kg: 5891.11 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 12
vehicle_id: b8b6ee00-f082-4ebe-9eb2-17e5af85d842 | vehicle_number: TR-5842-43 | vehicle_type: Truck | capacity_kg: 5231.97 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 4
vehicle_id: f2ef2d18-6f12-44a7-adfd-ef14634f9472 | vehicle_number: AI-9014-44 | vehicle_type: Aircraft | capacity_kg: 145992.72 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 1
vehicle_id: c70993b9-ba57-4caa-af28-8fe7d78fa17c | vehicle_number: SH-2556-45 | vehicle_type: Ship | capacity_kg: 3486114.86 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 7
vehicle_id: 4825c2fc-1b47-4208-91aa-eacda1842055 | vehicle_number: AI-2102-46 | vehicle_type: Aircraft | capacity_kg: 82231.32 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 6
vehicle_id: d68a5749-334d-4be6-ac3f-d2bf0dc02c98 | vehicle_number: TR-1140-47 | vehicle_type: Truck | capacity_kg: 9157.99 | fuel_type: Electric | maintenance_status: Due Soon | vehicle_age: 8
vehicle_id: 2582d89e-6982-46b1-b503-a478ff0918e3 | vehicle_number: AI-1273-48 | vehicle_type: Aircraft | capacity_kg: 79454.99 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 10
vehicle_id: 240ec2ab-696a-4341-aea9-c029824fa756 | vehicle_number: AI-9121-49 | vehicle_type: Aircraft | capacity_kg: 116978.07 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 6
vehicle_id: 9c0eddb8-bc51-47a3-a597-4aea01660648 | vehicle_number: TR-8416-50 | vehicle_type: Truck | capacity_kg: 5505.45 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 16
vehicle_id: 8ae6f19a-e08d-485f-93a0-ce36a471811a | vehicle_number: AI-2096-51 | vehicle_type: Aircraft | capacity_kg: 132191.61 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 4
vehicle_id: b7ffd048-fc1c-448d-b9e7-05a8e212b03b | vehicle_number: SH-6057-52 | vehicle_type: Ship | capacity_kg: 19468827.5 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 11
vehicle_id: f997b6f4-380d-4e63-ab96-5c976bd247db | vehicle_number: SH-8808-53 | vehicle_type: Ship | capacity_kg: 20817998.92 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 5
vehicle_id: 4dc55848-fb2c-4f61-97c5-c0c21f7251c0 | vehicle_number: RA-7256-54 | vehicle_type: Rail | capacity_kg: 95022.55 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 12
vehicle_id: 99a1425b-830c-4543-b60a-4d633c7502e4 | vehicle_number: SH-8912-55 | vehicle_type: Ship | capacity_kg: 4144212.93 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 11
vehicle_id: f6d3ac45-8dba-4670-b245-427308cfda8e | vehicle_number: TR-8888-56 | vehicle_type: Truck | capacity_kg: 13738.65 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 3
vehicle_id: 1a149c99-e3b4-4103-8aaa-f48233e7590f | vehicle_number: TR-5598-57 | vehicle_type: Truck | capacity_kg: 10834.27 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 14
vehicle_id: c809ac34-5a14-476c-929e-a94a02b6a1c3 | vehicle_number: TR-5360-58 | vehicle_type: Truck | capacity_kg: 8952.71 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 6
vehicle_id: 24c1c6a2-5f56-4813-b37c-6d90ab1b43fa | vehicle_number: RA-1250-59 | vehicle_type: Rail | capacity_kg: 490428.7 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: decf5fae-52ac-4870-b01f-9ead82f39db7 | vehicle_number: TR-1911-60 | vehicle_type: Truck | capacity_kg: 14502.41 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 2
vehicle_id: 488f9074-53db-468f-9030-01354ec4b881 | vehicle_number: AI-6157-61 | vehicle_type: Aircraft | capacity_kg: 142436.16 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 5
vehicle_id: 9b0d82fa-3470-40e6-b292-78e1413f7246 | vehicle_number: RA-7334-62 | vehicle_type: Rail | capacity_kg: 131624.15 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 1
vehicle_id: d4f34582-62c1-4540-8d16-5a52e83a44a6 | vehicle_number: TR-1886-63 | vehicle_type: Truck | capacity_kg: 9966.74 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 11
vehicle_id: 2109e68a-b6c0-45ef-8f36-6199b7d65f1a | vehicle_number: TR-4143-64 | vehicle_type: Truck | capacity_kg: 19776.59 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 17
vehicle_id: 793b4694-4e64-4966-9e07-f4c13bc5e9f9 | vehicle_number: TR-2887-65 | vehicle_type: Truck | capacity_kg: 24165.46 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 9
vehicle_id: 7f3ebb99-8f3a-4183-9f9b-21422fefb6dd | vehicle_number: TR-2925-66 | vehicle_type: Truck | capacity_kg: 20641.3 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 16
vehicle_id: c8957df4-76ca-4312-861c-98384ea54e77 | vehicle_number: TR-8278-67 | vehicle_type: Truck | capacity_kg: 7741.24 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 11
vehicle_id: fc1bf3d3-2259-40b9-89ab-2b6748853f8d | vehicle_number: TR-7615-68 | vehicle_type: Truck | capacity_kg: 15941.14 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 6
vehicle_id: 0a30df4e-7c00-472e-a15f-1894d7b27810 | vehicle_number: AI-1932-69 | vehicle_type: Aircraft | capacity_kg: 89649.79 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 11
vehicle_id: 8f86a21d-5c02-4c42-a954-fc89245b1769 | vehicle_number: AI-6942-70 | vehicle_type: Aircraft | capacity_kg: 26794.9 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 9
vehicle_id: d86fb2a9-38d8-43f9-9c43-810a40863903 | vehicle_number: SH-6341-71 | vehicle_type: Ship | capacity_kg: 3108003.26 | fuel_type: CNG | maintenance_status: Due Soon | vehicle_age: 4
vehicle_id: 09f50f06-4b44-4822-9693-42f45de309ea | vehicle_number: TR-4099-72 | vehicle_type: Truck | capacity_kg: 24305.7 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 3
vehicle_id: 2d136d61-116e-47cc-8c2c-81b9c23c8a71 | vehicle_number: TR-3229-73 | vehicle_type: Truck | capacity_kg: 15119.15 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 10
vehicle_id: 41f3153f-9788-4ee9-9542-3b01b6a0d28d | vehicle_number: SH-4398-74 | vehicle_type: Ship | capacity_kg: 24871162.98 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 13
vehicle_id: 0f3bff60-d2e5-4cc2-a9eb-1c03064ba170 | vehicle_number: TR-8838-75 | vehicle_type: Truck | capacity_kg: 20966.45 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 1
vehicle_id: c84696bd-8f33-4877-b496-5571a6d7a083 | vehicle_number: TR-6222-76 | vehicle_type: Truck | capacity_kg: 22435.3 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 11
vehicle_id: ae9b8fd2-8cd6-4f2b-a770-071209649664 | vehicle_number: SH-1858-77 | vehicle_type: Ship | capacity_kg: 10655561.76 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 8
vehicle_id: 30c6fe00-89f9-4414-89fd-8e213e1e7659 | vehicle_number: AI-3737-78 | vehicle_type: Aircraft | capacity_kg: 33023.1 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 14
vehicle_id: 89b7aa3b-1c02-4b55-8a06-4e9b4999c227 | vehicle_number: AI-4272-79 | vehicle_type: Aircraft | capacity_kg: 10538.86 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 13
vehicle_id: f015830e-272b-467b-bfee-6e7ea6417e23 | vehicle_number: TR-7674-80 | vehicle_type: Truck | capacity_kg: 14828.89 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 4
vehicle_id: c25e9c66-f62a-4f82-b001-3dbf3da2a966 | vehicle_number: SH-5520-81 | vehicle_type: Ship | capacity_kg: 18283390.0 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 9
vehicle_id: 971f357b-1c6b-4a7e-ad12-a7fe34429242 | vehicle_number: TR-8901-82 | vehicle_type: Truck | capacity_kg: 21060.96 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 8
vehicle_id: 5e10791f-b022-4323-aa23-651a5bf68792 | vehicle_number: AI-4834-83 | vehicle_type: Aircraft | capacity_kg: 103816.54 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 17
vehicle_id: b7241fad-889b-423e-9c71-26726531fd64 | vehicle_number: TR-4000-84 | vehicle_type: Truck | capacity_kg: 15043.5 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 14
vehicle_id: c22d2833-a67b-4d51-8f40-459c04f56723 | vehicle_number: TR-1356-85 | vehicle_type: Truck | capacity_kg: 22739.66 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 4
vehicle_id: 47c8390f-683d-47ca-892d-a97738ae6ab7 | vehicle_number: TR-2759-86 | vehicle_type: Truck | capacity_kg: 17193.08 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 9
vehicle_id: 6584001f-b88a-4473-b286-71c30ec537fe | vehicle_number: TR-3221-87 | vehicle_type: Truck | capacity_kg: 20797.52 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 5
vehicle_id: 3c8d019c-b5d7-428d-8004-886c828a4d6f | vehicle_number: RA-8812-88 | vehicle_type: Rail | capacity_kg: 655341.17 | fuel_type: Electric | maintenance_status: Due Soon | vehicle_age: 1
vehicle_id: d691cf38-a6c5-457e-958b-37602c456d02 | vehicle_number: SH-7641-89 | vehicle_type: Ship | capacity_kg: 5222478.56 | fuel_type: Electric | maintenance_status: Due Soon | vehicle_age: 12
vehicle_id: fde0ae77-8a51-4601-9fae-8b708d43299e | vehicle_number: TR-7189-90 | vehicle_type: Truck | capacity_kg: 7263.34 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 7
vehicle_id: 01d86ef4-b06b-4786-ab32-b2d3b3976bbf | vehicle_number: SH-7339-91 | vehicle_type: Ship | capacity_kg: 20253402.7 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 10
vehicle_id: e6313f18-f513-4361-8bac-f7832cdf52b1 | vehicle_number: TR-4809-92 | vehicle_type: Truck | capacity_kg: 27774.7 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 10
vehicle_id: bfb374b7-6494-4307-8680-a9d4295d721f | vehicle_number: AI-3457-93 | vehicle_type: Aircraft | capacity_kg: 144848.9 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 9
vehicle_id: 12289090-8d79-4661-9fa3-c1a7a461dafc | vehicle_number: TR-2798-94 | vehicle_type: Truck | capacity_kg: 9211.73 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 17
vehicle_id: 98eff4b7-c785-4e59-99e6-f09f52952ff9 | vehicle_number: TR-9881-95 | vehicle_type: Truck | capacity_kg: 21197.6 | fuel_type: Jet Fuel | maintenance_status: Under Maintenance | vehicle_age: 9
vehicle_id: 79f91fc5-430d-417b-9366-85de26cbb855 | vehicle_number: SH-9084-96 | vehicle_type: Ship | capacity_kg: 589319.96 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 11
vehicle_id: a6861802-5a91-40db-a173-228ff684bddd | vehicle_number: SH-7171-97 | vehicle_type: Ship | capacity_kg: 18028214.32 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 9
vehicle_id: 0cab7ad4-b55d-4534-8622-87ef334d8eb3 | vehicle_number: TR-6834-98 | vehicle_type: Truck | capacity_kg: 25304.25 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 8
vehicle_id: 9bf87745-69b5-4a3d-b2dc-dc3446f999bf | vehicle_number: SH-7727-99 | vehicle_type: Ship | capacity_kg: 11384980.26 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 8
vehicle_id: fb5620aa-28e8-42c3-80c9-907359a55a7e | vehicle_number: SH-8783-100 | vehicle_type: Ship | capacity_kg: 9166963.29 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 9
vehicle_id: 0b1623f1-f152-4295-8344-ab3de6c24c10 | vehicle_number: AI-5132-101 | vehicle_type: Aircraft | capacity_kg: 122351.84 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 7
vehicle_id: b607f3db-9ce2-4158-882d-e9f592ec6a54 | vehicle_number: SH-1864-102 | vehicle_type: Ship | capacity_kg: 18895386.41 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 13
vehicle_id: 231fc888-1d53-4dda-bbc1-4fbf00496629 | vehicle_number: TR-9276-103 | vehicle_type: Truck | capacity_kg: 24046.95 | fuel_type: CNG | maintenance_status: Good | vehicle_age: 17
vehicle_id: 9bac4418-9035-423d-9ac2-eb4e6e4bfe6d | vehicle_number: SH-9552-104 | vehicle_type: Ship | capacity_kg: 3565718.11 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 2
vehicle_id: 0c5a6d59-b62b-494c-b2d1-cbc7d3ddb0ab | vehicle_number: TR-1532-105 | vehicle_type: Truck | capacity_kg: 20244.92 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 17
vehicle_id: abe70dc1-6fa9-4f2b-985c-f69ab0a66bc4 | vehicle_number: TR-6763-106 | vehicle_type: Truck | capacity_kg: 16253.05 | fuel_type: Diesel | maintenance_status: Under Maintenance | vehicle_age: 9
vehicle_id: 52d60a67-7482-4bb4-b345-d75513ff42b5 | vehicle_number: SH-4387-107 | vehicle_type: Ship | capacity_kg: 6026808.86 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 16
vehicle_id: 711358d9-a602-4597-a630-60d41f053a61 | vehicle_number: SH-5817-108 | vehicle_type: Ship | capacity_kg: 15428684.79 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 15
vehicle_id: a200d586-5397-406a-9687-6415e3e5e496 | vehicle_number: SH-2251-109 | vehicle_type: Ship | capacity_kg: 7695407.11 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 7
vehicle_id: 4c091204-a56c-4ad5-af0a-d0dadd94b207 | vehicle_number: AI-9007-110 | vehicle_type: Aircraft | capacity_kg: 96563.91 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 15
vehicle_id: 2ece7e9f-f945-4b08-bf16-cc055ca0e010 | vehicle_number: TR-1707-111 | vehicle_type: Truck | capacity_kg: 6018.84 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 2
vehicle_id: 8e3b4b26-4473-437d-91b8-0958719c1d5f | vehicle_number: SH-2578-112 | vehicle_type: Ship | capacity_kg: 17337558.28 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 12
vehicle_id: 1af85d4a-6058-4b42-b7e5-af4bd9eefbab | vehicle_number: TR-7619-113 | vehicle_type: Truck | capacity_kg: 22178.31 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 6
vehicle_id: 7f678254-d310-4f39-bcd6-c29c47e12b37 | vehicle_number: TR-9783-114 | vehicle_type: Truck | capacity_kg: 19261.52 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 11
vehicle_id: d8266565-39a8-457f-ba97-e818bfd7792f | vehicle_number: RA-9319-115 | vehicle_type: Rail | capacity_kg: 333075.05 | fuel_type: CNG | maintenance_status: Due Soon | vehicle_age: 13
vehicle_id: a552f3b5-7fc9-4f40-8a13-170fe6f6f8a2 | vehicle_number: TR-2498-116 | vehicle_type: Truck | capacity_kg: 27436.45 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 2
vehicle_id: 6fd179fe-6b85-4697-ad20-534c68070bf8 | vehicle_number: TR-5145-117 | vehicle_type: Truck | capacity_kg: 17446.23 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 8
vehicle_id: fdade0c7-2922-426b-a71f-ca14c819050c | vehicle_number: RA-7027-118 | vehicle_type: Rail | capacity_kg: 591198.75 | fuel_type: Marine Fuel | maintenance_status: Good | vehicle_age: 16
vehicle_id: c0e181cf-d32c-4546-801e-f25b2d79db92 | vehicle_number: TR-8432-119 | vehicle_type: Truck | capacity_kg: 20785.16 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 9
vehicle_id: 7abe2e87-5651-42f0-9864-618bb565b548 | vehicle_number: TR-7626-120 | vehicle_type: Truck | capacity_kg: 7239.63 | fuel_type: Jet Fuel | maintenance_status: Good | vehicle_age: 10
vehicle_id: 0970c086-1685-45dc-90ab-e63dca8a7458 | vehicle_number: TR-9566-121 | vehicle_type: Truck | capacity_kg: 21188.51 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 10
vehicle_id: b4c5a005-7d6a-4887-a4c2-1c87fdecd84e | vehicle_number: TR-7733-122 | vehicle_type: Truck | capacity_kg: 17033.16 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 2
vehicle_id: b9f5892c-da79-4b26-8b39-36231b37763a | vehicle_number: SH-1234-123 | vehicle_type: Ship | capacity_kg: 2363336.25 | fuel_type: Diesel | maintenance_status: Due Soon | vehicle_age: 18
vehicle_id: b60ea652-53a9-453e-9b8c-824cb8f8e353 | vehicle_number: TR-3823-124 | vehicle_type: Truck | capacity_kg: 14932.3 | fuel_type: Jet Fuel | maintenance_status: Due Soon | vehicle_age: 17
vehicle_id: 02f9b2c5-f953-48b2-b4d7-02ed144b2475 | vehicle_number: TR-4037-125 | vehicle_type: Truck | capacity_kg: 10734.55 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 4
vehicle_id: af9cbd0a-1832-47c1-9ea5-0ffd16bf2142 | vehicle_number: TR-5816-126 | vehicle_type: Truck | capacity_kg: 24265.7 | fuel_type: Electric | maintenance_status: Good | vehicle_age: 10
vehicle_id: b79e5d81-6a48-4a96-8458-cce753b8b271 | vehicle_number: SH-2255-127 | vehicle_type: Ship | capacity_kg: 9295309.88 | fuel_type: Diesel | maintenance_status: Good | vehicle_age: 17
