Sheet Name: Weather

weather_id: 6740d2f9-10b2-4458-8e77-f07d72eeb2e2 | city: Guangzhou | forecast_date: 2025-09-04 00:00:00 | weather_condition: High Wind | temperature: 26.03 | rainfall: 10.98 | humidity: 30.19 | wind_speed: 39.45 | visibility: 5.13
weather_id: 643215f0-17dc-4919-a9a9-9055fb55b880 | city: Hamburg | forecast_date: 2025-08-22 00:00:00 | weather_condition: Cloudy | temperature: 25.68 | rainfall: 1.28 | humidity: 35.09 | wind_speed: 3.25 | visibility: 10.96
weather_id: aa859bbd-60e9-4500-b276-9805b85c4f31 | city: Yokohama | forecast_date: 2025-08-05 00:00:00 | weather_condition: High Wind | temperature: 34.91 | rainfall: 5.12 | humidity: 49.64 | wind_speed: 50.0 | visibility: 7.42
weather_id: 6c16debf-7fa7-4c7a-83f7-1f1cec4f335b | city: Felixstowe | forecast_date: 2026-03-30 00:00:00 | weather_condition: Clear | temperature: 26.03 | rainfall: 0.0 | humidity: 76.38 | wind_speed: 23.59 | visibility: 9.02
weather_id: 622f2a58-1ed8-4653-a6ec-900d416c8f56 | city: Guangzhou | forecast_date: 2026-06-03 00:00:00 | weather_condition: Fog | temperature: 17.28 | rainfall: 0.24 | humidity: 92.41 | wind_speed: 32.05 | visibility: 0.69
weather_id: cbbf9d08-1269-4c9c-86eb-fa7e75d311a0 | city: Incheon | forecast_date: 2025-01-23 00:00:00 | weather_condition: Fog | temperature: 5.02 | rainfall: 11.37 | humidity: 87.99 | wind_speed: 20.84 | visibility: 1.53
weather_id: 1429397b-2734-4aca-845d-195153181b8d | city: Kolkata | forecast_date: 2025-11-07 00:00:00 | weather_condition: Clear | temperature: 18.19 | rainfall: 0.0 | humidity: 52.41 | wind_speed: 21.6 | visibility: 6.31
weather_id: c02855c6-21c0-42de-8c16-3aaca859b960 | city: Abu Dhabi | forecast_date: 2025-08-06 00:00:00 | weather_condition: Cloudy | temperature: 23.14 | rainfall: 3.28 | humidity: 64.0 | wind_speed: 29.55 | visibility: 11.2
weather_id: 7bde3199-8da3-4e37-9779-75a04963e8ae | city: Osaka | forecast_date: 2025-09-13 00:00:00 | weather_condition: Clear | temperature: 35.28 | rainfall: 0.0 | humidity: 59.05 | wind_speed: 10.94 | visibility: 7.3
weather_id: ba117e8d-8ae3-476d-913b-ad425f0c00e6 | city: Shenzhen | forecast_date: 2025-01-12 00:00:00 | weather_condition: Cloudy | temperature: 28.14 | rainfall: 3.62 | humidity: 51.02 | wind_speed: 11.49 | visibility: 5.37
weather_id: ec9ee65a-3589-42ed-af3f-d84273ea20e5 | city: Shenzhen | forecast_date: 2025-06-03 00:00:00 | weather_condition: Heavy Rain | temperature: 31.57 | rainfall: 49.25 | humidity: 78.39 | wind_speed: 15.54 | visibility: 4.28
weather_id: 443628de-cbea-481d-b028-630dc2a98372 | city: Hyderabad | forecast_date: 2026-06-02 00:00:00 | weather_condition: Clear | temperature: 13.71 | rainfall: 0.0 | humidity: 91.8 | wind_speed: 29.87 | visibility: 7.31
weather_id: 52d8709a-878c-46e1-838d-09481b9b98e2 | city: Shenzhen | forecast_date: 2025-06-14 00:00:00 | weather_condition: Storm | temperature: 31.64 | rainfall: 122.3 | humidity: 37.79 | wind_speed: 88.8 | visibility: 2.76
weather_id: 23354241-b4a8-4c80-ad64-73b149af00d4 | city: Frankfurt | forecast_date: 2026-04-02 00:00:00 | weather_condition: Cloudy | temperature: 30.84 | rainfall: 2.64 | humidity: 61.06 | wind_speed: 13.77 | visibility: 12.51
weather_id: 7ad2d213-cd31-4cfa-a49a-ba36d4b0ad84 | city: Osaka | forecast_date: 2026-05-29 00:00:00 | weather_condition: Cloudy | temperature: 26.34 | rainfall: 3.88 | humidity: 93.77 | wind_speed: 14.5 | visibility: 8.72
weather_id: 3255454b-8fe4-4a1d-94b7-32986c64465b | city: Manchester | forecast_date: 2026-05-15 00:00:00 | weather_condition: Cloudy | temperature: 28.81 | rainfall: 2.12 | humidity: 35.92 | wind_speed: 33.07 | visibility: 5.97
weather_id: 2839f0d4-dcbf-433e-9374-8e955fb3a844 | city: Los Angeles | forecast_date: 2025-04-15 00:00:00 | weather_condition: Clear | temperature: 18.15 | rainfall: 0.0 | humidity: 54.51 | wind_speed: 11.75 | visibility: 10.06
weather_id: 30682085-78ed-4c85-bdd1-84c0d8549f45 | city: Felixstowe | forecast_date: 2025-09-12 00:00:00 | weather_condition: Clear | temperature: 14.43 | rainfall: 0.0 | humidity: 65.79 | wind_speed: 19.17 | visibility: 8.57
weather_id: f070e4b1-671c-4dab-943d-b493f4d06977 | city: Seoul | forecast_date: 2026-02-02 00:00:00 | weather_condition: Clear | temperature: 19.55 | rainfall: 0.0 | humidity: 81.75 | wind_speed: 15.56 | visibility: 14.86
weather_id: 8bef65ad-8fa0-4cf4-ad7f-7585223632a3 | city: Shanghai | forecast_date: 2025-03-14 00:00:00 | weather_condition: Cloudy | temperature: 24.98 | rainfall: 3.31 | humidity: 94.09 | wind_speed: 3.83 | visibility: 12.1
weather_id: a31c2b86-3a8d-4069-8784-3401c7270f63 | city: Tokyo | forecast_date: 2025-06-12 00:00:00 | weather_condition: Clear | temperature: 23.42 | rainfall: 0.0 | humidity: 71.96 | wind_speed: 26.39 | visibility: 10.87
weather_id: 7ccbe49c-42f9-4a02-bbc6-a5a9230346c8 | city: Mumbai | forecast_date: 2026-01-18 00:00:00 | weather_condition: Cloudy | temperature: 23.6 | rainfall: 1.53 | humidity: 30.18 | wind_speed: 6.18 | visibility: 14.05
weather_id: 14a1f45d-aeb9-46f1-b018-b3e6a1c2cde2 | city: London | forecast_date: 2025-06-29 00:00:00 | weather_condition: Clear | temperature: 18.49 | rainfall: 0.0 | humidity: 63.66 | wind_speed: 3.33 | visibility: 10.84
weather_id: 627d18ff-88f9-4018-ab71-eef2019c7190 | city: Shanghai | forecast_date: 2026-02-28 00:00:00 | weather_condition: Fog | temperature: 10.35 | rainfall: 1.93 | humidity: 88.44 | wind_speed: 27.57 | visibility: 0.44
weather_id: 2dd617dc-f923-43f0-8afb-7a889099668e | city: Seoul | forecast_date: 2025-10-24 00:00:00 | weather_condition: Heavy Rain | temperature: 19.66 | rainfall: 83.12 | humidity: 37.25 | wind_speed: 25.92 | visibility: 3.68
weather_id: df83d1e3-9fcf-47ac-8891-1835291df46a | city: Tokyo | forecast_date: 2026-05-03 00:00:00 | weather_condition: Clear | temperature: 26.04 | rainfall: 0.0 | humidity: 63.33 | wind_speed: 28.49 | visibility: 9.25
weather_id: 35bcb879-a149-41af-9513-887e16470c74 | city: Kolkata | forecast_date: 2026-06-23 00:00:00 | weather_condition: Clear | temperature: 22.85 | rainfall: 0.0 | humidity: 53.48 | wind_speed: 6.64 | visibility: 5.87
weather_id: 20fe1283-538b-4ef7-8b82-6859ebf07beb | city: Shanghai | forecast_date: 2026-06-30 00:00:00 | weather_condition: Rain | temperature: 35.85 | rainfall: 26.21 | humidity: 80.95 | wind_speed: 6.99 | visibility: 7.76
weather_id: d8d01bf3-5940-4bcf-90af-9e9340287d7e | city: Frankfurt | forecast_date: 2025-05-19 00:00:00 | weather_condition: Rain | temperature: 35.28 | rainfall: 8.64 | humidity: 40.29 | wind_speed: 27.14 | visibility: 7.31
weather_id: cc8b62bf-e816-4f8d-bc17-28cb5c10c88c | city: Shanghai | forecast_date: 2025-05-03 00:00:00 | weather_condition: Fog | temperature: 8.67 | rainfall: 3.88 | humidity: 61.13 | wind_speed: 15.61 | visibility: 1.65
weather_id: 63d4beba-4d19-4298-a9d1-c536a9269eb7 | city: Hamburg | forecast_date: 2025-03-18 00:00:00 | weather_condition: Cloudy | temperature: 14.22 | rainfall: 0.57 | humidity: 90.47 | wind_speed: 30.88 | visibility: 13.95
weather_id: 03aca049-bcb6-4859-97c5-717722782b7d | city: Hamburg | forecast_date: 2025-05-17 00:00:00 | weather_condition: Rain | temperature: 19.86 | rainfall: 33.39 | humidity: 42.64 | wind_speed: 22.54 | visibility: 7.22
weather_id: a035be9e-d879-4117-acfe-ca78586e0422 | city: Frankfurt | forecast_date: 2026-05-13 00:00:00 | weather_condition: Clear | temperature: 18.42 | rainfall: 0.0 | humidity: 55.33 | wind_speed: 16.65 | visibility: 10.99
weather_id: 4326cae0-4fd7-40dc-a845-3ad127b77b41 | city: Mumbai | forecast_date: 2025-07-03 00:00:00 | weather_condition: Cloudy | temperature: 20.16 | rainfall: 0.38 | humidity: 38.55 | wind_speed: 24.26 | visibility: 10.62
weather_id: b24dfe89-601a-479f-9a3f-d6075ec92d22 | city: Chennai | forecast_date: 2026-04-05 00:00:00 | weather_condition: Cloudy | temperature: 18.79 | rainfall: 1.06 | humidity: 49.57 | wind_speed: 12.49 | visibility: 10.86
weather_id: 16b56e7d-f621-46ba-9399-ebd357decc14 | city: Shanghai | forecast_date: 2025-03-16 00:00:00 | weather_condition: Rain | temperature: 24.68 | rainfall: 26.8 | humidity: 40.3 | wind_speed: 34.17 | visibility: 14.52
weather_id: beb56ccb-7048-4fa9-bb82-8305689965df | city: Sharjah | forecast_date: 2025-11-02 00:00:00 | weather_condition: Rain | temperature: 24.79 | rainfall: 25.54 | humidity: 45.62 | wind_speed: 33.07 | visibility: 10.02
weather_id: 2419fe9e-0cd9-477a-838a-e8f460bd5aa8 | city: Shanghai | forecast_date: 2025-07-12 00:00:00 | weather_condition: Clear | temperature: 12.46 | rainfall: 0.0 | humidity: 57.54 | wind_speed: 15.05 | visibility: 7.84
weather_id: ce12c28f-1f2b-4958-8647-7a14d044847d | city: Ahmedabad | forecast_date: 2025-08-13 00:00:00 | weather_condition: Cloudy | temperature: 31.29 | rainfall: 2.21 | humidity: 49.01 | wind_speed: 10.05 | visibility: 6.41
weather_id: 370be6da-e484-4ef5-8be9-32847b82de4a | city: Frankfurt | forecast_date: 2025-11-25 00:00:00 | weather_condition: High Wind | temperature: 34.77 | rainfall: 10.61 | humidity: 58.34 | wind_speed: 66.78 | visibility: 10.97
weather_id: d5513b57-1777-4be1-a714-f8c25de3862c | city: Abu Dhabi | forecast_date: 2026-05-05 00:00:00 | weather_condition: Storm | temperature: 26.76 | rainfall: 71.82 | humidity: 52.92 | wind_speed: 74.38 | visibility: 1.38
weather_id: 171b0e6a-cdf4-4cf6-a831-7e95c427f990 | city: Felixstowe | forecast_date: 2026-01-13 00:00:00 | weather_condition: Clear | temperature: 19.06 | rainfall: 0.0 | humidity: 57.71 | wind_speed: 19.24 | visibility: 11.97
weather_id: 6f9d9450-737a-4709-a4b7-a0f0c13479bf | city: Guangzhou | forecast_date: 2025-10-05 00:00:00 | weather_condition: Cloudy | temperature: 10.93 | rainfall: 1.49 | humidity: 65.83 | wind_speed: 24.16 | visibility: 7.88
weather_id: 87b2d6f0-7d22-4230-8143-00fa6b2342e9 | city: Manchester | forecast_date: 2026-04-11 00:00:00 | weather_condition: Rain | temperature: 26.99 | rainfall: 23.87 | humidity: 87.64 | wind_speed: 15.86 | visibility: 12.84
weather_id: 2509008f-f3be-4eb1-acc4-aba27e39ac8f | city: Kolkata | forecast_date: 2026-03-22 00:00:00 | weather_condition: Heavy Rain | temperature: 28.41 | rainfall: 104.85 | humidity: 48.08 | wind_speed: 27.37 | visibility: 3.66
weather_id: c52ca19d-d687-4503-902c-286fe5e54472 | city: Guangzhou | forecast_date: 2026-01-21 00:00:00 | weather_condition: Cloudy | temperature: 23.51 | rainfall: 1.03 | humidity: 69.19 | wind_speed: 24.16 | visibility: 12.61
weather_id: f2267c1e-3862-4c3c-a205-acf35188e79d | city: Kolkata | forecast_date: 2025-09-11 00:00:00 | weather_condition: Cloudy | temperature: 10.27 | rainfall: 3.68 | humidity: 63.86 | wind_speed: 15.57 | visibility: 11.39
weather_id: 0292ac4d-e809-4154-9aff-a447ac37c4c9 | city: Hamburg | forecast_date: 2025-01-17 00:00:00 | weather_condition: Clear | temperature: 21.08 | rainfall: 0.0 | humidity: 33.62 | wind_speed: 8.95 | visibility: 11.93
weather_id: d1e5860c-30d3-4d40-8135-2595972c1075 | city: Chennai | forecast_date: 2026-04-26 00:00:00 | weather_condition: Cloudy | temperature: 12.39 | rainfall: 2.28 | humidity: 65.34 | wind_speed: 6.4 | visibility: 8.75
weather_id: 0490deb3-6d13-4c8c-94e8-770bc23d8648 | city: Rotterdam | forecast_date: 2025-07-15 00:00:00 | weather_condition: Clear | temperature: 18.81 | rainfall: 0.0 | humidity: 73.04 | wind_speed: 23.17 | visibility: 12.55
weather_id: 873bed7d-3e1d-48bc-a29d-c464d000b524 | city: Delhi | forecast_date: 2026-04-05 00:00:00 | weather_condition: Cloudy | temperature: 22.59 | rainfall: 0.25 | humidity: 88.97 | wind_speed: 10.32 | visibility: 12.0
weather_id: aa132f4a-9fdb-4e50-9035-b8e634d3d21f | city: Ahmedabad | forecast_date: 2026-02-27 00:00:00 | weather_condition: Clear | temperature: 23.87 | rainfall: 0.0 | humidity: 94.53 | wind_speed: 30.43 | visibility: 9.84
weather_id: c1d95f22-11fd-4388-917a-ee4e5c3a1f4b | city: Singapore | forecast_date: 2026-04-14 00:00:00 | weather_condition: Cloudy | temperature: 10.85 | rainfall: 0.01 | humidity: 46.62 | wind_speed: 5.76 | visibility: 8.45
weather_id: 320688d2-108a-4b1c-8eb9-43cef634cbfb | city: Busan | forecast_date: 2025-06-17 00:00:00 | weather_condition: Clear | temperature: 14.76 | rainfall: 0.0 | humidity: 48.34 | wind_speed: 21.86 | visibility: 8.67
weather_id: cdbed482-5d40-49a8-956a-656f5d4bf08a | city: Felixstowe | forecast_date: 2025-11-14 00:00:00 | weather_condition: Clear | temperature: 10.26 | rainfall: 0.0 | humidity: 83.88 | wind_speed: 32.52 | visibility: 14.64
weather_id: d5c80839-d990-4974-8edd-96aa40e5d3b5 | city: London | forecast_date: 2026-04-16 00:00:00 | weather_condition: Clear | temperature: 20.01 | rainfall: 0.0 | humidity: 64.77 | wind_speed: 18.71 | visibility: 9.07
weather_id: a8df0375-8204-415b-8d1f-9fd338360aab | city: Delhi | forecast_date: 2026-01-31 00:00:00 | weather_condition: Rain | temperature: 12.36 | rainfall: 32.86 | humidity: 46.07 | wind_speed: 16.27 | visibility: 10.15
weather_id: 944427f3-62e6-4c21-9365-19303f1be02e | city: Guangzhou | forecast_date: 2025-12-21 00:00:00 | weather_condition: Cloudy | temperature: 13.76 | rainfall: 1.85 | humidity: 90.53 | wind_speed: 32.21 | visibility: 11.72
weather_id: 690e966a-1e0e-4c5e-9279-1cd7a4d5087f | city: Dubai | forecast_date: 2026-02-04 00:00:00 | weather_condition: Cloudy | temperature: 28.99 | rainfall: 2.34 | humidity: 92.11 | wind_speed: 10.22 | visibility: 11.26
weather_id: c809c82e-8fa6-4312-9204-7785463aa4cf | city: Dubai | forecast_date: 2026-06-24 00:00:00 | weather_condition: Clear | temperature: 30.88 | rainfall: 0.0 | humidity: 92.74 | wind_speed: 33.58 | visibility: 10.4
weather_id: 6413dbd4-9f6f-4626-abee-3573df9d8024 | city: Guangzhou | forecast_date: 2025-10-27 00:00:00 | weather_condition: Clear | temperature: 31.62 | rainfall: 0.0 | humidity: 92.35 | wind_speed: 7.49 | visibility: 7.53
weather_id: a3bbbfb3-2ffb-474c-9ee9-f5ca6b2ef3f4 | city: Shanghai | forecast_date: 2025-07-11 00:00:00 | weather_condition: Rain | temperature: 18.09 | rainfall: 24.35 | humidity: 86.82 | wind_speed: 27.72 | visibility: 5.27
weather_id: 6a5cbcd1-7ec9-4182-9433-387d0f48ef7a | city: Bremen | forecast_date: 2025-09-17 00:00:00 | weather_condition: Clear | temperature: 31.15 | rainfall: 0.0 | humidity: 46.23 | wind_speed: 15.79 | visibility: 12.58
weather_id: b2fff0ad-1cae-4f37-a6e2-31e12f131005 | city: Ahmedabad | forecast_date: 2025-06-06 00:00:00 | weather_condition: Cloudy | temperature: 11.57 | rainfall: 3.4 | humidity: 89.1 | wind_speed: 10.04 | visibility: 10.08
weather_id: 5a45556f-5f04-45b4-9214-5aab49df0237 | city: Los Angeles | forecast_date: 2026-05-19 00:00:00 | weather_condition: Cloudy | temperature: 12.66 | rainfall: 3.18 | humidity: 37.65 | wind_speed: 32.39 | visibility: 14.55
weather_id: 52df0a9e-50cf-454c-818c-8c3bb5e6c417 | city: Rotterdam | forecast_date: 2025-05-12 00:00:00 | weather_condition: Rain | temperature: 26.95 | rainfall: 15.15 | humidity: 44.08 | wind_speed: 32.78 | visibility: 10.86
weather_id: cb9aeb3d-2170-4070-acce-04e4caec90cc | city: Bengaluru | forecast_date: 2025-01-31 00:00:00 | weather_condition: Rain | temperature: 16.82 | rainfall: 33.74 | humidity: 36.48 | wind_speed: 26.52 | visibility: 7.11
weather_id: 5209305e-52cb-4d4a-a6aa-8eeab8d53e65 | city: Chicago | forecast_date: 2025-04-12 00:00:00 | weather_condition: Heavy Rain | temperature: 26.49 | rainfall: 116.12 | humidity: 92.48 | wind_speed: 17.58 | visibility: 1.48
weather_id: 114a99c0-4587-465d-8fc2-0783e56e71d0 | city: Hyderabad | forecast_date: 2025-10-15 00:00:00 | weather_condition: Storm | temperature: 27.82 | rainfall: 70.73 | humidity: 76.56 | wind_speed: 71.05 | visibility: 2.94
weather_id: d81913c3-023e-474c-a0af-5620edea6f7a | city: Los Angeles | forecast_date: 2025-01-22 00:00:00 | weather_condition: Clear | temperature: 28.48 | rainfall: 0.0 | humidity: 81.82 | wind_speed: 16.22 | visibility: 8.09
weather_id: 1828a704-63d6-4d20-93c9-f0a567dfd532 | city: Felixstowe | forecast_date: 2026-01-08 00:00:00 | weather_condition: Clear | temperature: 22.96 | rainfall: 0.0 | humidity: 58.45 | wind_speed: 16.96 | visibility: 11.49
weather_id: c9cc110b-8daa-4dac-8ba0-ddf6a44c5109 | city: Rotterdam | forecast_date: 2025-07-31 00:00:00 | weather_condition: Cloudy | temperature: 11.13 | rainfall: 2.19 | humidity: 85.2 | wind_speed: 23.37 | visibility: 14.32
weather_id: ae67e2d2-86c5-43f1-b134-8e9f596f76a7 | city: Incheon | forecast_date: 2025-09-21 00:00:00 | weather_condition: High Wind | temperature: 24.15 | rainfall: 2.03 | humidity: 52.61 | wind_speed: 71.47 | visibility: 5.71
weather_id: 26b1ef1a-970d-440c-8fe8-31a7e6dbc608 | city: Delhi | forecast_date: 2026-06-29 00:00:00 | weather_condition: Clear | temperature: 32.21 | rainfall: 0.0 | humidity: 45.88 | wind_speed: 30.55 | visibility: 12.47
weather_id: 155032f1-c857-4654-a46c-cbc9e2bce7cc | city: Manchester | forecast_date: 2026-01-02 00:00:00 | weather_condition: Cloudy | temperature: 31.26 | rainfall: 3.69 | humidity: 83.64 | wind_speed: 34.32 | visibility: 7.74
weather_id: 5c2bddc7-d113-4e83-b45e-6f05b231c6ec | city: Sharjah | forecast_date: 2025-01-13 00:00:00 | weather_condition: Clear | temperature: 29.73 | rainfall: 0.0 | humidity: 80.94 | wind_speed: 24.36 | visibility: 5.6
weather_id: 8d2b0e9b-383b-4cf3-8d61-2d3b7bdaf927 | city: Frankfurt | forecast_date: 2025-03-14 00:00:00 | weather_condition: Clear | temperature: 34.07 | rainfall: 0.0 | humidity: 35.97 | wind_speed: 23.15 | visibility: 7.53
weather_id: 006a0f71-be5b-4923-a68c-3d0cc759b361 | city: Ahmedabad | forecast_date: 2026-02-21 00:00:00 | weather_condition: Cloudy | temperature: 11.76 | rainfall: 3.21 | humidity: 91.97 | wind_speed: 33.04 | visibility: 9.23
weather_id: 6339d3cf-4220-45db-878f-eef72a715a8e | city: Osaka | forecast_date: 2025-05-22 00:00:00 | weather_condition: Storm | temperature: 25.31 | rainfall: 81.53 | humidity: 85.19 | wind_speed: 51.56 | visibility: 1.84
weather_id: 81f71448-a83c-42c2-8b81-da7d754471fc | city: Los Angeles | forecast_date: 2025-03-10 00:00:00 | weather_condition: Heavy Rain | temperature: 18.47 | rainfall: 81.32 | humidity: 39.64 | wind_speed: 26.87 | visibility: 3.37
weather_id: b26640a2-dfac-4ec5-8c47-dda7d2d01055 | city: Los Angeles | forecast_date: 2025-06-24 00:00:00 | weather_condition: Rain | temperature: 17.71 | rainfall: 11.89 | humidity: 66.9 | wind_speed: 33.93 | visibility: 14.18
weather_id: 314a7ce8-095d-4429-971c-aaa7e96938bd | city: London | forecast_date: 2026-03-29 00:00:00 | weather_condition: Fog | temperature: 10.92 | rainfall: 10.74 | humidity: 77.45 | wind_speed: 23.25 | visibility: 1.13
weather_id: 60bdb0d5-2f18-42ca-9edc-763a67fb8385 | city: Chennai | forecast_date: 2025-01-18 00:00:00 | weather_condition: High Wind | temperature: 26.4 | rainfall: 5.37 | humidity: 52.71 | wind_speed: 46.09 | visibility: 12.72
weather_id: 2267a171-3ca4-4591-a35a-ebdd7a568f59 | city: Guangzhou | forecast_date: 2025-12-30 00:00:00 | weather_condition: Clear | temperature: 35.24 | rainfall: 0.0 | humidity: 72.51 | wind_speed: 7.08 | visibility: 12.12
weather_id: 1bb5a68e-57c9-45c1-a258-cf5a93649c84 | city: Bengaluru | forecast_date: 2025-11-10 00:00:00 | weather_condition: Rain | temperature: 16.39 | rainfall: 15.66 | humidity: 44.37 | wind_speed: 17.71 | visibility: 13.09
weather_id: 1b03b2fe-29f3-4ec6-a43d-447b70b28445 | city: Dubai | forecast_date: 2025-12-31 00:00:00 | weather_condition: Fog | temperature: 8.51 | rainfall: 0.8 | humidity: 62.45 | wind_speed: 27.16 | visibility: 1.16
weather_id: d7d3f086-e0c3-4d79-ae92-976ea25397b7 | city: Bremen | forecast_date: 2026-01-07 00:00:00 | weather_condition: Clear | temperature: 11.36 | rainfall: 0.0 | humidity: 39.19 | wind_speed: 24.11 | visibility: 8.77
weather_id: 911d4d9d-50c2-4643-9c04-c6a33d42a5ad | city: Yokohama | forecast_date: 2025-08-28 00:00:00 | weather_condition: Clear | temperature: 25.26 | rainfall: 0.0 | humidity: 34.5 | wind_speed: 4.75 | visibility: 7.96
weather_id: 8a32002c-0cb1-47b0-afbb-f2bd6b935049 | city: Bengaluru | forecast_date: 2026-06-06 00:00:00 | weather_condition: Cloudy | temperature: 27.71 | rainfall: 3.02 | humidity: 88.9 | wind_speed: 11.66 | visibility: 6.46
weather_id: a90f17d1-c6a0-49ad-a8a2-83e3e91c532c | city: Hamburg | forecast_date: 2026-05-08 00:00:00 | weather_condition: Cloudy | temperature: 31.31 | rainfall: 0.64 | humidity: 44.66 | wind_speed: 33.32 | visibility: 14.0
weather_id: 9bf2f021-737d-4196-9675-58586893d19a | city: Singapore | forecast_date: 2025-08-13 00:00:00 | weather_condition: Clear | temperature: 22.95 | rainfall: 0.0 | humidity: 69.88 | wind_speed: 4.1 | visibility: 8.14
