Sheet Name: Routes

route_id: 3e26abf4-dd1f-4e19-8ed5-ffe4905d68ad | origin_city: Delhi | destination_city: Felixstowe | origin_country: India | destination_country: United Kingdom | origin_port: Mundra Port | destination_port: Port of Felixstowe | distance_km: 2362.24 | average_transit_days: 7 | route_risk: Medium | traffic_index: 59
route_id: 795bbcb6-716a-486c-9ff3-97662f55f3bc | origin_city: Kolkata | destination_city: Hyderabad | origin_country: India | destination_country: India | origin_port: Kolkata Port | destination_port: Chennai Port | distance_km: 2210.62 | average_transit_days: 8 | route_risk: Medium | traffic_index: 41
route_id: c1b350f8-1bcb-4e03-ade7-34d1af1cb725 | origin_city: Shenzhen | destination_city: Yokohama | origin_country: China | destination_country: Japan | origin_port: Ningbo-Zhoushan | destination_port: Port of Yokohama | distance_km: 10554.91 | average_transit_days: 16 | route_risk: Low | traffic_index: 36
route_id: e88d4d29-21d9-4b2e-a286-0c7dc33c4a52 | origin_city: Bengaluru | destination_city: Sharjah | origin_country: India | destination_country: UAE | origin_port: Mundra Port | destination_port: Khalifa Port | distance_km: 3883.82 | average_transit_days: 9 | route_risk: Low | traffic_index: 30
route_id: 5c3b999c-b3cb-4b97-a56f-a246cf92a928 | origin_city: Singapore | destination_city: Abu Dhabi | origin_country: Singapore | destination_country: UAE | origin_port: Port of Singapore | destination_port: Khalifa Port | distance_km: 9233.41 | average_transit_days: 19 | route_risk: Critical | traffic_index: 93
route_id: a5d8dba4-0c8c-46b8-b755-dfffcc4e521e | origin_city: Houston | destination_city: Osaka | origin_country: United States | destination_country: Japan | origin_port: Port of LA | destination_port: Port of Osaka | distance_km: 740.36 | average_transit_days: 6 | route_risk: Low | traffic_index: 32
route_id: 78cf88d2-9b81-4c5b-a4dd-5d8e9c50253d | origin_city: Osaka | destination_city: Hamburg | origin_country: Japan | destination_country: Germany | origin_port: Port of Yokohama | destination_port: Bremerhaven | distance_km: 9454.49 | average_transit_days: 15 | route_risk: Low | traffic_index: 41
route_id: d864620c-eb46-42d7-aaa1-151ec9748071 | origin_city: Houston | destination_city: Rotterdam | origin_country: United States | destination_country: Netherlands | origin_port: Port Newark | destination_port: Port of Rotterdam | distance_km: 7155.89 | average_transit_days: 11 | route_risk: High | traffic_index: 87
route_id: fca90666-96d6-4637-9bf5-613280badb3a | origin_city: Kolkata | destination_city: Tokyo | origin_country: India | destination_country: Japan | origin_port: Kolkata Port | destination_port: Port of Osaka | distance_km: 10133.94 | average_transit_days: 13 | route_risk: Medium | traffic_index: 57
route_id: 9c0ceb94-ef66-48c0-9d34-ed1554a502cb | origin_city: Chennai | destination_city: Singapore | origin_country: India | destination_country: Singapore | origin_port: Mundra Port | destination_port: Port of Singapore | distance_km: 3442.72 | average_transit_days: 8 | route_risk: Low | traffic_index: 39
route_id: e531f611-b192-42d8-844f-c07735e6d652 | origin_city: New York | destination_city: Amsterdam | origin_country: United States | destination_country: Netherlands | origin_port: Port Newark | destination_port: Port of Rotterdam | distance_km: 9684.37 | average_transit_days: 21 | route_risk: Medium | traffic_index: 54
route_id: 663f2c94-e77e-4ee3-8a10-202478ecd463 | origin_city: Los Angeles | destination_city: Houston | origin_country: United States | destination_country: United States | origin_port: Port Newark | destination_port: Port of LA | distance_km: 190.98 | average_transit_days: 5 | route_risk: Low | traffic_index: 31
route_id: bba2a6dd-f736-4c9c-8fa4-55a2ba9d31e3 | origin_city: Houston | destination_city: Mumbai | origin_country: United States | destination_country: India | origin_port: Port Houston | destination_port: Mundra Port | distance_km: 1528.65 | average_transit_days: 4 | route_risk: Medium | traffic_index: 60
route_id: bf6fc0e1-798f-4a07-82a1-6cfc6bd91d31 | origin_city: Dubai | destination_city: Incheon | origin_country: UAE | destination_country: South Korea | origin_port: Khalifa Port | destination_port: Incheon Port | distance_km: 8456.8 | average_transit_days: 11 | route_risk: Low | traffic_index: 33
route_id: 7f798f8d-bd7b-4ea2-88a0-5a45789b8584 | origin_city: Chicago | destination_city: Bremen | origin_country: United States | destination_country: Germany | origin_port: Port Newark | destination_port: Bremerhaven | distance_km: 8458.4 | average_transit_days: 15 | route_risk: High | traffic_index: 87
route_id: d653345c-bdfc-44a0-afeb-3c4974cc0f5d | origin_city: Manchester | destination_city: Dubai | origin_country: United Kingdom | destination_country: UAE | origin_port: London Gateway | destination_port: Jebel Ali | distance_km: 1898.4 | average_transit_days: 6 | route_risk: Medium | traffic_index: 51
route_id: 080fce6d-227a-4161-9589-9109c99996ac | origin_city: New York | destination_city: Shenzhen | origin_country: United States | destination_country: China | origin_port: Port of LA | destination_port: Ningbo-Zhoushan | distance_km: 3062.07 | average_transit_days: 6 | route_risk: Low | traffic_index: 43
route_id: 792276ba-9fa6-4dec-a2f4-30c2ffffffe7 | origin_city: Chennai | destination_city: Hyderabad | origin_country: India | destination_country: India | origin_port: Chennai Port | destination_port: Kolkata Port | distance_km: 886.27 | average_transit_days: 3 | route_risk: Medium | traffic_index: 53
route_id: 31f4fa6a-ff25-48d9-8cf6-be80ff3630e8 | origin_city: Singapore | destination_city: Sharjah | origin_country: Singapore | destination_country: UAE | origin_port: Port of Singapore | destination_port: Khalifa Port | distance_km: 12363.82 | average_transit_days: 20 | route_risk: Low | traffic_index: 41
route_id: c0ca5700-e35d-4703-bcf0-3d83cf80b17a | origin_city: Amsterdam | destination_city: Felixstowe | origin_country: Netherlands | destination_country: United Kingdom | origin_port: Port of Rotterdam | destination_port: Port of Felixstowe | distance_km: 10203.03 | average_transit_days: 17 | route_risk: Low | traffic_index: 39
route_id: 5fcec911-77aa-476d-b443-a508b12a0942 | origin_city: Abu Dhabi | destination_city: Shanghai | origin_country: UAE | destination_country: China | origin_port: Jebel Ali | destination_port: Ningbo-Zhoushan | distance_km: 4414.36 | average_transit_days: 10 | route_risk: Low | traffic_index: 26
route_id: 1f0dc583-c827-4176-a252-f487120d6a06 | origin_city: Abu Dhabi | destination_city: Manchester | origin_country: UAE | destination_country: United Kingdom | origin_port: Jebel Ali | destination_port: Port of Felixstowe | distance_km: 2914.12 | average_transit_days: 8 | route_risk: Low | traffic_index: 33
route_id: f52abb29-26cd-404e-97f9-efab35f86038 | origin_city: Amsterdam | destination_city: Kolkata | origin_country: Netherlands | destination_country: India | origin_port: Port of Rotterdam | destination_port: Kolkata Port | distance_km: 8077.92 | average_transit_days: 14 | route_risk: High | traffic_index: 62
route_id: 4f972d73-b886-4ddf-98e6-1ba16071967a | origin_city: Felixstowe | destination_city: Abu Dhabi | origin_country: United Kingdom | destination_country: UAE | origin_port: London Gateway | destination_port: Khalifa Port | distance_km: 5596.13 | average_transit_days: 12 | route_risk: Low | traffic_index: 36
route_id: 0ca0a4c1-4e1e-43a0-bad4-391278505eac | origin_city: Los Angeles | destination_city: Guangzhou | origin_country: United States | destination_country: China | origin_port: Port Newark | destination_port: Shanghai Port | distance_km: 4256.99 | average_transit_days: 11 | route_risk: Medium | traffic_index: 55
route_id: 1677bf24-99a9-4a50-a48a-542b880c7955 | origin_city: Guangzhou | destination_city: Bremen | origin_country: China | destination_country: Germany | origin_port: Ningbo-Zhoushan | destination_port: Port of Hamburg | distance_km: 5231.39 | average_transit_days: 8 | route_risk: Low | traffic_index: 16
route_id: 0cca9b30-cfed-4707-a399-448a12989df9 | origin_city: Dubai | destination_city: Chicago | origin_country: UAE | destination_country: United States | origin_port: Jebel Ali | destination_port: Port Newark | distance_km: 7871.73 | average_transit_days: 16 | route_risk: Low | traffic_index: 28
route_id: 9220516a-61f6-4930-8705-9326caf1b153 | origin_city: Frankfurt | destination_city: Seoul | origin_country: Germany | destination_country: South Korea | origin_port: Bremerhaven | destination_port: Port of Busan | distance_km: 2894.44 | average_transit_days: 7 | route_risk: Medium | traffic_index: 65
route_id: 9ae39d88-1e69-4645-b7a2-62b29afe3ab6 | origin_city: Incheon | destination_city: Los Angeles | origin_country: South Korea | destination_country: United States | origin_port: Incheon Port | destination_port: Port Newark | distance_km: 9370.64 | average_transit_days: 20 | route_risk: Medium | traffic_index: 55
route_id: d6003518-7e14-44c1-ba50-0c080e7c807c | origin_city: New York | destination_city: Kolkata | origin_country: United States | destination_country: India | origin_port: Port Houston | destination_port: Mundra Port | distance_km: 12180.82 | average_transit_days: 30 | route_risk: Medium | traffic_index: 54
route_id: 67f77ec5-818d-4a2e-81a7-71b867743730 | origin_city: Osaka | destination_city: Yokohama | origin_country: Japan | destination_country: Japan | origin_port: Port of Yokohama | destination_port: Port of Osaka | distance_km: 2057.66 | average_transit_days: 6 | route_risk: Low | traffic_index: 21
route_id: 0b809a4c-302d-49bd-8a7d-b8c9836bf4df | origin_city: Rotterdam | destination_city: Shenzhen | origin_country: Netherlands | destination_country: China | origin_port: Port of Rotterdam | destination_port: Shenzhen Port | distance_km: 4002.45 | average_transit_days: 9 | route_risk: Medium | traffic_index: 65
route_id: 512ad239-a60e-433e-8fdf-0960e7523609 | origin_city: London | destination_city: Tokyo | origin_country: United Kingdom | destination_country: Japan | origin_port: Port of Felixstowe | destination_port: Port of Osaka | distance_km: 641.83 | average_transit_days: 6 | route_risk: Medium | traffic_index: 44
route_id: 93b2f282-71cf-43c1-80bc-1d659af74540 | origin_city: Seoul | destination_city: Shanghai | origin_country: South Korea | destination_country: China | origin_port: Incheon Port | destination_port: Shanghai Port | distance_km: 9253.06 | average_transit_days: 23 | route_risk: Low | traffic_index: 40
route_id: 44ef17ef-bb81-4664-b2f7-76ba54ec9ba6 | origin_city: Dubai | destination_city: Hamburg | origin_country: UAE | destination_country: Germany | origin_port: Khalifa Port | destination_port: Port of Hamburg | distance_km: 3118.68 | average_transit_days: 8 | route_risk: Low | traffic_index: 43
route_id: a7f02cad-6990-4457-962f-615792973e52 | origin_city: Amsterdam | destination_city: Frankfurt | origin_country: Netherlands | destination_country: Germany | origin_port: Port of Rotterdam | destination_port: Port of Hamburg | distance_km: 5330.37 | average_transit_days: 8 | route_risk: Low | traffic_index: 39
route_id: 75ad65d7-c0c7-45a9-be55-bc2cdb2f0b61 | origin_city: Yokohama | destination_city: Sharjah | origin_country: Japan | destination_country: UAE | origin_port: Port of Yokohama | destination_port: Jebel Ali | distance_km: 10721.5 | average_transit_days: 19 | route_risk: Low | traffic_index: 15
route_id: 2b76577f-045f-48d3-b5d0-7e4d4148e38d | origin_city: Chicago | destination_city: Busan | origin_country: United States | destination_country: South Korea | origin_port: Port Newark | destination_port: Port of Busan | distance_km: 1232.79 | average_transit_days: 6 | route_risk: Low | traffic_index: 24
route_id: 13f94beb-782d-4021-961a-a248f617c212 | origin_city: Manchester | destination_city: London | origin_country: United Kingdom | destination_country: United Kingdom | origin_port: Port of Felixstowe | destination_port: London Gateway | distance_km: 1975.83 | average_transit_days: 8 | route_risk: High | traffic_index: 77
route_id: 6081a1d6-7ae3-4d44-9ea6-c717517cf4ab | origin_city: Abu Dhabi | destination_city: Osaka | origin_country: UAE | destination_country: Japan | origin_port: Jebel Ali | destination_port: Port of Osaka | distance_km: 4893.33 | average_transit_days: 12 | route_risk: Medium | traffic_index: 55
route_id: a4b202be-5e45-44b1-819d-7f2abf475eff | origin_city: Felixstowe | destination_city: Amsterdam | origin_country: United Kingdom | destination_country: Netherlands | origin_port: Port of Felixstowe | destination_port: Port of Rotterdam | distance_km: 10365.16 | average_transit_days: 24 | route_risk: Low | traffic_index: 42
route_id: 0fef2ca2-bd04-4f68-9bcc-40238eabc0a0 | origin_city: Frankfurt | destination_city: Osaka | origin_country: Germany | destination_country: Japan | origin_port: Bremerhaven | destination_port: Port of Osaka | distance_km: 8743.95 | average_transit_days: 12 | route_risk: Low | traffic_index: 20
route_id: c04a84d9-934d-4459-8edd-93ffd2ec005f | origin_city: Shanghai | destination_city: Singapore | origin_country: China | destination_country: Singapore | origin_port: Shenzhen Port | destination_port: Port of Singapore | distance_km: 8485.99 | average_transit_days: 13 | route_risk: Medium | traffic_index: 44
route_id: 28bf753b-5190-4a1e-998b-cf3ca5e64bfe | origin_city: Felixstowe | destination_city: Singapore | origin_country: United Kingdom | destination_country: Singapore | origin_port: London Gateway | destination_port: Port of Singapore | distance_km: 1348.71 | average_transit_days: 3 | route_risk: High | traffic_index: 66
route_id: cfa96287-a054-4077-8cee-8964787bbae8 | origin_city: Amsterdam | destination_city: Seoul | origin_country: Netherlands | destination_country: South Korea | origin_port: Port of Rotterdam | destination_port: Incheon Port | distance_km: 12490.87 | average_transit_days: 21 | route_risk: Medium | traffic_index: 59
route_id: 708bf42b-9714-4d21-8206-558ce0424d4c | origin_city: Rotterdam | destination_city: Chicago | origin_country: Netherlands | destination_country: United States | origin_port: Port of Rotterdam | destination_port: Port of LA | distance_km: 7135.12 | average_transit_days: 12 | route_risk: Medium | traffic_index: 53
route_id: 318d93db-0a9a-42b4-a7ce-aebbe9f77b7d | origin_city: Tokyo | destination_city: Seoul | origin_country: Japan | destination_country: South Korea | origin_port: Port of Osaka | destination_port: Port of Busan | distance_km: 7597.0 | average_transit_days: 15 | route_risk: Low | traffic_index: 40
route_id: c657aa77-1ca9-4a88-a070-3de0a98525b3 | origin_city: Busan | destination_city: Dubai | origin_country: South Korea | destination_country: UAE | origin_port: Port of Busan | destination_port: Jebel Ali | distance_km: 3153.78 | average_transit_days: 9 | route_risk: Medium | traffic_index: 48
route_id: 62c824af-1e9d-4179-8f4f-50105da85799 | origin_city: New York | destination_city: Hyderabad | origin_country: United States | destination_country: India | origin_port: Port Houston | destination_port: Nhava Sheva | distance_km: 5047.94 | average_transit_days: 12 | route_risk: Low | traffic_index: 29
route_id: 177d861b-762b-4a03-91cd-53e1d8a4e603 | origin_city: Dubai | destination_city: Osaka | origin_country: UAE | destination_country: Japan | origin_port: Khalifa Port | destination_port: Port of Osaka | distance_km: 4431.01 | average_transit_days: 10 | route_risk: Medium | traffic_index: 48
route_id: ffdd3f77-e92d-4fc7-a615-e0c680d4282b | origin_city: Delhi | destination_city: Manchester | origin_country: India | destination_country: United Kingdom | origin_port: Chennai Port | destination_port: London Gateway | distance_km: 9558.28 | average_transit_days: 15 | route_risk: Low | traffic_index: 22
route_id: e53bf927-d6bd-4af4-bf9c-f4cb667092d1 | origin_city: Chennai | destination_city: Abu Dhabi | origin_country: India | destination_country: UAE | origin_port: Mundra Port | destination_port: Jebel Ali | distance_km: 952.78 | average_transit_days: 3 | route_risk: Medium | traffic_index: 44
route_id: 58d0931d-3c67-4665-8a35-db06fa3aa6a8 | origin_city: Singapore | destination_city: Tokyo | origin_country: Singapore | destination_country: Japan | origin_port: Port of Singapore | destination_port: Port of Yokohama | distance_km: 10918.05 | average_transit_days: 26 | route_risk: Medium | traffic_index: 62
route_id: a8772643-aed8-4a93-9f39-b2c0d63b4ae7 | origin_city: New York | destination_city: Busan | origin_country: United States | destination_country: South Korea | origin_port: Port Newark | destination_port: Port of Busan | distance_km: 4173.47 | average_transit_days: 9 | route_risk: Medium | traffic_index: 38
route_id: d05de934-5a5a-4ae1-8f46-c77ce852ecc1 | origin_city: Sharjah | destination_city: Abu Dhabi | origin_country: UAE | destination_country: UAE | origin_port: Jebel Ali | destination_port: Khalifa Port | distance_km: 823.09 | average_transit_days: 2 | route_risk: Medium | traffic_index: 67
route_id: ae87c739-d482-4d2e-bc30-76adacf70748 | origin_city: Amsterdam | destination_city: Bremen | origin_country: Netherlands | destination_country: Germany | origin_port: Port of Rotterdam | destination_port: Port of Hamburg | distance_km: 5692.11 | average_transit_days: 10 | route_risk: Low | traffic_index: 41
route_id: 300be267-c96d-4a27-9942-70ed2a6cb561 | origin_city: Guangzhou | destination_city: Rotterdam | origin_country: China | destination_country: Netherlands | origin_port: Ningbo-Zhoushan | destination_port: Port of Rotterdam | distance_km: 6246.58 | average_transit_days: 11 | route_risk: High | traffic_index: 69
route_id: 34852b51-014e-4096-90db-d750eef59e09 | origin_city: Rotterdam | destination_city: Ningbo | origin_country: Netherlands | destination_country: China | origin_port: Port of Rotterdam | destination_port: Shanghai Port | distance_km: 2855.28 | average_transit_days: 5 | route_risk: Critical | traffic_index: 86
route_id: 9052da00-5c61-418f-a8f4-3defcf0af3a6 | origin_city: Rotterdam | destination_city: Singapore | origin_country: Netherlands | destination_country: Singapore | origin_port: Port of Rotterdam | destination_port: Port of Singapore | distance_km: 3624.75 | average_transit_days: 7 | route_risk: Low | traffic_index: 40
route_id: 9e65d442-ead4-46c4-bdf8-42dcf63d605b | origin_city: Bremen | destination_city: Shanghai | origin_country: Germany | destination_country: China | origin_port: Port of Hamburg | destination_port: Shanghai Port | distance_km: 3261.32 | average_transit_days: 10 | route_risk: Medium | traffic_index: 42
route_id: 3ed6d77c-386a-446e-bd5b-6cc9f6a24e02 | origin_city: Houston | destination_city: London | origin_country: United States | destination_country: United Kingdom | origin_port: Port Newark | destination_port: Port of Felixstowe | distance_km: 9885.16 | average_transit_days: 16 | route_risk: High | traffic_index: 68
route_id: ac6d0674-5bde-4385-85f7-26d3cf2d5b2c | origin_city: New York | destination_city: Ningbo | origin_country: United States | destination_country: China | origin_port: Port Houston | destination_port: Shenzhen Port | distance_km: 1417.22 | average_transit_days: 3 | route_risk: Low | traffic_index: 25
route_id: e2abece2-270c-4af6-9c60-cbf80a7741cf | origin_city: Incheon | destination_city: Bremen | origin_country: South Korea | destination_country: Germany | origin_port: Incheon Port | destination_port: Bremerhaven | distance_km: 936.94 | average_transit_days: 2 | route_risk: Low | traffic_index: 40
route_id: fd25363d-b278-468b-8215-da4f9355ab5e | origin_city: Singapore | destination_city: Seoul | origin_country: Singapore | destination_country: South Korea | origin_port: Port of Singapore | destination_port: Port of Busan | distance_km: 11231.09 | average_transit_days: 20 | route_risk: Low | traffic_index: 32
route_id: aaf38868-8a1f-4f6b-80f8-f9d39ed21481 | origin_city: Guangzhou | destination_city: Seoul | origin_country: China | destination_country: South Korea | origin_port: Shanghai Port | destination_port: Port of Busan | distance_km: 7803.71 | average_transit_days: 14 | route_risk: Medium | traffic_index: 46
route_id: 94a2ab68-5e98-4df9-88b3-71378b7532f5 | origin_city: Shenzhen | destination_city: Singapore | origin_country: China | destination_country: Singapore | origin_port: Shenzhen Port | destination_port: Port of Singapore | distance_km: 6284.51 | average_transit_days: 13 | route_risk: Medium | traffic_index: 54
route_id: f666f15e-533b-46fa-8ce6-91700ce170ce | origin_city: Singapore | destination_city: Frankfurt | origin_country: Singapore | destination_country: Germany | origin_port: Port of Singapore | destination_port: Port of Hamburg | distance_km: 7083.34 | average_transit_days: 17 | route_risk: High | traffic_index: 63
route_id: cb8bb6d9-f39b-4088-bfb6-d2677f59bf98 | origin_city: Sharjah | destination_city: Singapore | origin_country: UAE | destination_country: Singapore | origin_port: Khalifa Port | destination_port: Port of Singapore | distance_km: 4394.3 | average_transit_days: 10 | route_risk: Medium | traffic_index: 38
route_id: 48d9f345-69fa-4e15-b565-67e5f11c7817 | origin_city: Houston | destination_city: Singapore | origin_country: United States | destination_country: Singapore | origin_port: Port of LA | destination_port: Port of Singapore | distance_km: 3106.59 | average_transit_days: 7 | route_risk: Low | traffic_index: 36
route_id: 36339d01-5204-49d1-8649-4d5a16201973 | origin_city: Singapore | destination_city: London | origin_country: Singapore | destination_country: United Kingdom | origin_port: Port of Singapore | destination_port: Port of Felixstowe | distance_km: 1119.25 | average_transit_days: 3 | route_risk: Medium | traffic_index: 36
route_id: e53d64c1-95d2-414c-a5f2-4349ab14ca3b | origin_city: Seoul | destination_city: Frankfurt | origin_country: South Korea | destination_country: Germany | origin_port: Incheon Port | destination_port: Bremerhaven | distance_km: 1942.53 | average_transit_days: 3 | route_risk: Low | traffic_index: 45
route_id: 5cadca57-2f23-479b-8b6a-3a22da0c700d | origin_city: Kolkata | destination_city: Busan | origin_country: India | destination_country: South Korea | origin_port: Mundra Port | destination_port: Port of Busan | distance_km: 8733.38 | average_transit_days: 13 | route_risk: Low | traffic_index: 19
route_id: 891c9ec7-11d8-4fd8-ba6b-875fda148f9c | origin_city: Frankfurt | destination_city: Felixstowe | origin_country: Germany | destination_country: United Kingdom | origin_port: Bremerhaven | destination_port: London Gateway | distance_km: 6914.71 | average_transit_days: 19 | route_risk: Medium | traffic_index: 54
route_id: e92b72bd-c149-46b9-a605-a1801bae549f | origin_city: New York | destination_city: Tokyo | origin_country: United States | destination_country: Japan | origin_port: Port Houston | destination_port: Port of Yokohama | distance_km: 7490.91 | average_transit_days: 13 | route_risk: High | traffic_index: 76
route_id: 86bc49c8-1c5a-411e-8668-3d7db6f92820 | origin_city: Amsterdam | destination_city: Busan | origin_country: Netherlands | destination_country: South Korea | origin_port: Port of Rotterdam | destination_port: Port of Busan | distance_km: 307.61 | average_transit_days: 3 | route_risk: Medium | traffic_index: 62
route_id: 70373ef0-8150-49b6-a20f-595c226178da | origin_city: Yokohama | destination_city: Seoul | origin_country: Japan | destination_country: South Korea | origin_port: Port of Yokohama | destination_port: Port of Busan | distance_km: 4930.08 | average_transit_days: 13 | route_risk: Low | traffic_index: 41
route_id: 8551b99f-2a54-4c12-9c29-6b3c2e36832b | origin_city: Chennai | destination_city: Hyderabad | origin_country: India | destination_country: India | origin_port: Chennai Port | destination_port: Kolkata Port | distance_km: 789.43 | average_transit_days: 4 | route_risk: Low | traffic_index: 35
route_id: 513761d9-8985-4c71-8f4a-11e9a24e0591 | origin_city: Amsterdam | destination_city: Yokohama | origin_country: Netherlands | destination_country: Japan | origin_port: Port of Rotterdam | destination_port: Port of Yokohama | distance_km: 855.83 | average_transit_days: 5 | route_risk: Medium | traffic_index: 53
