Sheet Name: Shipments

shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | booking_id: ALC-2025-100000 | customer_id: 8f429dcf-8ec1-414b-9ba1-3cf9bee03dd9 | product_id: aa603d29-62c7-4256-aebf-e03cd57b1bd4 | carrier_id: 0d6bede1-9f61-4459-bb5c-32013d10e53b | warehouse_id: ee447931-f470-45fb-8df5-ef1167dc7fda | route_id: 90686ae5-7c43-46dd-8742-7cdf4561089c | vehicle_id: 9bdb03eb-36f7-4356-b175-e4a30b38affa | customs_id: 4345ef94-48fe-47d0-a93d-e413e1efcd7b | weather_id: 3138bd22-56a2-45c2-8a9a-43da64e93cdd | booking_date: 2025-12-29 00:00:00 | ship_date: 2026-01-08 00:00:00 | expected_delivery_date: 2026-01-13 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 122.19 | volume_cbm: 37.42 | declared_value: 165766.99 | insurance: True | fragile: False
shipment_id: 577c2cd1-818c-4499-be55-334e5e7baac5 | booking_id: ALC-2025-100011 | customer_id: dec32b3d-e5c2-4796-9911-626a5fac6129 | product_id: cbf16afe-695d-4044-a069-8fdbd1f1e563 | carrier_id: efdb2ff4-3062-48e9-8523-00a1a141f9c6 | warehouse_id: 84f02fe5-db41-4727-9c49-89247086588a | route_id: 36d9872a-80f7-483c-8462-d327fe1d61ea | vehicle_id: 4e2bd798-861d-4e39-ab2a-75599aac5b13 | customs_id: 7a537aff-f996-4297-bb1e-b461ca1c651e | weather_id: 160ca8b9-c2fd-48eb-b92a-14e514366ac3 | booking_date: 2025-03-03 00:00:00 | ship_date: 2025-03-07 00:00:00 | expected_delivery_date: 2025-03-28 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Low | weight_kg: 34013.07 | volume_cbm: 13.43 | declared_value: 230845.7 | insurance: True | fragile: True
shipment_id: ff378584-ae85-409c-9049-0d9b8b25a168 | booking_id: ALC-2025-100012 | customer_id: 20d1cbab-8e7d-4d1d-a478-0a2f87cafb9e | product_id: 04ee7009-3e9d-4b48-b38e-8333f8cf152c | carrier_id: 7b38c470-3364-4577-be9a-8e4abc13dca1 | warehouse_id: a5cbdd17-3069-46a2-b49e-d05c654440a3 | route_id: 795bbcb6-716a-486c-9ff3-97662f55f3bc | vehicle_id: 8f4484d0-53ad-484c-b22a-d5e9dc8ab9fe | customs_id: 080fcf3c-2776-4b64-8517-ec1c2bcc6a83 | weather_id: 37aa16ff-0a1b-4b79-84a6-b490f6dc74d4 | booking_date: 2025-10-03 00:00:00 | ship_date: 2025-10-06 00:00:00 | expected_delivery_date: 2025-10-13 00:00:00 | shipping_mode: Road | shipment_type: Export | priority: Normal | weight_kg: 8379.36 | volume_cbm: 4.57 | declared_value: 166876.32 | insurance: True | fragile: False
shipment_id: 780270c0-a7e2-4ac1-a62d-b9040b3a11bb | booking_id: ALC-2025-100013 | customer_id: d412d5d7-0749-41e0-8e1c-55c92825274f | product_id: 9dbc48df-2cef-4414-af21-af1dd45fe445 | carrier_id: 47f41b57-ff19-424b-8fa1-d9f27f648c66 | warehouse_id: da2418bf-816d-4ea8-8de8-c0fb9e617964 | route_id: 184bd60d-db66-420a-9ae3-65b623449866 | vehicle_id: d36f170a-0c45-4dd6-8385-89838266dbd2 | customs_id: 0918f89e-2f06-491a-b9aa-388329993502 | weather_id: cb416a03-a57a-42d7-ab8e-84bfe558696a | booking_date: 2025-02-01 00:00:00 | ship_date: 2025-02-10 00:00:00 | expected_delivery_date: 2025-03-01 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: High | weight_kg: 19520.71 | volume_cbm: 33.34 | declared_value: 234660.29 | insurance: True | fragile: False
shipment_id: ea76f869-1f9d-43e9-9684-95e644434ab5 | booking_id: ALC-2025-100014 | customer_id: ad0bc4c3-b872-4f36-bf6f-0c53408fde8a | product_id: 5d840eee-19ed-49a9-af7e-7d50776dff51 | carrier_id: 9328dbd3-43ec-42a2-9270-d956f920632e | warehouse_id: d3cabf96-0273-4fc8-b251-afe7689df1df | route_id: e8987b60-0650-44c7-a545-5b07edd2b155 | vehicle_id: a3c17062-c14a-4a99-adf1-1d18114e1ee3 | customs_id: 37aaa46f-fb23-49db-b041-d0c6e5b9c87b | weather_id: 0ed3607c-b203-41d6-8373-e1593b38f779 | booking_date: 2025-06-06 00:00:00 | ship_date: 2025-06-13 00:00:00 | expected_delivery_date: 2025-06-29 00:00:00 | shipping_mode: Rail | shipment_type: Import | priority: High | weight_kg: 1875.79 | volume_cbm: 22.55 | declared_value: 90803.23 | insurance: False | fragile: False
shipment_id: e7e53f76-9c14-4422-af6b-a831187c2ea7 | booking_id: ALC-2025-100015 | customer_id: be74a590-8349-4b0f-888c-611299b1d933 | product_id: 4d19add0-d885-46a8-86a5-e1d5d7cc4069 | carrier_id: 063e435c-ccfc-4341-8091-ca67a1e6c240 | warehouse_id: 3cc97033-34e2-45e6-88ef-8b4483dfcb61 | route_id: 57dcaa32-65da-43d0-ae44-5f1144553b54 | vehicle_id: 52471235-c1cf-443a-abf0-fadba4135dfc | customs_id: 10d4e9c0-9bfa-4d16-bd9d-da71564950bd | weather_id: 03226767-281c-4c4f-b893-a5bc8b2fc349 | booking_date: 2025-01-28 00:00:00 | ship_date: 2025-02-01 00:00:00 | expected_delivery_date: 2025-02-19 00:00:00 | shipping_mode: Air | shipment_type: Import | priority: Normal | weight_kg: 37219.05 | volume_cbm: 2.1 | declared_value: 164089.91 | insurance: True | fragile: False
shipment_id: 103b51ba-50c7-41ba-a79c-850e5c583c38 | booking_id: ALC-2025-100016 | customer_id: 81fa7723-6ba7-498a-8304-44b385933335 | product_id: 5f1f6b80-df4c-4cd4-b0d7-b0e83113dbf4 | carrier_id: 3e3e1304-91ed-41a1-b9dc-74fa4dbc71f6 | warehouse_id: e288e12b-b484-45d6-879d-6c92a7c4c165 | route_id: da1cd46c-c866-4264-9a03-6f4787ea1893 | vehicle_id: 0738687b-6aa8-49c0-9d5b-cf5ff2d7d3cf | customs_id: e2a46ff9-36d9-49ed-82ec-4f19e9e3fbb4 | weather_id: e094961b-d514-448f-9f47-bff13cd5e823 | booking_date: 2025-04-02 00:00:00 | ship_date: 2025-04-06 00:00:00 | expected_delivery_date: 2025-04-19 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 66825.6 | volume_cbm: 8.97 | declared_value: 41234.86 | insurance: False | fragile: False
shipment_id: 3ea44901-2d7b-4a8b-b93d-94466cf17827 | booking_id: ALC-2025-100017 | customer_id: 143fa2c3-e446-43a1-819c-fc305220f688 | product_id: 4b386b47-c2cf-4c4d-b868-7d0bfb6e06d8 | carrier_id: a1ebc734-4782-448a-be8b-6248250d0b7d | warehouse_id: d626d982-baf5-45f2-9e07-c7ac17f4fc31 | route_id: 8b12ac2f-d5b4-4854-ae24-2a5b352b675f | vehicle_id: c0e181cf-d32c-4546-801e-f25b2d79db92 | customs_id: 0db7510a-ab34-40c7-9c7f-668dbe7e0cf4 | weather_id: 4f519226-8a15-4cff-8fa3-8af7c5f9c45f | booking_date: 2025-03-21 00:00:00 | ship_date: 2025-03-25 00:00:00 | expected_delivery_date: 2025-04-09 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: High | weight_kg: 10569.79 | volume_cbm: 27.47 | declared_value: 136537.27 | insurance: True | fragile: False
shipment_id: f00cca3f-8191-49ab-9441-e8534a7828fa | booking_id: ALC-2025-100018 | customer_id: f43c9cf1-2d7c-4b48-8597-fabdcff52aca | product_id: a8f64b9f-3a6c-4a8c-8bc5-e5cb01d3fa1a | carrier_id: fddcd5b6-049f-4799-8b94-158aa075941a | warehouse_id: c007a87d-7c5c-4bf9-a5b7-ad5f1fcda775 | route_id: dc6609e5-ecfe-431f-a682-53c37c5dd84a | vehicle_id: f5ebcc36-8210-4ca8-9f82-b1cf024dfe18 | customs_id: 32041236-ed54-4b80-bde9-0223a4dd1baf | weather_id: 3153516f-0f18-4452-914b-53ddd6052457 | booking_date: 2025-07-01 00:00:00 | ship_date: 2025-07-05 00:00:00 | expected_delivery_date: 2025-07-10 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: High | weight_kg: 44511.75 | volume_cbm: 56.0 | declared_value: 76300.01 | insurance: False | fragile: True
shipment_id: ceba6c0e-8603-4529-9541-6e0f83ca1b4d | booking_id: ALC-2025-100019 | customer_id: 55015dfa-9d0c-4807-be03-cd0a55d2e9cd | product_id: f7ad553b-57c3-45da-8a7d-78aa72336691 | carrier_id: 112542ef-31b2-4998-8af1-50a02753b20c | warehouse_id: 3a4b8b70-e1cd-4776-a018-c30f205a30c8 | route_id: bf855e8e-243e-425c-aad5-8309416b35df | vehicle_id: e5270c68-bf13-4a89-af79-70303a3e6a89 | customs_id: db8fbd21-abd1-42d5-9f0d-f146a407e4c8 | weather_id: f2799e7d-314e-4032-866a-ef8461a290de | booking_date: 2025-05-20 00:00:00 | ship_date: 2025-05-25 00:00:00 | expected_delivery_date: 2025-06-04 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: High | weight_kg: 4991.44 | volume_cbm: 44.96 | declared_value: 118176.37 | insurance: True | fragile: True
shipment_id: c0d5bad1-7e77-47ec-9993-c00c937b14d2 | booking_id: ALC-2025-100020 | customer_id: 5b730fb2-c97b-45d5-b6d0-2ad5c5467adf | product_id: e50ede6f-e4d6-4887-9e17-1acdb50f8f9b | carrier_id: a9e8d8d7-ff3e-4de5-88aa-fc1edf584c5f | warehouse_id: 16df5cba-79b6-4246-b48a-86464a5c6727 | route_id: 48809065-6208-4115-8ff5-834b5760a84a | vehicle_id: 2bb496b2-d33f-4ec8-9cba-344cadad5b3f | customs_id: 45c6b3d7-5534-4a01-b916-588cb8ddb7f8 | weather_id: e1367348-3ea6-4929-98be-3879279a1d8e | booking_date: 2025-10-19 00:00:00 | ship_date: 2025-10-24 00:00:00 | expected_delivery_date: 2025-11-13 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 24583.02 | volume_cbm: 20.81 | declared_value: 177345.77 | insurance: True | fragile: False
shipment_id: 6360b19c-ca79-450a-b40c-1a8c5da9f710 | booking_id: ALC-2025-100021 | customer_id: e1dcc574-2d0c-40b0-9295-4beffd9db988 | product_id: 88d84624-c9b3-4c0a-927f-4fc591d02a95 | carrier_id: f0ddc7a2-2d8f-48a5-9348-f6f49494060a | warehouse_id: 3e4a3e05-1f12-4206-b554-99d8cdf03206 | route_id: 28ea8903-8451-4e26-8c2e-83405a568b84 | vehicle_id: 584a800e-c6ca-4a78-b28f-4d166a445342 | customs_id: 4b711601-c1c4-439b-8b35-09860739a6da | weather_id: 274c6a7c-ab60-4b3f-93dd-63fba43e5d02 | booking_date: 2025-04-21 00:00:00 | ship_date: 2025-04-22 00:00:00 | expected_delivery_date: 2025-05-06 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: High | weight_kg: 5997.55 | volume_cbm: 37.2 | declared_value: 105342.3 | insurance: False | fragile: True
shipment_id: d5fa79d0-4747-484f-a2f9-bd89e7ba0222 | booking_id: ALC-2025-100022 | customer_id: 810f2c5c-471b-4f1f-aae9-c32adee4d52f | product_id: 3dee24fa-933c-4247-8368-505052bf2a20 | carrier_id: bbe69323-d278-448a-be75-ee2f3af63ff3 | warehouse_id: c596e389-bb82-43a3-9861-51f58578da8b | route_id: a1555ab6-01a9-42db-a3f8-6892e7c31546 | vehicle_id: 2f673178-157c-4caf-a937-2ff28cded296 | customs_id: 0215a2de-f007-47c4-a978-814148685941 | weather_id: 088d8564-ba95-489d-b34f-b196366e047b | booking_date: 2025-03-11 00:00:00 | ship_date: 2025-03-19 00:00:00 | expected_delivery_date: 2025-03-27 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: Normal | weight_kg: 40759.04 | volume_cbm: 24.87 | declared_value: 208660.5 | insurance: False | fragile: False
shipment_id: 66da8ae7-0799-4db5-a7e3-41587b2158bd | booking_id: ALC-2025-100023 | customer_id: 9d8340f4-1b71-4a32-960f-8d2c641b268b | product_id: 489aaf94-407c-4881-93c7-859fb25d7bca | carrier_id: 0ef2a0d3-cc50-48f9-a6f7-61bc75d4910e | warehouse_id: eb0d23fc-5b25-484e-9421-ab76929daa69 | route_id: b294099e-474d-4dec-b1b4-44805bf4b2cf | vehicle_id: dd949a9a-b333-48cd-8905-a962b46d5d98 | customs_id: bbd4cdd0-b1e4-438c-bdb1-3ecc70e8213c | weather_id: 3e09d169-311b-45dd-adfb-04672ba028f5 | booking_date: 2025-11-01 00:00:00 | ship_date: 2025-11-09 00:00:00 | expected_delivery_date: 2025-11-19 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 5187.0 | volume_cbm: 20.94 | declared_value: 136625.96 | insurance: False | fragile: True
shipment_id: 7c9c0f2b-dde6-4eb9-ac7b-7613ec28c744 | booking_id: ALC-2025-100024 | customer_id: c4908bcc-fb7d-43f1-99d8-c7290aa883d9 | product_id: d63e94a6-f03c-412a-9496-b4019ae671d8 | carrier_id: 76102f0b-0375-452a-9bbb-a712140a99b3 | warehouse_id: 0e36e084-9841-440c-b924-9f831057d865 | route_id: e8f17c95-21f5-4f25-8478-2c351f42ebeb | vehicle_id: d6b388c2-b4a5-4c95-b1e0-4788e783c9df | customs_id: 1bea7ed7-db14-442a-8b3f-e067159a40fe | weather_id: 2e850b2c-7527-48b8-a76d-dd9f1161b366 | booking_date: 2025-12-16 00:00:00 | ship_date: 2025-12-25 00:00:00 | expected_delivery_date: 2026-01-11 00:00:00 | shipping_mode: Rail | shipment_type: Import | priority: Normal | weight_kg: 22637.33 | volume_cbm: 12.86 | declared_value: 70644.24 | insurance: True | fragile: True
shipment_id: 25cd962f-8773-4c20-9037-5e61103c10bb | booking_id: ALC-2025-100025 | customer_id: 5d4bc6a4-c8cb-4c4b-a235-bc348913a895 | product_id: a1d399d0-7dae-4d5d-a13a-ecc53cf0a390 | carrier_id: 78b317f1-7598-4a24-9988-40c7d0ecf57e | warehouse_id: 89d9d69a-aebc-4583-ab55-bff671397df3 | route_id: 45bdf424-9c13-4204-acbc-ad97d781f242 | vehicle_id: 35364c03-283d-4dab-94ef-c48039225855 | customs_id: a3c490c5-8a32-498d-a57c-74eaaddb69f0 | weather_id: f2653722-8f5e-4f5d-a5e8-652600f5e4c1 | booking_date: 2025-07-18 00:00:00 | ship_date: 2025-07-28 00:00:00 | expected_delivery_date: 2025-08-05 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 1745.6 | volume_cbm: 41.56 | declared_value: 37471.37 | insurance: True | fragile: False
shipment_id: 75c53893-28b0-45be-9002-3e92f9ef35fe | booking_id: ALC-2026-100026 | customer_id: 077eab70-bb47-497a-b28c-4bf0f412a496 | product_id: 3c96a665-2e97-47cb-abc4-943887f02ec4 | carrier_id: eec7378a-b35c-4e54-9fc7-5d5e2cb0df2f | warehouse_id: 79c7df97-bc66-496e-bdec-ffd042282842 | route_id: 300be267-c96d-4a27-9942-70ed2a6cb561 | vehicle_id: 4f2e1bec-e21a-4611-a5a7-4b0544396929 | customs_id: 29269558-16a6-434f-aec8-b9ee06c4d84f | weather_id: c9dfa100-f940-4bf2-a4da-d1160c530abf | booking_date: 2026-01-21 00:00:00 | ship_date: 2026-01-29 00:00:00 | expected_delivery_date: 2026-02-10 00:00:00 | shipping_mode: Air | shipment_type: Import | priority: High | weight_kg: 3583.66 | volume_cbm: 56.85 | declared_value: 99528.95 | insurance: True | fragile: False
shipment_id: d11529e1-5c7f-40fc-b991-ce8c93690393 | booking_id: ALC-2026-100027 | customer_id: ccd84fc7-4a4d-4be8-b1d7-512ce6268353 | product_id: 5df98938-6a2a-461f-8295-dbd71932b03d | carrier_id: 7972f517-c144-4da6-947c-fa9c3e1459d1 | warehouse_id: bbe9eade-3d79-4aac-9477-a024d3424d81 | route_id: a123e955-74c0-4634-b6a5-8b20ff5e094d | vehicle_id: fffcd942-c214-4826-a62a-1a05f32e23dd | customs_id: 9eb22ec2-0d50-444c-b817-0051319b4f90 | weather_id: 25b1a11e-0866-4ae4-8955-038e933b80b8 | booking_date: 2026-01-29 00:00:00 | ship_date: 2026-02-03 00:00:00 | expected_delivery_date: 2026-02-13 00:00:00 | shipping_mode: Road | shipment_type: Import | priority: High | weight_kg: 17928.24 | volume_cbm: 70.9 | declared_value: 195218.74 | insurance: True | fragile: False
shipment_id: 8e195477-b47a-43b5-aee2-ae6eae252d1b | booking_id: ALC-2025-100028 | customer_id: 9edb899d-991e-4148-8464-76c1137d66b2 | product_id: f4a32ca5-6c8c-4f2c-a0d2-6e3cea0e9cf3 | carrier_id: 3e8e96df-0b86-42d8-beba-c238a170a937 | warehouse_id: f679305d-1086-4038-89a9-46dae80afca9 | route_id: 865517c4-ae18-433d-9f32-877fff462a88 | vehicle_id: 94633df8-a000-43ee-9764-45c04a83a722 | customs_id: 9640e59c-bbb4-46d4-b1d8-be2e204150a3 | weather_id: 086c3e31-0994-491a-95fd-9dc1a30a5e05 | booking_date: 2025-08-15 00:00:00 | ship_date: 2025-08-16 00:00:00 | expected_delivery_date: 2025-08-24 00:00:00 | shipping_mode: Sea | shipment_type: Import | priority: Normal | weight_kg: 8566.8 | volume_cbm: 44.47 | declared_value: 16205.83 | insurance: True | fragile: False
