Sheet Name: Shipment_Delivery_History

history_id: 09a35845-c050-47bf-badb-06bc4fb95131 | shipment_id: 5fd50c5c-973f-43bc-a629-06e4b5cd541b | actual_delivery_date: 2026-01-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 1fd2ac62-b503-4cf8-b66b-82b53f2b803a | shipment_id: 780270c0-a7e2-4ac1-a62d-b9040b3a11bb | actual_delivery_date: 2025-03-03 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: 5c9269ab-39da-4230-b261-0f14922373a3 | shipment_id: ea76f869-1f9d-43e9-9684-95e644434ab5 | actual_delivery_date: 2025-07-02 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: adce95e9-e186-4a1d-a051-f4b8930edfe6 | shipment_id: e7e53f76-9c14-4422-af6b-a831187c2ea7 | actual_delivery_date: 2025-02-19 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: b0aa9792-180a-455e-81a0-2152ed562324 | shipment_id: 103b51ba-50c7-41ba-a79c-850e5c583c38 | actual_delivery_date: 2025-04-20 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: c4b9ca5e-a6af-46e6-b7a8-d32ddc056ffe | shipment_id: 3ea44901-2d7b-4a8b-b93d-94466cf17827 | actual_delivery_date: 2025-04-09 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 43759aa8-47b2-4f98-acd4-e9e619c60b23 | shipment_id: f00cca3f-8191-49ab-9441-e8534a7828fa | actual_delivery_date: 2025-07-11 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 7825ea7b-f109-4627-ad4b-eac50fd3d005 | shipment_id: ceba6c0e-8603-4529-9541-6e0f83ca1b4d | actual_delivery_date: 2025-06-04 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 3358e0c1-e222-42a2-b43a-1ec4d875779a | shipment_id: c0d5bad1-7e77-47ec-9993-c00c937b14d2 | actual_delivery_date: 2025-11-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 03c9a85e-bfe5-429e-9179-0c7667bb48a9 | shipment_id: 6360b19c-ca79-450a-b40c-1a8c5da9f710 | actual_delivery_date: 2025-05-05 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 48658b77-4a20-4a96-82bb-aca3d39a6bde | shipment_id: d5fa79d0-4747-484f-a2f9-bd89e7ba0222 | actual_delivery_date: 2025-03-28 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: a273bc55-06f7-48ee-ba27-829f827bb714 | shipment_id: 66da8ae7-0799-4db5-a7e3-41587b2158bd | actual_delivery_date: 2025-11-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 41da8110-a7fc-4038-8a58-2143c6278027 | shipment_id: 7c9c0f2b-dde6-4eb9-ac7b-7613ec28c744 | actual_delivery_date: 2026-01-11 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 2fec1b0f-2050-4c89-aef4-9ddf197e6e95 | shipment_id: 25cd962f-8773-4c20-9037-5e61103c10bb | actual_delivery_date: 2025-08-06 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: b95b48c9-b901-4dac-a910-ea05b59f2309 | shipment_id: 75c53893-28b0-45be-9002-3e92f9ef35fe | actual_delivery_date: 2026-02-11 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: f3ce2dd9-34d6-4653-832a-9b3bac5c7419 | shipment_id: d11529e1-5c7f-40fc-b991-ce8c93690393 | actual_delivery_date: 2026-02-12 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 56708c25-ecdd-4efe-9974-a5cf484e8869 | shipment_id: 8e195477-b47a-43b5-aee2-ae6eae252d1b | actual_delivery_date: 2025-08-23 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: d62b3650-c3df-40a5-b6a1-236cfd46789d | shipment_id: 758f238c-3a26-41ba-95da-95105b09554a | actual_delivery_date: 2025-07-11 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 19c4e4a6-58e5-4840-bd7f-5e60310d5276 | shipment_id: dbdb1359-37c2-4acf-b855-1c7940b8a61f | actual_delivery_date: 2026-01-28 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: c34278da-ce81-446c-83fd-b5c75caff739 | shipment_id: 4bd56ae1-e29e-4c5f-9020-8e22810b3a3e | actual_delivery_date: 2025-05-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 3c3ae6d1-6c7b-48e4-b3e1-21ec28832e42 | shipment_id: f9a5e338-612b-4277-b3e5-b217f5052b69 | actual_delivery_date: 2025-06-10 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 3f4d20bc-76db-4d79-844c-962a90f4d592 | shipment_id: 59c91d80-c10b-4ab9-a42f-6cca9997e1e2 | actual_delivery_date: 2026-01-27 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: da5d2260-dce2-4a2c-9259-a7d810b283b3 | shipment_id: 69f82d20-3011-42d2-b151-436ec9afbbbf | actual_delivery_date: 2025-03-11 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: bb5b50a8-dafe-46bf-993b-9ede80498372 | shipment_id: f2a2bec3-4db3-42a5-add3-99d1bbbe8df2 | actual_delivery_date: 2025-03-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 0aea339d-89f3-44c4-80e4-950a5e2b2715 | shipment_id: 7b48b5fa-3361-4369-b045-89bb5577482f | actual_delivery_date: 2025-03-01 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 9ad600ed-a296-46a9-8b81-008ef62a095d | shipment_id: a0de7924-4f0a-41d0-9903-b102730aca78 | actual_delivery_date: 2026-02-01 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: 561a3170-c5e9-46d3-8526-aaeef33e2425 | shipment_id: d952f5ba-ce31-4a85-aedf-2e6c78bf7729 | actual_delivery_date: 2026-04-15 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: 96763530-eae0-45ad-a2c2-dab4ec4c081a | shipment_id: e25e4fab-e213-4df1-847a-d9a004b6c672 | actual_delivery_date: 2025-08-20 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 5682c1b0-733f-45e7-8102-4754276336a9 | shipment_id: 1f111f2c-da6c-4341-b355-9ee0aadfeb06 | actual_delivery_date: 2025-11-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 97331eb9-f1f6-458c-a157-442dcbfb45a3 | shipment_id: a2855800-6d8c-453d-9b65-6172d17010ac | actual_delivery_date: 2025-12-25 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 3125ed5d-c45c-4dbe-95e3-15153a8133f4 | shipment_id: 3917879e-5ac6-4ddd-99bc-9888f03a0e9e | actual_delivery_date: 2025-04-16 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 95d3a007-692e-4ca0-b54d-8e055a58cfad | shipment_id: 7d02e36e-a619-44c1-a66b-aaa5a0cb18d4 | actual_delivery_date: 2025-09-22 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 60cfdf7d-a31e-4dda-9bb2-c4c31bac4e02 | shipment_id: 68e4edc0-29c1-4988-9448-356081077627 | actual_delivery_date: 2025-05-04 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: f213ad90-b474-416f-8802-d678702348cf | shipment_id: 170afafb-872d-4662-9f14-b4987f59e842 | actual_delivery_date: 2025-04-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: f850e957-de5a-41db-a293-b8536f45ae57 | shipment_id: 7074da33-fe68-4549-bf89-24cdfef3d491 | actual_delivery_date: 2026-01-20 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 1ab9a70b-5231-4d15-9779-aead5194848f | shipment_id: 3a3293bd-2446-4e5e-b733-51b076974f5b | actual_delivery_date: 2026-04-06 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 396ce3d1-b96e-4fff-b396-1ed54d155c6f | shipment_id: 4e9dabde-0ac6-4be4-a6aa-5cc697494340 | actual_delivery_date: 2025-07-22 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 28ff13b5-8afb-45ee-8db7-065ba9b1b49f | shipment_id: 98324d21-e12f-4343-bb39-032e88fe450c | actual_delivery_date: 2025-11-13 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: c028662c-5f85-4dc3-a607-1d0ea4cb9743 | shipment_id: 88b6ab28-a0b3-46e9-8ccc-f58591f82d81 | actual_delivery_date: 2026-04-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 8aa3fddf-4646-41c0-9666-f02e03ee4407 | shipment_id: b3b913a6-8ff0-4ee2-8721-f893c7da1009 | actual_delivery_date: 2025-08-01 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: f5d04781-00b3-4e6a-8ccf-a90a448642ff | shipment_id: 699f3484-2724-4b99-ac15-3906aba97694 | actual_delivery_date: 2026-03-22 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: a298d720-8047-4e91-a994-361e6982d34c | shipment_id: ff7e3bb6-2076-4867-9636-6f913b44a651 | actual_delivery_date: 2025-06-01 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: f1bb8101-87b2-45c4-bc84-ddb46197683a | shipment_id: b0a5ff2b-f3bf-451b-8ee6-e857d16f3cb6 | actual_delivery_date: 2025-01-19 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 9280ce1a-25c9-4644-a594-1064978e243d | shipment_id: 4dbfd38b-cee2-4a3f-a804-52da0a988559 | actual_delivery_date: 2025-05-14 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 71989e12-67bd-42c5-be96-c4a973175d32 | shipment_id: 847a9bf6-9ae6-4534-a200-b959e160efb4 | actual_delivery_date: 2026-04-07 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 2cbc76e1-7e67-4b8a-a562-be0d48a8d7fe | shipment_id: ecec55c9-5d3b-4ba1-ab82-666d094926d6 | actual_delivery_date: 2025-01-22 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: c9524c6a-5285-4f12-8bfd-e3007ad0614f | shipment_id: 2faafcde-f35e-46e8-b280-c466737f1482 | actual_delivery_date: 2025-11-17 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: d9b89c9b-888a-4707-be22-758b57fe1e1d | shipment_id: cc4c4a90-28dc-47b2-9ab6-ce35bec68d7f | actual_delivery_date: 2026-02-21 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 8f14bd6a-2876-4bd7-b520-b8038d3ab368 | shipment_id: 744ed46c-295d-4390-9caa-093ca2495fab | actual_delivery_date: 2025-05-14 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: c2d8556c-ca5f-4cc6-9002-0ce82c47f5a0 | shipment_id: 2578b7ee-86ca-4958-bf98-2d545f7ddcf8 | actual_delivery_date: 2025-06-29 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: c6d17f8f-24ce-4e86-a785-bd5d2628a0b9 | shipment_id: 70c23394-2977-4cb4-934c-d4030f5bc6e3 | actual_delivery_date: 2025-10-07 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 460a0bf6-68e0-4571-be6b-b61710170129 | shipment_id: 715136db-3320-40a5-86f5-0bfd263bf377 | actual_delivery_date: 2025-11-07 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: e0d87669-60a4-43ad-ae7b-6c7184bf711f | shipment_id: cb9bebd6-fcb6-4013-96ae-edcc47a6b371 | actual_delivery_date: 2025-02-02 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 6c3a4d12-f4d5-411d-a198-040f6549f3ba | shipment_id: f3de0f6d-532f-4411-873e-efa5a84d38b8 | actual_delivery_date: 2025-05-05 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: e8cd9689-403a-4d36-b45b-368a1f1de4a5 | shipment_id: f41b5733-7e43-4a47-a9f7-0657177811bf | actual_delivery_date: 2025-03-17 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 96de9b55-f9a9-42a0-99b7-c89a12c41c87 | shipment_id: 8f3dbd71-f84c-4307-84bf-5ae2671ddeb4 | actual_delivery_date: 2026-03-15 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 877ae791-cf77-46be-950d-1f537fa4e878 | shipment_id: ff2d7e0d-fb4e-4f13-a7ec-c7ed28e25dff | actual_delivery_date: 2025-09-23 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: b23bc0e5-8539-4c5e-8cac-038fe3770625 | shipment_id: 24f8a30d-e315-4d56-b7ea-f554a2304c7b | actual_delivery_date: 2026-01-08 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: aa8c7a94-550c-4600-b812-189209971d7c | shipment_id: 7952cdbe-1975-4e37-b276-5dec6efd27e4 | actual_delivery_date: 2026-03-15 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 37f14649-16e3-436f-ad01-003273e5108e | shipment_id: fecbed5d-64fa-405c-9757-f0bd01463311 | actual_delivery_date: 2025-11-19 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 15d9bd6f-bad5-4505-b77f-86c2a3bd1789 | shipment_id: c7572819-1b8e-4dec-a323-4839f35b9d57 | actual_delivery_date: 2025-07-03 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 25abade4-8e07-41ed-acd4-01fca20b60f0 | shipment_id: 6887de15-06ee-4673-ba72-e2cc7e3ec8cf | actual_delivery_date: 2026-03-09 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 10c6d966-3750-488b-886b-bdbb22c4e618 | shipment_id: a740adba-3b5f-4cb3-903d-2ad8fb7293fe | actual_delivery_date: 2025-08-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: a88f6563-3047-4013-9e6d-13e4351d523e | shipment_id: 9621f665-d763-42dd-acc2-43a9d45b5cb5 | actual_delivery_date: 2025-12-22 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 4cc4cb17-e824-4e70-88d6-f0d57c6c1dd6 | shipment_id: 9f01265b-4a54-4451-973b-73cf77b988ab | actual_delivery_date: 2026-04-06 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: dc3444b5-aed1-411a-9027-30b58775e9fa | shipment_id: 73a57c86-a9b9-4415-add9-d514ddacbb83 | actual_delivery_date: 2026-03-09 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 03c05be1-85cf-4bda-8c91-0ce304b518d7 | shipment_id: 282d71aa-3f2e-4673-9325-e12dd9930501 | actual_delivery_date: 2025-06-15 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 0e475fe2-637d-4bea-9c2d-f5f106583737 | shipment_id: 1d103414-954f-4eba-9cca-3513d94f185b | actual_delivery_date: 2025-07-23 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 6f9fbb07-1210-4744-8f7e-31307902cdfb | shipment_id: 8f6bb357-8979-420d-b34f-021754181e92 | actual_delivery_date: 2025-11-18 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 1302dfc1-2b11-4100-a240-31b6fb611ae4 | shipment_id: 735690b6-08fd-4795-9d92-42a02cd6cf39 | actual_delivery_date: 2025-08-03 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 8db9e1c0-5153-4893-8cd4-82f5ec2313ae | shipment_id: f4e4049b-62b8-4ed4-90ce-e4593cefc39a | actual_delivery_date: 2025-09-11 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 9f1f45fd-45ce-4def-8954-8fb19bc324fd | shipment_id: 2137e0c0-358f-46ba-8062-8a5d333fc4aa | actual_delivery_date: 2025-12-13 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: 7ac448f9-c060-442a-a9ec-50dce98f4890 | shipment_id: 77042492-10e8-4d2f-98df-681e827902fc | actual_delivery_date: 2025-06-15 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 8c69b6d8-896f-40b7-984c-8bd2a4851323 | shipment_id: b3df8660-9386-411a-8547-4d3aa2327473 | actual_delivery_date: 2025-08-01 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 9e10f452-9f3a-4a7d-b9d5-a75210e590a4 | shipment_id: 5b7b4264-dd7b-4b95-a6cf-6b0534504fdc | actual_delivery_date: 2026-02-26 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 7c0805f8-3772-434c-9588-d6efae7be8c0 | shipment_id: 4c163820-db8e-40e7-b7ec-8ec7c84e0af0 | actual_delivery_date: 2026-04-03 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 54d779b4-bfae-41bb-b95c-be37fd14fdb8 | shipment_id: b98d371b-37ca-4137-8fbf-74297c62edb8 | actual_delivery_date: 2025-07-16 00:00:00 | delivery_status: Delayed | delivery_attempts: 1
history_id: ae887368-d23b-4db1-8225-6c429172ca42 | shipment_id: 61c84b62-78ef-4cb7-a663-f39043b6932b | actual_delivery_date: 2026-03-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: e2122577-8b7f-4767-b53b-d04bf3081109 | shipment_id: bb911ae9-ce71-4182-9d66-60903a146a66 | actual_delivery_date: 2026-01-30 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: fd59e5d9-5394-4538-bedb-4404ef7ae39c | shipment_id: 62440e07-623a-4a0f-833b-be39b3b87021 | actual_delivery_date: 2025-01-16 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 6503beaf-29b6-4abc-bb77-672c41810c55 | shipment_id: 6e6e339e-c6fc-4c9b-88d2-b583ab68123f | actual_delivery_date: 2026-04-04 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 4453e97b-0d2e-46c0-8d54-e98970cee66c | shipment_id: 19e1f6c3-cc16-47c5-afa2-67a112dc38b9 | actual_delivery_date: 2025-10-28 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: a0385f00-197b-4735-995f-5eb6ddd694b9 | shipment_id: 22ce524a-bee2-455c-8e32-7b1d10ffb469 | actual_delivery_date: 2025-06-13 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 3f11b228-26a2-4a5f-8450-9e99649f41a8 | shipment_id: 0e1a2bc7-02b3-45c2-b4fa-7bf984f619b1 | actual_delivery_date: 2025-12-10 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: bd33cb21-ae6d-4a58-8f22-6f4991396ae6 | shipment_id: 050211cd-c661-4952-8bd5-88be9a5947f0 | actual_delivery_date: 2025-08-31 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 054fb10e-c50a-4d71-86dc-ea6ab64df822 | shipment_id: 897ca402-b3fa-44c8-ac47-87e5d94f2df1 | actual_delivery_date: 2025-03-07 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: fd293bae-2bca-47cf-95b2-b76ba26af6af | shipment_id: cc75ce93-bd4c-405f-82d7-e5d1a1db1036 | actual_delivery_date: 2025-12-01 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: a71115dd-743e-4c6b-bc0f-dcd8cc286903 | shipment_id: f85c2b57-af91-46df-945d-4b6e3bacb5b0 | actual_delivery_date: 2025-12-31 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: c6a3218f-81e1-408d-afe2-388a2f219ba3 | shipment_id: 86c656b4-62ff-41a2-9ea9-91c840773779 | actual_delivery_date: 2025-09-25 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 9ac22445-c221-460c-a1bb-5a3e0c8d3f1e | shipment_id: 36f4b0ad-ce62-4763-a14a-e9d85da9f38c | actual_delivery_date: 2026-01-28 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: b2cb24d0-7e6f-49a1-911e-583849da9df0 | shipment_id: eccc4c47-7691-4b51-9faf-9d1d84d4e107 | actual_delivery_date: 2025-01-14 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 1ed2fc8d-e807-459d-af64-68ef5683d880 | shipment_id: 6ffe957b-b09f-477e-a1cc-1da110d7237d | actual_delivery_date: 2025-11-26 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: fdac8e9b-6bf7-4059-9e5c-5a25fe423844 | shipment_id: efc80eed-fe4e-4694-969b-03a59afce486 | actual_delivery_date: 2025-06-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: f6baa33f-1217-4cdd-93ee-4a68966b1ddd | shipment_id: 1d366930-792b-4b94-99a9-ba38ba5e96d4 | actual_delivery_date: 2026-01-02 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 699bd7b8-3aa7-43e6-a6d2-8bf91e0bcb33 | shipment_id: 41493121-5cc7-4f47-94e9-1139e7b5a6b5 | actual_delivery_date: 2025-11-26 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 21d252ee-30cc-4a49-9bfa-23cf0be5a0c9 | shipment_id: 9d23603f-94c8-4e46-8d5f-e20d9a6b81cc | actual_delivery_date: 2026-01-11 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 457c4d92-83af-472c-8848-fa88a0aba64c | shipment_id: 844b2602-5314-47e6-bb1a-bfeee14931f8 | actual_delivery_date: 2025-12-06 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: ba7e081c-e79f-4acd-aa89-55b3777a32ab | shipment_id: 16cca165-c838-440a-9dca-556dc15aad9d | actual_delivery_date: 2025-06-03 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: 118d5bce-da2d-4100-97c3-da86967f822a | shipment_id: 39932988-054d-4910-9304-0746b1b12914 | actual_delivery_date: 2025-08-11 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 288642e9-b689-434a-9c9c-05ba1e64814d | shipment_id: 26a95fdf-ddef-4105-972a-426238762004 | actual_delivery_date: 2025-10-02 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: c77187ad-fd71-4d5b-a354-982a00741a49 | shipment_id: bbf71d98-b9e8-4987-9312-6b84917c2a1f | actual_delivery_date: 2025-05-22 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: 0c5eeffe-4bac-496f-b8fd-2580e18b5cb4 | shipment_id: a4144a91-be27-45ba-8bb8-acca81536150 | actual_delivery_date: 2025-01-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: c5a94b97-1846-45bc-a6f1-000db5ad53c6 | shipment_id: 48ff7a38-a5ed-45a3-9586-c226fc40e789 | actual_delivery_date: 2025-06-09 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: bc7c7488-2b3a-497a-a882-b6b09f9e93e4 | shipment_id: 7d56b23f-e62c-4d4d-a38f-b00c5c106245 | actual_delivery_date: 2026-01-09 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 97a3f310-8f9d-468e-82c0-e629bb3c01e8 | shipment_id: a313eaf1-7a32-4876-bad6-62663df8774d | actual_delivery_date: 2025-10-12 00:00:00 | delivery_status: Delayed | delivery_attempts: 2
history_id: 43fd0db8-e40f-4d63-9d3f-3bb18cc1e546 | shipment_id: 50d18249-69d5-4860-8f62-af4c2c195077 | actual_delivery_date: 2025-05-27 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
history_id: f2f3ed36-b8c4-4a94-b948-69aace263fd9 | shipment_id: 0debc6eb-f0bc-440c-8c95-1c15758a8f5f | actual_delivery_date: 2025-09-08 00:00:00 | delivery_status: Delivered | delivery_attempts: 2
history_id: a838e543-4701-43ad-a8d6-a111b2b83449 | shipment_id: 223dabe5-8aa6-42c4-b44a-070d0123c8a5 | actual_delivery_date: 2025-12-20 00:00:00 | delivery_status: Delayed | delivery_attempts: 3
history_id: 763cb342-d1c8-43ec-9e92-f31bbdca78be | shipment_id: f6c3fdc5-9b4f-490d-a76b-3dcb566333b7 | actual_delivery_date: 2026-02-04 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 4f35cab7-c49c-4d48-8e9e-c607248c3f36 | shipment_id: 19439d31-1c90-42d8-81e7-ff163ca7bfbf | actual_delivery_date: 2025-08-29 00:00:00 | delivery_status: Delivered | delivery_attempts: 1
history_id: 7418b571-5fb8-4d48-acda-e2da5ae0259a | shipment_id: 7d306728-54a9-40ae-a160-97f73e0ff2c4 | actual_delivery_date: 2025-08-25 00:00:00 | delivery_status: Delayed | delivery_attempts: 4
