Sheet Name: Products

product_id: 0a132cf3-2a67-4087-aff9-d11d19a61cac | product_name: Furniture SKU-10000 | category: Furniture | hs_code: 9403.28 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 623.92 | supplier_name: Nova Suppliers
product_id: d9942086-8c77-4d90-8e5e-a6c1da3c0289 | product_name: Electronics SKU-10011 | category: Electronics | hs_code: 8517.92 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 718.72 | supplier_name: Summit Suppliers
product_id: d7f8a556-c24d-40e0-a78d-ce682aa50314 | product_name: Textiles SKU-10012 | category: Textiles | hs_code: 6204.26 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 676.53 | supplier_name: Unity Suppliers
product_id: 832ee5b5-5fdb-41d3-83da-89101e75d9d5 | product_name: Chemicals SKU-10013 | category: Chemicals | hs_code: 3824.97 | hazardous: True | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 17.96 | supplier_name: Metro Suppliers
product_id: 78cd692f-961b-4d01-a961-dc97429ebaf6 | product_name: Furniture SKU-10014 | category: Furniture | hs_code: 9403.27 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 787.54 | supplier_name: Summit Suppliers
product_id: 4d912065-6b09-4bef-823d-cf2aab7089ac | product_name: Food SKU-10015 | category: Food | hs_code: 2106.25 | hazardous: False | perishable: False | temperature_controlled: True | fragile: False | weight_per_unit: 143.74 | supplier_name: Nova Suppliers
product_id: d4be9e7d-94e7-4460-a1d4-97dad4d5c583 | product_name: Electronics SKU-10016 | category: Electronics | hs_code: 8517.24 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 385.37 | supplier_name: Summit Suppliers
product_id: 3d99a841-64e6-4cbe-ac8c-c0a00707335b | product_name: Consumer Goods SKU-10017 | category: Consumer Goods | hs_code: 3926.22 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 77.86 | supplier_name: Pacific Suppliers
product_id: 41fdcb7c-ecff-4bc9-afb9-38f23da751eb | product_name: Automotive Parts SKU-10018 | category: Automotive Parts | hs_code: 8708.64 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 312.39 | supplier_name: Pacific Suppliers
product_id: 7bd6c760-0c1d-4a27-9639-5e1ff757b0cf | product_name: Machinery SKU-10019 | category: Machinery | hs_code: 8479.25 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 593.88 | supplier_name: Eastern Suppliers
product_id: 8c3cebfa-0c1d-40e0-8a24-2945c9adacac | product_name: Medical Devices SKU-10020 | category: Medical Devices | hs_code: 9018.32 | hazardous: False | perishable: False | temperature_controlled: True | fragile: True | weight_per_unit: 588.88 | supplier_name: Summit Suppliers
product_id: fb3388da-7605-4978-9921-7b1b5b28bf3e | product_name: Chemicals SKU-10021 | category: Chemicals | hs_code: 3824.17 | hazardous: True | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 95.16 | supplier_name: Metro Suppliers
product_id: 3bc58482-e709-4e06-984c-94be6d93562c | product_name: Chemicals SKU-10022 | category: Chemicals | hs_code: 3824.51 | hazardous: True | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 259.22 | supplier_name: Unity Suppliers
product_id: 20f25a25-65ac-4d51-aab1-e6f7be7fef13 | product_name: Chemicals SKU-10023 | category: Chemicals | hs_code: 3824.57 | hazardous: True | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 684.51 | supplier_name: Unity Suppliers
product_id: 6612773d-19a6-457f-b447-36443c824418 | product_name: Automotive Parts SKU-10024 | category: Automotive Parts | hs_code: 8708.88 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 642.69 | supplier_name: Summit Suppliers
product_id: 2bebbd86-de94-4993-99c2-93e6e4df61b7 | product_name: Machinery SKU-10025 | category: Machinery | hs_code: 8479.12 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 81.54 | supplier_name: Eastern Suppliers
product_id: 301999a4-cca5-4f2e-8661-3d0170d442d5 | product_name: Chemicals SKU-10026 | category: Chemicals | hs_code: 3824.51 | hazardous: True | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 637.95 | supplier_name: Summit Suppliers
product_id: 16d39d5a-2dc6-4d8d-be29-da40efa24de4 | product_name: Medical Devices SKU-10027 | category: Medical Devices | hs_code: 9018.59 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 597.07 | supplier_name: Summit Suppliers
product_id: 6ae3aebc-d2a8-402f-bb9b-407877613045 | product_name: Medical Devices SKU-10028 | category: Medical Devices | hs_code: 9018.95 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 276.55 | supplier_name: Pacific Suppliers
product_id: 1f0fbfb8-1ea6-499e-b75f-601eb639541a | product_name: Consumer Goods SKU-10029 | category: Consumer Goods | hs_code: 3926.53 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 322.8 | supplier_name: Eastern Suppliers
product_id: b4c550b1-e3ed-4d11-81ec-389a7028cdd1 | product_name: Electronics SKU-10030 | category: Electronics | hs_code: 8517.2 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 475.46 | supplier_name: Eastern Suppliers
product_id: 486fea81-feb5-4952-9f20-b1e83aaec456 | product_name: Furniture SKU-10031 | category: Furniture | hs_code: 9403.88 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 221.58 | supplier_name: Eastern Suppliers
product_id: 7eb8c187-3037-4951-9043-169245b24a89 | product_name: Medical Devices SKU-10032 | category: Medical Devices | hs_code: 9018.92 | hazardous: False | perishable: False | temperature_controlled: True | fragile: True | weight_per_unit: 371.14 | supplier_name: Nova Suppliers
product_id: 52f8c70e-666e-4c3d-81dd-126886deec73 | product_name: Machinery SKU-10033 | category: Machinery | hs_code: 8479.18 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 7.85 | supplier_name: Unity Suppliers
product_id: 5e4e4e8b-16c1-4fbb-9650-d53203e6e281 | product_name: Electronics SKU-10034 | category: Electronics | hs_code: 8517.31 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 97.25 | supplier_name: Metro Suppliers
product_id: 9dbc48df-2cef-4414-af21-af1dd45fe445 | product_name: Textiles SKU-10035 | category: Textiles | hs_code: 6204.94 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 453.97 | supplier_name: Metro Suppliers
product_id: a4b8df5b-55a1-4024-bb56-3d2a9fa59d64 | product_name: Machinery SKU-10036 | category: Machinery | hs_code: 8479.48 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 841.82 | supplier_name: Nova Suppliers
product_id: 2118697c-c67d-47ee-a512-7c41b9e52b4a | product_name: Textiles SKU-10037 | category: Textiles | hs_code: 6204.19 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 677.5 | supplier_name: Eastern Suppliers
product_id: 82b0146b-58dc-43f2-acf9-460f2c1744d9 | product_name: Chemicals SKU-10038 | category: Chemicals | hs_code: 3824.88 | hazardous: True | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 787.75 | supplier_name: Pacific Suppliers
product_id: 5b1bc581-1e95-49ac-b4cd-9c4dba0da5d3 | product_name: Furniture SKU-10039 | category: Furniture | hs_code: 9403.12 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 223.79 | supplier_name: Metro Suppliers
product_id: 9d525f5e-e137-4990-bf52-e488d3cefb94 | product_name: Machinery SKU-10040 | category: Machinery | hs_code: 8479.61 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 812.01 | supplier_name: Metro Suppliers
product_id: 98a8ceac-ed6b-47e6-91cd-5dafebf7d53b | product_name: Food SKU-10041 | category: Food | hs_code: 2106.44 | hazardous: False | perishable: True | temperature_controlled: False | fragile: False | weight_per_unit: 618.46 | supplier_name: Unity Suppliers
product_id: 0b6d1f4f-641c-4b20-b7e2-13f2c61b0522 | product_name: Chemicals SKU-10042 | category: Chemicals | hs_code: 3824.49 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 576.62 | supplier_name: Eastern Suppliers
product_id: 7d1ad965-c119-433c-8965-8f98b68be8f7 | product_name: Furniture SKU-10043 | category: Furniture | hs_code: 9403.78 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 470.36 | supplier_name: Unity Suppliers
product_id: 67d7bbb9-471d-46d2-a5dd-9110e6a2d788 | product_name: Pharma SKU-10044 | category: Pharma | hs_code: 3004.26 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 418.6 | supplier_name: Nova Suppliers
product_id: 38baefef-fb3c-49e6-bd29-b0be4de5aaa6 | product_name: Automotive Parts SKU-10045 | category: Automotive Parts | hs_code: 8708.49 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 703.86 | supplier_name: Metro Suppliers
product_id: d36186d0-0512-47f8-9f7f-84f0680811cd | product_name: Consumer Goods SKU-10046 | category: Consumer Goods | hs_code: 3926.19 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 391.9 | supplier_name: Unity Suppliers
product_id: bea875b0-93f5-4312-8788-7230416c4515 | product_name: Machinery SKU-10047 | category: Machinery | hs_code: 8479.26 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 204.26 | supplier_name: Nova Suppliers
product_id: 29a5a818-e5a1-4d1d-b609-bb8d39b3904b | product_name: Consumer Goods SKU-10048 | category: Consumer Goods | hs_code: 3926.24 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 494.5 | supplier_name: Pacific Suppliers
product_id: 0a16102b-89ac-4520-afc4-68dbbf59924d | product_name: Consumer Goods SKU-10049 | category: Consumer Goods | hs_code: 3926.18 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 599.84 | supplier_name: Pacific Suppliers
product_id: 35a121ed-71fa-47ed-ad49-459847320d23 | product_name: Machinery SKU-10050 | category: Machinery | hs_code: 8479.47 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 564.19 | supplier_name: Unity Suppliers
product_id: 0db6b52d-a6f6-46e6-8eb7-818f22d1c4b2 | product_name: Machinery SKU-10051 | category: Machinery | hs_code: 8479.11 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 773.6 | supplier_name: Metro Suppliers
product_id: 9ea15dfd-1260-41c2-b940-4c40cddeaeeb | product_name: Machinery SKU-10052 | category: Machinery | hs_code: 8479.58 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 570.63 | supplier_name: Nova Suppliers
product_id: 1fcba69c-619f-4057-8dd6-f06418cbd989 | product_name: Automotive Parts SKU-10053 | category: Automotive Parts | hs_code: 8708.82 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 583.86 | supplier_name: Unity Suppliers
product_id: f4a32ca5-6c8c-4f2c-a0d2-6e3cea0e9cf3 | product_name: Electronics SKU-10054 | category: Electronics | hs_code: 8517.53 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 194.7 | supplier_name: Pacific Suppliers
product_id: 644c7222-39a6-496f-bfd6-5692bbbe3aac | product_name: Food SKU-10055 | category: Food | hs_code: 2106.63 | hazardous: False | perishable: False | temperature_controlled: True | fragile: False | weight_per_unit: 507.77 | supplier_name: Eastern Suppliers
product_id: f84d2ea5-51dc-4a27-aff8-bf54002daae4 | product_name: Medical Devices SKU-10056 | category: Medical Devices | hs_code: 9018.38 | hazardous: False | perishable: False | temperature_controlled: True | fragile: True | weight_per_unit: 419.63 | supplier_name: Metro Suppliers
product_id: 93629d93-1c7f-4ef1-a675-68ef87d3f118 | product_name: Automotive Parts SKU-10057 | category: Automotive Parts | hs_code: 8708.49 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 174.4 | supplier_name: Nova Suppliers
product_id: 5362ba66-bbcf-4ce3-89e1-155ad17a1d71 | product_name: Electronics SKU-10058 | category: Electronics | hs_code: 8517.49 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 737.38 | supplier_name: Eastern Suppliers
product_id: 33b5a9d6-7fa5-4f51-8fa9-e16f8ade9f6b | product_name: Consumer Goods SKU-10059 | category: Consumer Goods | hs_code: 3926.22 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 643.27 | supplier_name: Eastern Suppliers
product_id: a6fd9add-690a-49a1-b609-c2444eed8cd6 | product_name: Medical Devices SKU-10060 | category: Medical Devices | hs_code: 9018.57 | hazardous: False | perishable: False | temperature_controlled: True | fragile: True | weight_per_unit: 466.01 | supplier_name: Unity Suppliers
product_id: a2d14b3c-f2d7-411c-8f36-01f4b7d6ee50 | product_name: Food SKU-10061 | category: Food | hs_code: 2106.34 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 798.81 | supplier_name: Eastern Suppliers
product_id: c8e76f81-124e-42e8-b2b2-6fe978b28289 | product_name: Machinery SKU-10062 | category: Machinery | hs_code: 8479.14 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 86.92 | supplier_name: Metro Suppliers
product_id: 781a7d2e-3919-4984-b194-8dc6155a2006 | product_name: Automotive Parts SKU-10063 | category: Automotive Parts | hs_code: 8708.37 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 812.32 | supplier_name: Eastern Suppliers
product_id: 8fb170c9-459f-4ee2-91d3-e9550bf25914 | product_name: Pharma SKU-10064 | category: Pharma | hs_code: 3004.1 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 829.4 | supplier_name: Eastern Suppliers
product_id: b34dc6b4-1615-4db2-bb36-d1035a00550d | product_name: Machinery SKU-10065 | category: Machinery | hs_code: 8479.2 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 344.11 | supplier_name: Summit Suppliers
product_id: 4c2b832c-a745-406c-b247-1bdfa19fc0c1 | product_name: Furniture SKU-10066 | category: Furniture | hs_code: 9403.18 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 765.13 | supplier_name: Unity Suppliers
product_id: 0917486c-9950-476e-a919-e8a9aa9f7137 | product_name: Machinery SKU-10067 | category: Machinery | hs_code: 8479.83 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 483.18 | supplier_name: Eastern Suppliers
product_id: 2ebcbc4a-3fad-4909-8fbc-0f9b95698d12 | product_name: Furniture SKU-10068 | category: Furniture | hs_code: 9403.89 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 631.17 | supplier_name: Eastern Suppliers
product_id: eaf3f27e-3bfe-4f93-82ae-05dc493f3fc0 | product_name: Food SKU-10069 | category: Food | hs_code: 2106.62 | hazardous: False | perishable: True | temperature_controlled: True | fragile: False | weight_per_unit: 633.12 | supplier_name: Pacific Suppliers
product_id: fa4822c9-ffba-4bbf-8690-90cbe3b32afe | product_name: Food SKU-10070 | category: Food | hs_code: 2106.59 | hazardous: False | perishable: True | temperature_controlled: True | fragile: False | weight_per_unit: 361.59 | supplier_name: Summit Suppliers
product_id: d9423b04-ec1d-4462-9045-2fc00b7b5235 | product_name: Pharma SKU-10071 | category: Pharma | hs_code: 3004.58 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 834.81 | supplier_name: Pacific Suppliers
product_id: 1270b3e7-f813-40ac-9926-d82ada128325 | product_name: Medical Devices SKU-10072 | category: Medical Devices | hs_code: 9018.72 | hazardous: False | perishable: False | temperature_controlled: True | fragile: True | weight_per_unit: 189.35 | supplier_name: Pacific Suppliers
product_id: e29f730a-c261-4517-9ea5-e07bc916955f | product_name: Food SKU-10073 | category: Food | hs_code: 2106.47 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 513.63 | supplier_name: Unity Suppliers
product_id: e18e5932-138b-4cee-adce-7984ab1239f8 | product_name: Textiles SKU-10074 | category: Textiles | hs_code: 6204.8 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 115.8 | supplier_name: Unity Suppliers
product_id: 61bb6ed1-7e00-48f7-8c78-84c5cba2db53 | product_name: Machinery SKU-10075 | category: Machinery | hs_code: 8479.34 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 327.13 | supplier_name: Pacific Suppliers
product_id: ada7e344-a8ed-43ec-add8-e9abe2d7d965 | product_name: Machinery SKU-10076 | category: Machinery | hs_code: 8479.71 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 93.6 | supplier_name: Nova Suppliers
product_id: 0d78a90c-7c56-4df0-a5f7-cb0df7b78962 | product_name: Electronics SKU-10077 | category: Electronics | hs_code: 8517.97 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 809.8 | supplier_name: Eastern Suppliers
product_id: 4c528039-64b7-4178-b938-1ea2ce33d160 | product_name: Pharma SKU-10078 | category: Pharma | hs_code: 3004.35 | hazardous: False | perishable: True | temperature_controlled: True | fragile: False | weight_per_unit: 260.52 | supplier_name: Pacific Suppliers
product_id: 5232a4d5-0f62-4465-870f-4b68f6318989 | product_name: Medical Devices SKU-10079 | category: Medical Devices | hs_code: 9018.46 | hazardous: False | perishable: False | temperature_controlled: True | fragile: False | weight_per_unit: 218.92 | supplier_name: Pacific Suppliers
product_id: 94ebdafa-e68d-4c20-b8b5-46f2be003cbe | product_name: Automotive Parts SKU-10080 | category: Automotive Parts | hs_code: 8708.58 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 397.66 | supplier_name: Nova Suppliers
product_id: 68f6194f-b43f-4556-9ffa-34dc43a5bd04 | product_name: Consumer Goods SKU-10081 | category: Consumer Goods | hs_code: 3926.88 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 321.81 | supplier_name: Summit Suppliers
product_id: f8d2bb7b-5fce-4726-92f6-9d60c1bc96a3 | product_name: Textiles SKU-10082 | category: Textiles | hs_code: 6204.73 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 159.68 | supplier_name: Eastern Suppliers
product_id: 7ad11fff-53c1-4bc3-a96e-36d9ff5eaee1 | product_name: Pharma SKU-10083 | category: Pharma | hs_code: 3004.8 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 496.16 | supplier_name: Summit Suppliers
product_id: e6073170-53a3-41f0-acef-bb63ea7999ce | product_name: Consumer Goods SKU-10084 | category: Consumer Goods | hs_code: 3926.78 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 480.78 | supplier_name: Summit Suppliers
product_id: 13adb318-8875-444b-b572-064c0f23ae1b | product_name: Pharma SKU-10085 | category: Pharma | hs_code: 3004.77 | hazardous: False | perishable: True | temperature_controlled: True | fragile: False | weight_per_unit: 51.65 | supplier_name: Eastern Suppliers
product_id: a1ac4409-1db7-45f6-aaa6-ab522e8da4a4 | product_name: Food SKU-10086 | category: Food | hs_code: 2106.82 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 135.32 | supplier_name: Metro Suppliers
product_id: 7d8ae9c1-8184-4719-8113-c216868e3123 | product_name: Pharma SKU-10087 | category: Pharma | hs_code: 3004.37 | hazardous: False | perishable: True | temperature_controlled: True | fragile: False | weight_per_unit: 314.49 | supplier_name: Eastern Suppliers
product_id: a0663ec9-e62f-4a08-a5b1-bf95480b1490 | product_name: Machinery SKU-10088 | category: Machinery | hs_code: 8479.37 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 124.75 | supplier_name: Unity Suppliers
product_id: d52b0fc7-7152-406f-9469-71729495c096 | product_name: Medical Devices SKU-10089 | category: Medical Devices | hs_code: 9018.24 | hazardous: False | perishable: False | temperature_controlled: True | fragile: True | weight_per_unit: 564.02 | supplier_name: Unity Suppliers
product_id: b93680da-57fe-4212-ad87-5c50d192ac6f | product_name: Automotive Parts SKU-10090 | category: Automotive Parts | hs_code: 8708.86 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 416.68 | supplier_name: Pacific Suppliers
product_id: e1b768de-a1a7-4891-a2da-52646c73aa2c | product_name: Medical Devices SKU-10091 | category: Medical Devices | hs_code: 9018.9 | hazardous: False | perishable: False | temperature_controlled: True | fragile: False | weight_per_unit: 604.27 | supplier_name: Metro Suppliers
product_id: f9b1139f-23da-4f7c-9ed9-31dff3b41aff | product_name: Medical Devices SKU-10092 | category: Medical Devices | hs_code: 9018.14 | hazardous: False | perishable: False | temperature_controlled: True | fragile: False | weight_per_unit: 811.51 | supplier_name: Pacific Suppliers
product_id: 00825da5-96ce-4353-9060-0a189674575e | product_name: Furniture SKU-10093 | category: Furniture | hs_code: 9403.61 | hazardous: False | perishable: False | temperature_controlled: False | fragile: True | weight_per_unit: 847.5 | supplier_name: Eastern Suppliers
product_id: 7e5266a8-18ee-4b7d-b67c-aca567215163 | product_name: Chemicals SKU-10094 | category: Chemicals | hs_code: 3824.51 | hazardous: True | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 339.87 | supplier_name: Summit Suppliers
product_id: 264a190b-9eb8-4123-91ff-4242053a2350 | product_name: Consumer Goods SKU-10095 | category: Consumer Goods | hs_code: 3926.58 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 424.96 | supplier_name: Eastern Suppliers
product_id: 7bae02ba-a516-4a5c-961e-b4e968e442bf | product_name: Electronics SKU-10096 | category: Electronics | hs_code: 8517.16 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 640.56 | supplier_name: Pacific Suppliers
product_id: 2709df9d-6760-4869-bbed-c1f523d64786 | product_name: Automotive Parts SKU-10097 | category: Automotive Parts | hs_code: 8708.11 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 591.52 | supplier_name: Unity Suppliers
product_id: 84f7365a-89d7-4dc7-923f-34b42f207c34 | product_name: Consumer Goods SKU-10098 | category: Consumer Goods | hs_code: 3926.98 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 273.23 | supplier_name: Pacific Suppliers
product_id: 206cc4dd-21ee-434d-9b59-0d9de238ea47 | product_name: Textiles SKU-10099 | category: Textiles | hs_code: 6204.94 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 141.97 | supplier_name: Pacific Suppliers
product_id: dcd9d83f-6bf4-4219-8890-c56c1d3b3270 | product_name: Medical Devices SKU-10100 | category: Medical Devices | hs_code: 9018.62 | hazardous: False | perishable: False | temperature_controlled: True | fragile: False | weight_per_unit: 24.09 | supplier_name: Nova Suppliers
product_id: 58304bd7-d743-4d0a-8f3b-8932c64f5fc1 | product_name: Pharma SKU-10101 | category: Pharma | hs_code: 3004.97 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 665.73 | supplier_name: Metro Suppliers
product_id: 829c34cb-5bae-4d98-8976-6ac546cbc8fb | product_name: Furniture SKU-10102 | category: Furniture | hs_code: 9403.61 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 156.37 | supplier_name: Unity Suppliers
product_id: 8dfce1d9-05b8-4086-955d-a878cf67b79e | product_name: Machinery SKU-10103 | category: Machinery | hs_code: 8479.7 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 239.29 | supplier_name: Unity Suppliers
product_id: 4d61c2d2-d2af-4d03-91a2-e1b82c2fe36b | product_name: Automotive Parts SKU-10104 | category: Automotive Parts | hs_code: 8708.33 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 599.53 | supplier_name: Nova Suppliers
product_id: a1b1606d-34f6-4f2c-8c05-a4d9882d6291 | product_name: Textiles SKU-10105 | category: Textiles | hs_code: 6204.27 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 656.82 | supplier_name: Nova Suppliers
product_id: 8215611a-151d-4dc5-8fe3-154cdb7d8bb3 | product_name: Consumer Goods SKU-10106 | category: Consumer Goods | hs_code: 3926.45 | hazardous: False | perishable: False | temperature_controlled: False | fragile: False | weight_per_unit: 642.47 | supplier_name: Unity Suppliers
product_id: 00506704-0774-4f15-951c-b2e6036eeebc | product_name: Pharma SKU-10107 | category: Pharma | hs_code: 3004.58 | hazardous: False | perishable: True | temperature_controlled: True | fragile: False | weight_per_unit: 565.71 | supplier_name: Metro Suppliers
