Sheet Name: AI_Model_Registry

model_id: a417fe1f-d2f3-4f5c-a87b-c37ba769653f | model_name: document-intelligence | model_version: v1.6.6 | model_type: Anomaly | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/anomaly/457c928958ba | deployment_status: Testing
model_id: 3dda1d10-8011-4ca0-af28-409eb11a9524 | model_name: anomaly-detector | model_version: v2.7.4 | model_type: Classifier | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/classifier/2d0a8a7399e2 | deployment_status: Testing
model_id: 2633334e-462a-4975-8cba-923f9dd30d12 | model_name: eta-regressor | model_version: v1.1.6 | model_type: Anomaly | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/anomaly/6cdd9650fc6b | deployment_status: Testing
model_id: d59a53e2-44a6-4a08-acba-d597eb52062d | model_name: document-intelligence | model_version: v3.4.2 | model_type: Classifier | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/classifier/430a9f8b776b | deployment_status: Testing
model_id: 34493434-052e-4ee4-9d58-2f8fba336f67 | model_name: risk-summary-llm | model_version: v2.7.9 | model_type: LLM | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/llm/7746ecc9b479 | deployment_status: Production
model_id: e60a5a37-d399-4ba2-a4ab-fc280ae802c8 | model_name: anomaly-detector | model_version: v1.0.5 | model_type: Classifier | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/classifier/3df89fec69ae | deployment_status: Draft
model_id: 3b51d3f3-2410-45d9-bfd1-4e2aa68fd5f2 | model_name: delay-risk-classifier | model_version: v3.7.6 | model_type: Anomaly | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/anomaly/99f3b15d55e7 | deployment_status: Draft
model_id: 49a222ef-85b1-4ed3-b2e8-ff0c1dbe7ef0 | model_name: delay-risk-classifier | model_version: v3.6.9 | model_type: Classifier | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/classifier/d0ab9a24093a | deployment_status: Production
model_id: 8e5c3b37-7400-4f32-9d02-0b47703a9ea3 | model_name: eta-regressor | model_version: v4.2.5 | model_type: Classifier | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/classifier/b7fc3b1cf5a2 | deployment_status: Draft
model_id: bb837292-0d60-4c18-a332-576bc203c54e | model_name: risk-summary-llm | model_version: v3.0.1 | model_type: Classifier | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/classifier/7b223086a5f5 | deployment_status: Testing
model_id: 31fca56b-da2e-4a1f-8a83-27a0f74edf6d | model_name: risk-summary-llm | model_version: v4.0.4 | model_type: Classifier | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/classifier/7e73a59afd9c | deployment_status: Production
model_id: fc64b411-7715-4cad-8dc7-c32eab26b355 | model_name: eta-regressor | model_version: v1.3.0 | model_type: Classifier | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/classifier/f2955ba6adfb | deployment_status: Production
model_id: 1cfb0b15-69a6-4884-978a-db7a647543bc | model_name: risk-summary-llm | model_version: v4.9.2 | model_type: Regressor | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/regressor/79a93cd8ffa3 | deployment_status: Retired
model_id: 9a433319-6d31-4ba8-a33c-74d43ab56154 | model_name: delay-risk-classifier | model_version: v3.3.0 | model_type: Anomaly | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/anomaly/3f4e2bd77f3a | deployment_status: Production
model_id: a5e3438b-7e9e-4c08-80bd-9be4ed3ef0f1 | model_name: eta-regressor | model_version: v4.5.4 | model_type: Anomaly | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/anomaly/81080a70503a | deployment_status: Production
model_id: d6b24ccf-45f5-45ab-9ede-8461013a7932 | model_name: eta-regressor | model_version: v1.9.6 | model_type: Classifier | training_dataset_version: exim-ds-2024-04 | artifact_uri: s3://allcargo-exim-models/classifier/08cbc25f8ee2 | deployment_status: Draft
model_id: 583a270d-bf5d-48b4-896d-2b2ea68f417a | model_name: risk-summary-llm | model_version: v3.0.3 | model_type: NLP | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/nlp/ba7f56915515 | deployment_status: Retired
model_id: d39053ae-7040-4e31-b699-b422c8d463ac | model_name: anomaly-detector | model_version: v3.2.4 | model_type: Classifier | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/classifier/f436a2a3b042 | deployment_status: Testing
model_id: f015bc04-1680-452c-ba8a-69a5cfb706a6 | model_name: document-intelligence | model_version: v4.8.2 | model_type: Classifier | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/classifier/ef6189093b13 | deployment_status: Production
model_id: d1d9bc11-c403-46a4-89b9-00eca8f0be9c | model_name: eta-regressor | model_version: v4.2.8 | model_type: Classifier | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/classifier/d852380aa07c | deployment_status: Production
model_id: b5f39e16-e13e-4149-a11e-b2be0dc9c2e9 | model_name: eta-regressor | model_version: v2.7.0 | model_type: Anomaly | training_dataset_version: exim-ds-2025-08 | artifact_uri: s3://allcargo-exim-models/anomaly/0c3ee20955f7 | deployment_status: Draft
model_id: d6344242-9a95-4a02-a241-dbabb6256a45 | model_name: document-intelligence | model_version: v1.4.6 | model_type: Anomaly | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/anomaly/2ede160c90e8 | deployment_status: Retired
model_id: ddf509e4-212a-401a-972a-10d2fbcf13ef | model_name: risk-summary-llm | model_version: v4.5.9 | model_type: NLP | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/nlp/20bcd789c47a | deployment_status: Draft
model_id: bea269d8-77a9-46a1-b10b-aabeb0bedd3e | model_name: anomaly-detector | model_version: v3.2.3 | model_type: Classifier | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/classifier/1c020208e8e9 | deployment_status: Testing
model_id: aa980c50-b17b-4c21-8111-e1c652d83d4b | model_name: eta-regressor | model_version: v2.2.5 | model_type: NLP | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/nlp/13664ce280b9 | deployment_status: Retired
model_id: 5fd4353a-e437-4b4e-8b82-65e1f11e7bf4 | model_name: risk-summary-llm | model_version: v4.4.0 | model_type: Anomaly | training_dataset_version: exim-ds-2025-02 | artifact_uri: s3://allcargo-exim-models/anomaly/b1d538fa2c39 | deployment_status: Production
model_id: 2a36af88-38bb-4922-bcf9-59d26efa4903 | model_name: anomaly-detector | model_version: v1.1.7 | model_type: Classifier | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/classifier/1ee048e9527d | deployment_status: Testing
model_id: 6e16b056-a877-4a3d-a39f-ed64b106f659 | model_name: delay-risk-classifier | model_version: v3.4.3 | model_type: Classifier | training_dataset_version: exim-ds-2024-06 | artifact_uri: s3://allcargo-exim-models/classifier/b05abb17c309 | deployment_status: Production
model_id: 4810b924-e879-4542-999d-645d89d176ab | model_name: eta-regressor | model_version: v2.9.2 | model_type: Classifier | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/classifier/730b86212258 | deployment_status: Retired
model_id: ead74e34-9333-4f77-80cb-70fc6e12ceeb | model_name: delay-risk-classifier | model_version: v2.9.0 | model_type: Classifier | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/classifier/4865e7239dba | deployment_status: Draft
model_id: a7fcd2ed-a300-4409-a21f-c7d13f9e67b3 | model_name: anomaly-detector | model_version: v4.0.8 | model_type: Classifier | training_dataset_version: exim-ds-2026-11 | artifact_uri: s3://allcargo-exim-models/classifier/6c214c9f8f2e | deployment_status: Production
model_id: f5aaa9ec-d36b-4c4b-8468-194b0aa6526b | model_name: eta-regressor | model_version: v1.4.0 | model_type: Regressor | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/regressor/acc777472075 | deployment_status: Draft
model_id: 5ef9c86e-eccd-47ec-9c6b-9e45979b082a | model_name: risk-summary-llm | model_version: v3.0.1 | model_type: Classifier | training_dataset_version: exim-ds-2026-08 | artifact_uri: s3://allcargo-exim-models/classifier/b05f64dcef32 | deployment_status: Production
model_id: 2b6bda61-ba55-4598-981d-eef9631a3b3c | model_name: document-intelligence | model_version: v4.4.4 | model_type: NLP | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/nlp/bb2b2abe68e3 | deployment_status: Testing
model_id: 22aca722-0cb2-4603-aaf9-10287cfe38e6 | model_name: risk-summary-llm | model_version: v1.9.9 | model_type: NLP | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/nlp/0e3b46c938e8 | deployment_status: Testing
model_id: fd54a93d-e651-42d7-a240-f8b053df0f73 | model_name: anomaly-detector | model_version: v2.0.0 | model_type: Classifier | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/classifier/6a71f897602c | deployment_status: Testing
model_id: f39d3c8f-0342-420a-b388-ec365181e89d | model_name: document-intelligence | model_version: v1.8.3 | model_type: Classifier | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/classifier/cb762afd1cab | deployment_status: Production
model_id: 890027d9-f8b6-4eeb-a55f-19d188919568 | model_name: document-intelligence | model_version: v4.6.8 | model_type: Anomaly | training_dataset_version: exim-ds-2026-02 | artifact_uri: s3://allcargo-exim-models/anomaly/de67ea7152e5 | deployment_status: Retired
model_id: aaed47f6-45c4-4d90-9417-b6e3826b1b1b | model_name: anomaly-detector | model_version: v3.9.1 | model_type: Classifier | training_dataset_version: exim-ds-2025-08 | artifact_uri: s3://allcargo-exim-models/classifier/4f0ff159e679 | deployment_status: Production
model_id: 56ad178c-0818-4525-9d12-dd97975978cb | model_name: delay-risk-classifier | model_version: v1.8.7 | model_type: Regressor | training_dataset_version: exim-ds-2024-01 | artifact_uri: s3://allcargo-exim-models/regressor/40e61fd7ee56 | deployment_status: Retired
model_id: 700ddec0-e3f3-48c7-ab0c-7189c10a4717 | model_name: delay-risk-classifier | model_version: v4.6.3 | model_type: Classifier | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/classifier/b169cb99a954 | deployment_status: Production
model_id: c401acf4-12a3-4638-8a1e-fbfa00233718 | model_name: eta-regressor | model_version: v3.9.4 | model_type: NLP | training_dataset_version: exim-ds-2026-07 | artifact_uri: s3://allcargo-exim-models/nlp/dd9d12e780eb | deployment_status: Production
model_id: 70096260-33e3-405d-af28-135bf388f8c9 | model_name: eta-regressor | model_version: v1.6.6 | model_type: Classifier | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/classifier/aba3c6d284a4 | deployment_status: Draft
model_id: a3a30ef7-895e-40ea-be5e-672fde9432f6 | model_name: risk-summary-llm | model_version: v2.3.5 | model_type: Classifier | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/classifier/eb2facb42cf4 | deployment_status: Production
model_id: 3a8b6ff2-f26c-464f-98f7-9fa33b0a0925 | model_name: document-intelligence | model_version: v4.4.7 | model_type: Regressor | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/regressor/c5540db4db23 | deployment_status: Testing
model_id: deccc76e-c582-4549-91d0-d1ee2a4049fa | model_name: eta-regressor | model_version: v1.3.6 | model_type: Classifier | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/classifier/dd2bba2a0bc9 | deployment_status: Production
model_id: de26d6eb-38a8-4304-8d38-0ed771fe59f2 | model_name: risk-summary-llm | model_version: v2.7.5 | model_type: NLP | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/nlp/e76402d0f3c4 | deployment_status: Production
model_id: a792fae5-fbb0-49cd-adb3-5138060c59c3 | model_name: eta-regressor | model_version: v2.2.8 | model_type: Classifier | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/classifier/8ec58d282422 | deployment_status: Draft
model_id: 971f5415-d1f5-44c3-8863-ab98381bfdda | model_name: eta-regressor | model_version: v3.7.2 | model_type: Classifier | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/classifier/69bf184a6343 | deployment_status: Draft
model_id: 93b23839-7fda-4ae1-b230-e2489955ec42 | model_name: risk-summary-llm | model_version: v2.3.0 | model_type: NLP | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/nlp/006dea522f93 | deployment_status: Draft
model_id: 8224db99-ffed-4e26-bc44-97e4ccdb551d | model_name: anomaly-detector | model_version: v3.8.9 | model_type: Classifier | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/classifier/f8825b52f33c | deployment_status: Production
model_id: 737ae068-7e0f-4503-9e19-65dd2636998a | model_name: risk-summary-llm | model_version: v2.5.4 | model_type: LLM | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/llm/75e22d491bf8 | deployment_status: Testing
model_id: 807e05e7-e449-48ed-bd55-72e559c30137 | model_name: document-intelligence | model_version: v4.7.4 | model_type: Anomaly | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/anomaly/cd2724afe8b2 | deployment_status: Retired
model_id: 464f7a85-39bd-4239-b040-0ef0dc73c032 | model_name: document-intelligence | model_version: v1.0.6 | model_type: NLP | training_dataset_version: exim-ds-2026-03 | artifact_uri: s3://allcargo-exim-models/nlp/cf53e5da3a29 | deployment_status: Retired
model_id: 6d183d2e-eabb-4294-8a8f-e08d1a4f8af8 | model_name: eta-regressor | model_version: v4.6.0 | model_type: Classifier | training_dataset_version: exim-ds-2025-09 | artifact_uri: s3://allcargo-exim-models/classifier/e99bc9aa2666 | deployment_status: Testing
model_id: ddd34c38-8891-4b52-a827-2032135d2d79 | model_name: risk-summary-llm | model_version: v2.9.0 | model_type: Regressor | training_dataset_version: exim-ds-2025-08 | artifact_uri: s3://allcargo-exim-models/regressor/088abe9d6c9e | deployment_status: Draft
model_id: aeb40fb5-d922-4265-891b-0ebdfe8e6612 | model_name: document-intelligence | model_version: v2.5.0 | model_type: LLM | training_dataset_version: exim-ds-2026-10 | artifact_uri: s3://allcargo-exim-models/llm/6e6df0c5a629 | deployment_status: Production
model_id: f8641a92-c193-4b76-a737-dd41ef60b1d0 | model_name: delay-risk-classifier | model_version: v1.0.8 | model_type: Anomaly | training_dataset_version: exim-ds-2026-07 | artifact_uri: s3://allcargo-exim-models/anomaly/ceb6d1ece9d4 | deployment_status: Production
model_id: 824ad9df-b3a4-4ebd-b0ad-d8b2433ef005 | model_name: risk-summary-llm | model_version: v2.6.4 | model_type: Regressor | training_dataset_version: exim-ds-2025-10 | artifact_uri: s3://allcargo-exim-models/regressor/15d8ec9e99cf | deployment_status: Retired
model_id: 8fca4091-cb2c-499f-b47e-6b361dcc2c9a | model_name: delay-risk-classifier | model_version: v2.9.0 | model_type: Classifier | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/classifier/bf424f49087b | deployment_status: Testing
model_id: b005456e-8ad9-40cb-96c4-8103a0d6e1b0 | model_name: anomaly-detector | model_version: v2.7.3 | model_type: Anomaly | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/anomaly/ced504331cdd | deployment_status: Production
model_id: 463e9c23-e8e6-4e63-83c8-40dc2c1e9d6c | model_name: document-intelligence | model_version: v1.0.3 | model_type: Anomaly | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/anomaly/b9f7bea82b52 | deployment_status: Testing
model_id: 3d087144-82b1-4113-976b-e9190258fdc8 | model_name: risk-summary-llm | model_version: v1.7.8 | model_type: Regressor | training_dataset_version: exim-ds-2025-11 | artifact_uri: s3://allcargo-exim-models/regressor/6d05aae4d62f | deployment_status: Production
model_id: 8c02a3f1-15e0-4268-9680-8ffc028ab88c | model_name: anomaly-detector | model_version: v4.2.7 | model_type: LLM | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/llm/0667f2d18b4c | deployment_status: Testing
model_id: 4f3b6107-ab01-42b0-99a0-951a211c8ec1 | model_name: anomaly-detector | model_version: v3.6.8 | model_type: NLP | training_dataset_version: exim-ds-2024-07 | artifact_uri: s3://allcargo-exim-models/nlp/103b50f268bc | deployment_status: Draft
model_id: cfbe8e18-7369-4f73-93c2-dfb84ecd8680 | model_name: eta-regressor | model_version: v4.1.9 | model_type: Classifier | training_dataset_version: exim-ds-2026-02 | artifact_uri: s3://allcargo-exim-models/classifier/24050051cc6b | deployment_status: Testing
model_id: 4f79fc6c-2ba7-4fb0-803b-0b7e6b595c0e | model_name: document-intelligence | model_version: v3.9.5 | model_type: Regressor | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/regressor/6abfb269fb09 | deployment_status: Draft
model_id: 8b2fbb95-6aa0-4c76-97cb-910947a98caf | model_name: eta-regressor | model_version: v4.7.4 | model_type: Anomaly | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/anomaly/172ddc5cf25e | deployment_status: Retired
model_id: e6f94240-d7c7-46a2-a8a7-3d95fb00fe5a | model_name: anomaly-detector | model_version: v3.5.0 | model_type: Classifier | training_dataset_version: exim-ds-2026-04 | artifact_uri: s3://allcargo-exim-models/classifier/a47c81fcda9f | deployment_status: Production
model_id: e4688b4f-87af-479c-be59-8f1d1ec9de91 | model_name: eta-regressor | model_version: v3.1.8 | model_type: Regressor | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/regressor/92f092041ff6 | deployment_status: Production
model_id: ae24b3ab-db73-45e7-bceb-bb48aa261151 | model_name: eta-regressor | model_version: v4.6.8 | model_type: Regressor | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/regressor/3eb9d7feb499 | deployment_status: Production
model_id: 19edbb75-1119-4eda-8b05-70a2ade61975 | model_name: document-intelligence | model_version: v1.8.9 | model_type: NLP | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/nlp/000ee3886a80 | deployment_status: Testing
model_id: 6eac862f-c59c-4788-ae94-73815abb6151 | model_name: delay-risk-classifier | model_version: v2.9.3 | model_type: NLP | training_dataset_version: exim-ds-2025-03 | artifact_uri: s3://allcargo-exim-models/nlp/1733dab55b65 | deployment_status: Retired
model_id: 5c5eeccb-dd24-4594-ab28-058fd4fd05ec | model_name: document-intelligence | model_version: v3.5.1 | model_type: Anomaly | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/anomaly/247d51d9152c | deployment_status: Production
model_id: b17beca6-d051-48ef-9ee0-7ff829cf1d5e | model_name: risk-summary-llm | model_version: v3.9.1 | model_type: NLP | training_dataset_version: exim-ds-2024-09 | artifact_uri: s3://allcargo-exim-models/nlp/e7f5ed1b6be0 | deployment_status: Testing
model_id: aba5493f-47ff-4ee6-aa82-486fa3b0c887 | model_name: delay-risk-classifier | model_version: v4.8.6 | model_type: Anomaly | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/anomaly/f70aa584bd62 | deployment_status: Production
model_id: 037eb790-1cfa-4fe0-9243-952fd87cc070 | model_name: risk-summary-llm | model_version: v4.6.2 | model_type: Classifier | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/classifier/3e4792b39e7b | deployment_status: Production
model_id: dae4d472-6a61-4c19-86d7-8bf0eb5e31fa | model_name: document-intelligence | model_version: v1.7.3 | model_type: NLP | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/nlp/395f5d51129d | deployment_status: Production
model_id: c6661732-c225-4954-bed4-403d9c4420b2 | model_name: document-intelligence | model_version: v4.7.6 | model_type: Classifier | training_dataset_version: exim-ds-2026-04 | artifact_uri: s3://allcargo-exim-models/classifier/07db9c6183ef | deployment_status: Retired
model_id: 291e2eb8-d551-458e-8bec-2694b3aadd30 | model_name: delay-risk-classifier | model_version: v2.9.7 | model_type: LLM | training_dataset_version: exim-ds-2024-11 | artifact_uri: s3://allcargo-exim-models/llm/652fd90ddf51 | deployment_status: Testing
model_id: 6c013724-32fe-4631-93e2-7b6db39af225 | model_name: anomaly-detector | model_version: v3.1.1 | model_type: Classifier | training_dataset_version: exim-ds-2026-12 | artifact_uri: s3://allcargo-exim-models/classifier/fb20d79ee0d8 | deployment_status: Testing
model_id: ade499c2-584b-4ea1-97e9-7f0e84238342 | model_name: eta-regressor | model_version: v3.7.7 | model_type: Classifier | training_dataset_version: exim-ds-2026-04 | artifact_uri: s3://allcargo-exim-models/classifier/dff2d12a8e5d | deployment_status: Production
model_id: b1ce78a1-31e9-46b4-ab19-93ffa8b0c24a | model_name: risk-summary-llm | model_version: v3.2.7 | model_type: NLP | training_dataset_version: exim-ds-2024-08 | artifact_uri: s3://allcargo-exim-models/nlp/053f078d4fb8 | deployment_status: Production
model_id: d3731e3c-f0f8-4262-8147-bae3b5dd03b7 | model_name: eta-regressor | model_version: v1.2.9 | model_type: LLM | training_dataset_version: exim-ds-2025-06 | artifact_uri: s3://allcargo-exim-models/llm/8d7e8c817316 | deployment_status: Testing
model_id: f703d587-98cb-4489-827f-f3ace0120051 | model_name: delay-risk-classifier | model_version: v4.7.6 | model_type: Classifier | training_dataset_version: exim-ds-2024-12 | artifact_uri: s3://allcargo-exim-models/classifier/02accde38731 | deployment_status: Testing
model_id: b77d1b7d-6502-4952-ad45-432d625a41ee | model_name: delay-risk-classifier | model_version: v1.9.0 | model_type: Regressor | training_dataset_version: exim-ds-2024-03 | artifact_uri: s3://allcargo-exim-models/regressor/74bed1c0902a | deployment_status: Retired
model_id: d2d5be60-392b-4509-a37d-87a0762f174d | model_name: risk-summary-llm | model_version: v3.4.4 | model_type: Classifier | training_dataset_version: exim-ds-2026-06 | artifact_uri: s3://allcargo-exim-models/classifier/d883751499cf | deployment_status: Production
model_id: 3308bd83-c416-4109-b07d-45596b040960 | model_name: delay-risk-classifier | model_version: v2.2.8 | model_type: Regressor | training_dataset_version: exim-ds-2026-01 | artifact_uri: s3://allcargo-exim-models/regressor/7727858f4a3d | deployment_status: Production
model_id: b3ff7a54-7b1d-4dcf-b090-f6844a248f7a | model_name: risk-summary-llm | model_version: v3.5.8 | model_type: Classifier | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/classifier/fbaefd618353 | deployment_status: Testing
model_id: 56a15d8d-c543-4888-b3a1-2c79ba8d095a | model_name: anomaly-detector | model_version: v3.2.2 | model_type: LLM | training_dataset_version: exim-ds-2025-04 | artifact_uri: s3://allcargo-exim-models/llm/11f4d50f5c2a | deployment_status: Testing
model_id: dc57d0bc-3879-4a59-9b3a-55744317ad19 | model_name: document-intelligence | model_version: v4.4.9 | model_type: Classifier | training_dataset_version: exim-ds-2025-01 | artifact_uri: s3://allcargo-exim-models/classifier/f059c9979066 | deployment_status: Testing
model_id: 0b688c9c-313f-4f28-85e5-ecb0f98c1164 | model_name: eta-regressor | model_version: v2.8.5 | model_type: NLP | training_dataset_version: exim-ds-2025-05 | artifact_uri: s3://allcargo-exim-models/nlp/af42d69cb2ce | deployment_status: Testing
model_id: 762612fc-5d5f-4cea-9258-bdd13101fd91 | model_name: anomaly-detector | model_version: v1.3.5 | model_type: LLM | training_dataset_version: exim-ds-2024-05 | artifact_uri: s3://allcargo-exim-models/llm/98efbcf9a236 | deployment_status: Testing
model_id: 34a6ff76-791a-49d0-9d50-4c85ff484193 | model_name: delay-risk-classifier | model_version: v2.5.4 | model_type: Regressor | training_dataset_version: exim-ds-2026-09 | artifact_uri: s3://allcargo-exim-models/regressor/8f5cb06fa7cc | deployment_status: Draft
model_id: 63c81723-b5f3-489c-a3f6-339eaf49ede2 | model_name: eta-regressor | model_version: v2.4.8 | model_type: Anomaly | training_dataset_version: exim-ds-2025-12 | artifact_uri: s3://allcargo-exim-models/anomaly/e94555ce6a32 | deployment_status: Production
model_id: 2b9b001c-8127-4595-9824-b79aba8762b6 | model_name: delay-risk-classifier | model_version: v3.4.7 | model_type: Regressor | training_dataset_version: exim-ds-2026-05 | artifact_uri: s3://allcargo-exim-models/regressor/75860578571a | deployment_status: Draft
model_id: 68d6f50f-35f6-4442-a081-5dc871295dc7 | model_name: document-intelligence | model_version: v4.4.7 | model_type: Regressor | training_dataset_version: exim-ds-2024-02 | artifact_uri: s3://allcargo-exim-models/regressor/a2888ff3b628 | deployment_status: Production
