Sheet Name: Warehouses

warehouse_id: 990fca17-5717-4846-9322-f136d8bf02f2 | warehouse_name: Kolkata Distribution Center 1 | city: Kolkata | state: Telangana | warehouse_capacity: 41441 | current_utilization: 85.09 | warehouse_type: Regional
warehouse_id: 9c209256-d09b-4031-be07-2397ae7d419c | warehouse_name: Hamburg Distribution Center 18 | city: Hamburg | state: Hamburg | warehouse_capacity: 28765 | current_utilization: 75.83 | warehouse_type: Distribution
warehouse_id: 993736f3-73e2-4ccb-8bc3-5b386f22c466 | warehouse_name: Bengaluru Distribution Center 19 | city: Bengaluru | state: Gujarat | warehouse_capacity: 117568 | current_utilization: 68.68 | warehouse_type: Distribution
warehouse_id: a855361a-c135-49a2-931f-0dab2d8303e1 | warehouse_name: Singapore Bonded Warehouse 20 | city: Singapore | state: Singapore | warehouse_capacity: 112452 | current_utilization: 53.77 | warehouse_type: Regional
warehouse_id: d3d6a273-dc1b-4226-b9bf-7a2bf066c27c | warehouse_name: Amsterdam Bonded Warehouse 21 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 16327 | current_utilization: 69.94 | warehouse_type: Bonded
warehouse_id: f5039090-a9ef-4991-a689-a4dc0571f47c | warehouse_name: Los Angeles Distribution Center 22 | city: Los Angeles | state: Los Angeles | warehouse_capacity: 9877 | current_utilization: 58.63 | warehouse_type: Regional
warehouse_id: 23e63cc7-454b-4e23-8061-b03966918180 | warehouse_name: Amsterdam Distribution Center 23 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 42616 | current_utilization: 64.81 | warehouse_type: Regional
warehouse_id: c2be6a44-0771-4a12-b67b-ef6e85891f1f | warehouse_name: Incheon Regional Hub 24 | city: Incheon | state: Incheon | warehouse_capacity: 47525 | current_utilization: 77.35 | warehouse_type: Distribution
warehouse_id: 7992c7aa-9d20-4349-b61f-48ec46e717be | warehouse_name: Hamburg Bonded Warehouse 25 | city: Hamburg | state: Hamburg | warehouse_capacity: 73611 | current_utilization: 61.67 | warehouse_type: Regional
warehouse_id: eca1b99e-6a5b-43d6-8ca2-f0f10fefa5e6 | warehouse_name: Singapore Bonded Warehouse 26 | city: Singapore | state: Singapore | warehouse_capacity: 101498 | current_utilization: 89.39 | warehouse_type: Bonded
warehouse_id: 7a640b27-f723-4f97-92f2-ba2961c28fb6 | warehouse_name: Manchester Bonded Warehouse 27 | city: Manchester | state: Manchester | warehouse_capacity: 57009 | current_utilization: 46.56 | warehouse_type: Regional
warehouse_id: 9924b108-da31-4f20-8f21-25c2e99676ea | warehouse_name: Busan Fulfilment Center 28 | city: Busan | state: Busan | warehouse_capacity: 58203 | current_utilization: 74.11 | warehouse_type: Distribution
warehouse_id: 6a0d1da6-1e6f-4c0b-bd01-14e38a5f2737 | warehouse_name: Tokyo Distribution Center 29 | city: Tokyo | state: Tokyo | warehouse_capacity: 87412 | current_utilization: 70.63 | warehouse_type: Regional
warehouse_id: 0c642723-12b7-4a28-9a43-a4b4a6270187 | warehouse_name: Frankfurt Fulfilment Center 30 | city: Frankfurt | state: Frankfurt | warehouse_capacity: 61794 | current_utilization: 81.59 | warehouse_type: Distribution
warehouse_id: 4bccdcad-ac16-4b64-b5b8-6c699e61a4fc | warehouse_name: Seoul Bonded Warehouse 31 | city: Seoul | state: Seoul | warehouse_capacity: 105205 | current_utilization: 81.82 | warehouse_type: Distribution
warehouse_id: 10704baf-e3b2-4696-ad60-de2406e84218 | warehouse_name: Hamburg Distribution Center 32 | city: Hamburg | state: Hamburg | warehouse_capacity: 19677 | current_utilization: 63.38 | warehouse_type: Regional
warehouse_id: 57d4e9f0-cd4c-474c-9a99-fe76a712309d | warehouse_name: Frankfurt Regional Hub 33 | city: Frankfurt | state: Frankfurt | warehouse_capacity: 82154 | current_utilization: 84.84 | warehouse_type: Regional
warehouse_id: 81bf73ad-b3b6-4755-992e-3763f29eb415 | warehouse_name: Felixstowe Bonded Warehouse 34 | city: Felixstowe | state: Felixstowe | warehouse_capacity: 41970 | current_utilization: 71.28 | warehouse_type: Regional
warehouse_id: de51cd50-25b5-4a65-9bea-c01c99a5b181 | warehouse_name: Hamburg Fulfilment Center 35 | city: Hamburg | state: Hamburg | warehouse_capacity: 61616 | current_utilization: 78.68 | warehouse_type: Distribution
warehouse_id: d905b07b-adcb-4b1b-9cce-ad171c50c9d6 | warehouse_name: Dubai Fulfilment Center 36 | city: Dubai | state: Dubai | warehouse_capacity: 23685 | current_utilization: 92.26 | warehouse_type: Distribution
warehouse_id: 8825461b-517b-48f3-bccf-72fe339e7bbe | warehouse_name: Kolkata Distribution Center 37 | city: Kolkata | state: Karnataka | warehouse_capacity: 87767 | current_utilization: 63.25 | warehouse_type: Distribution
warehouse_id: 7bb3914d-247e-4c25-b4d8-e63dbc29f5c1 | warehouse_name: Yokohama Bonded Warehouse 38 | city: Yokohama | state: Yokohama | warehouse_capacity: 30077 | current_utilization: 60.02 | warehouse_type: Distribution
warehouse_id: 81c753e5-e3e1-4caf-931a-da5a82e1058f | warehouse_name: Felixstowe Bonded Warehouse 39 | city: Felixstowe | state: Felixstowe | warehouse_capacity: 63581 | current_utilization: 73.47 | warehouse_type: Distribution
warehouse_id: 5a76812d-ad9a-4507-8296-4bc4dd5808e8 | warehouse_name: Manchester Regional Hub 40 | city: Manchester | state: Manchester | warehouse_capacity: 97557 | current_utilization: 83.84 | warehouse_type: Distribution
warehouse_id: f522b0da-f175-45c8-a433-e95bb528e5e0 | warehouse_name: Amsterdam Regional Hub 41 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 111183 | current_utilization: 59.25 | warehouse_type: Distribution
warehouse_id: 2dc73af9-0d0b-4b50-a681-3aa4b546684f | warehouse_name: New York Fulfilment Center 42 | city: New York | state: New York | warehouse_capacity: 108845 | current_utilization: 74.41 | warehouse_type: Distribution
warehouse_id: fe549eec-2029-47b9-b40d-05fe19059520 | warehouse_name: Rotterdam Bonded Warehouse 43 | city: Rotterdam | state: Rotterdam | warehouse_capacity: 39048 | current_utilization: 70.52 | warehouse_type: Distribution
warehouse_id: ca4a8bc7-2d61-4fa7-8a79-8b55f736ab8d | warehouse_name: Busan Distribution Center 44 | city: Busan | state: Busan | warehouse_capacity: 77002 | current_utilization: 78.67 | warehouse_type: Distribution
warehouse_id: 0b5158b6-a20f-4dbc-897a-9d59cd53d1a8 | warehouse_name: Rotterdam Distribution Center 45 | city: Rotterdam | state: Rotterdam | warehouse_capacity: 104841 | current_utilization: 81.8 | warehouse_type: Distribution
warehouse_id: 4d931907-d1c4-4d93-a5b0-c1dd26502b00 | warehouse_name: Houston Fulfilment Center 46 | city: Houston | state: Houston | warehouse_capacity: 94007 | current_utilization: 63.33 | warehouse_type: Regional
warehouse_id: e64ed163-f40f-4412-b1a4-1d69ecb9efa3 | warehouse_name: Manchester Fulfilment Center 47 | city: Manchester | state: Manchester | warehouse_capacity: 90656 | current_utilization: 63.52 | warehouse_type: Distribution
warehouse_id: 9c67a33e-2b65-4551-abf1-9800894f9476 | warehouse_name: Abu Dhabi Regional Hub 48 | city: Abu Dhabi | state: Abu Dhabi | warehouse_capacity: 99191 | current_utilization: 66.89 | warehouse_type: Distribution
warehouse_id: da3ef86b-a4bf-4fc0-bf3a-af1e8dcbaa53 | warehouse_name: Shenzhen Distribution Center 49 | city: Shenzhen | state: Shenzhen | warehouse_capacity: 39356 | current_utilization: 50.81 | warehouse_type: Distribution
warehouse_id: 20a3e931-12bf-4845-9f32-35e431adcd9a | warehouse_name: Rotterdam Fulfilment Center 50 | city: Rotterdam | state: Rotterdam | warehouse_capacity: 51464 | current_utilization: 78.15 | warehouse_type: Distribution
warehouse_id: 8247d418-41f0-46cb-863e-1a6488c20948 | warehouse_name: Los Angeles Fulfilment Center 51 | city: Los Angeles | state: Los Angeles | warehouse_capacity: 79236 | current_utilization: 67.53 | warehouse_type: Distribution
warehouse_id: 26efe3e7-b0d7-4a64-a8f9-53c8d2f1b0c6 | warehouse_name: Frankfurt Distribution Center 52 | city: Frankfurt | state: Frankfurt | warehouse_capacity: 107559 | current_utilization: 92.93 | warehouse_type: Regional
warehouse_id: 72c199b8-ab3e-4821-a3ca-6c407a2665a1 | warehouse_name: Amsterdam Distribution Center 53 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 27314 | current_utilization: 71.63 | warehouse_type: Distribution
warehouse_id: d1e7f23c-68f7-4454-9ea4-02083af76d1f | warehouse_name: Amsterdam Fulfilment Center 54 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 35293 | current_utilization: 79.05 | warehouse_type: Distribution
warehouse_id: ec6bbf50-c26c-407d-bae3-50cf584d2c75 | warehouse_name: Ningbo Regional Hub 55 | city: Ningbo | state: Ningbo | warehouse_capacity: 96250 | current_utilization: 75.32 | warehouse_type: Distribution
warehouse_id: 98b5aea4-df70-41f7-88b0-8e446fdb0afc | warehouse_name: Amsterdam Distribution Center 56 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 80555 | current_utilization: 81.22 | warehouse_type: Bonded
warehouse_id: 64ad85d9-42ee-4c41-b958-ac85529e2644 | warehouse_name: Singapore Distribution Center 57 | city: Singapore | state: Singapore | warehouse_capacity: 19327 | current_utilization: 66.59 | warehouse_type: Distribution
warehouse_id: 159042a4-7b75-4444-a246-87128b9ce47c | warehouse_name: Osaka Distribution Center 58 | city: Osaka | state: Osaka | warehouse_capacity: 53028 | current_utilization: 69.85 | warehouse_type: Distribution
warehouse_id: d59c0dce-3545-4d55-88b4-973bba3fdabe | warehouse_name: Amsterdam Fulfilment Center 59 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 20098 | current_utilization: 69.86 | warehouse_type: Distribution
warehouse_id: 539e3dde-75b2-4887-9fd9-6b58abc5c27d | warehouse_name: Bremen Distribution Center 60 | city: Bremen | state: Bremen | warehouse_capacity: 63700 | current_utilization: 74.47 | warehouse_type: Distribution
warehouse_id: 6a927055-0e81-499b-a313-294230f71667 | warehouse_name: Chennai Regional Hub 61 | city: Chennai | state: Gujarat | warehouse_capacity: 68228 | current_utilization: 80.22 | warehouse_type: Distribution
warehouse_id: 714c464b-ed3e-4bff-a209-0caf5f3952db | warehouse_name: Tokyo Regional Hub 62 | city: Tokyo | state: Tokyo | warehouse_capacity: 95507 | current_utilization: 88.52 | warehouse_type: Regional
warehouse_id: 755436d9-c2c2-4eb5-94cf-1eea5eec428b | warehouse_name: Yokohama Regional Hub 63 | city: Yokohama | state: Yokohama | warehouse_capacity: 119356 | current_utilization: 67.05 | warehouse_type: Distribution
warehouse_id: 16d71d2f-3da9-46f7-baaf-8c1d149903e6 | warehouse_name: New York Bonded Warehouse 64 | city: New York | state: New York | warehouse_capacity: 119771 | current_utilization: 75.06 | warehouse_type: Distribution
warehouse_id: 4ef47676-c1ac-4e04-8f02-b323c6432e54 | warehouse_name: Amsterdam Bonded Warehouse 65 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 50470 | current_utilization: 81.46 | warehouse_type: Regional
warehouse_id: a640c1d0-67c5-4f6b-bffa-065e43bab936 | warehouse_name: Singapore Distribution Center 66 | city: Singapore | state: Singapore | warehouse_capacity: 31974 | current_utilization: 71.55 | warehouse_type: Distribution
warehouse_id: f9268ec8-e33d-4a7e-8062-9c07d7b0b945 | warehouse_name: Los Angeles Fulfilment Center 67 | city: Los Angeles | state: Los Angeles | warehouse_capacity: 75157 | current_utilization: 66.61 | warehouse_type: Regional
warehouse_id: e6e59e8f-78ab-4477-8aef-b1aae28d180f | warehouse_name: Ningbo Bonded Warehouse 68 | city: Ningbo | state: Ningbo | warehouse_capacity: 84069 | current_utilization: 91.72 | warehouse_type: Regional
warehouse_id: 67ae3565-3ae3-4e82-9386-5dea6a9d1123 | warehouse_name: Rotterdam Regional Hub 69 | city: Rotterdam | state: Rotterdam | warehouse_capacity: 91548 | current_utilization: 46.47 | warehouse_type: Distribution
warehouse_id: a7d13caa-27ce-4b7f-9041-44693eb90a36 | warehouse_name: Rotterdam Fulfilment Center 70 | city: Rotterdam | state: Rotterdam | warehouse_capacity: 14296 | current_utilization: 77.16 | warehouse_type: Regional
warehouse_id: f7f8e33d-de8b-4076-9189-b7555bc9a655 | warehouse_name: Dubai Regional Hub 71 | city: Dubai | state: Dubai | warehouse_capacity: 67756 | current_utilization: 73.79 | warehouse_type: Bonded
warehouse_id: 37cb15d8-70bf-4ff8-8969-ab942c871ead | warehouse_name: Amsterdam Regional Hub 72 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 110439 | current_utilization: 59.99 | warehouse_type: Distribution
warehouse_id: 8ed38164-db52-402c-a4ca-b2079568883c | warehouse_name: Yokohama Distribution Center 73 | city: Yokohama | state: Yokohama | warehouse_capacity: 18810 | current_utilization: 67.86 | warehouse_type: Distribution
warehouse_id: 79680500-a4e4-446f-bf47-7d3368ff65fe | warehouse_name: Abu Dhabi Regional Hub 74 | city: Abu Dhabi | state: Abu Dhabi | warehouse_capacity: 100922 | current_utilization: 64.05 | warehouse_type: Bonded
warehouse_id: dc22b864-2385-49fd-bd65-bbdd97b183e5 | warehouse_name: Singapore Fulfilment Center 75 | city: Singapore | state: Singapore | warehouse_capacity: 84443 | current_utilization: 50.57 | warehouse_type: Regional
warehouse_id: e5aa04ef-127c-462a-891f-385e01dc6925 | warehouse_name: Houston Distribution Center 76 | city: Houston | state: Houston | warehouse_capacity: 9754 | current_utilization: 47.6 | warehouse_type: Distribution
warehouse_id: 2d865a89-74b4-4279-9f76-90a08dbaf5e9 | warehouse_name: Frankfurt Distribution Center 77 | city: Frankfurt | state: Frankfurt | warehouse_capacity: 65569 | current_utilization: 79.6 | warehouse_type: Distribution
warehouse_id: 726b7c83-be95-4868-975b-46e25c6d17c9 | warehouse_name: Dubai Bonded Warehouse 78 | city: Dubai | state: Dubai | warehouse_capacity: 29460 | current_utilization: 81.99 | warehouse_type: Distribution
warehouse_id: b339bc72-3846-4563-b4d9-982821013a9c | warehouse_name: Rotterdam Distribution Center 79 | city: Rotterdam | state: Rotterdam | warehouse_capacity: 30152 | current_utilization: 59.71 | warehouse_type: Distribution
warehouse_id: f19cec92-208b-4426-b42a-de62a4fdeea2 | warehouse_name: London Bonded Warehouse 80 | city: London | state: London | warehouse_capacity: 16549 | current_utilization: 89.65 | warehouse_type: Regional
warehouse_id: 8882c9e0-6ed6-4c96-8ffc-a8659b2e3887 | warehouse_name: Bremen Fulfilment Center 81 | city: Bremen | state: Bremen | warehouse_capacity: 68711 | current_utilization: 50.65 | warehouse_type: Distribution
warehouse_id: 451fdf0e-9f6e-4a75-9c31-0e011462a5bc | warehouse_name: Houston Fulfilment Center 82 | city: Houston | state: Houston | warehouse_capacity: 86179 | current_utilization: 85.74 | warehouse_type: Distribution
warehouse_id: a416671b-21d0-4249-8674-19ff64064ef8 | warehouse_name: Osaka Distribution Center 83 | city: Osaka | state: Osaka | warehouse_capacity: 51449 | current_utilization: 79.79 | warehouse_type: Bonded
warehouse_id: ee0a3c95-baee-4d9b-9f4c-e046aa582c7d | warehouse_name: Frankfurt Regional Hub 84 | city: Frankfurt | state: Frankfurt | warehouse_capacity: 65543 | current_utilization: 66.83 | warehouse_type: Regional
warehouse_id: f4e2d2d3-c3b7-43b7-9595-f64eaaffd646 | warehouse_name: Osaka Bonded Warehouse 85 | city: Osaka | state: Osaka | warehouse_capacity: 37711 | current_utilization: 98.0 | warehouse_type: Regional
warehouse_id: 610f1dae-c8c8-486d-9d46-7ea467bf9a26 | warehouse_name: Mumbai Distribution Center 86 | city: Mumbai | state: West Bengal | warehouse_capacity: 25647 | current_utilization: 88.66 | warehouse_type: Regional
warehouse_id: 2be54c40-3d69-4060-954b-32a91a631b03 | warehouse_name: Kolkata Bonded Warehouse 87 | city: Kolkata | state: Karnataka | warehouse_capacity: 15657 | current_utilization: 85.42 | warehouse_type: Distribution
warehouse_id: 4bffcdba-5d83-4411-b5fc-35a9c63837b2 | warehouse_name: Los Angeles Bonded Warehouse 88 | city: Los Angeles | state: Los Angeles | warehouse_capacity: 29742 | current_utilization: 70.96 | warehouse_type: Distribution
warehouse_id: a180a71f-bace-4b2c-bf12-af9cebcde09b | warehouse_name: Busan Fulfilment Center 89 | city: Busan | state: Busan | warehouse_capacity: 55840 | current_utilization: 63.85 | warehouse_type: Distribution
warehouse_id: 8d91ebac-a3ad-4051-b1f2-01e85d9738ec | warehouse_name: Shanghai Fulfilment Center 90 | city: Shanghai | state: Shanghai | warehouse_capacity: 74206 | current_utilization: 68.07 | warehouse_type: Distribution
warehouse_id: 250e6020-db4d-4367-9f0a-ae55a56e7820 | warehouse_name: Amsterdam Distribution Center 91 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 81726 | current_utilization: 71.71 | warehouse_type: Distribution
warehouse_id: 8c480320-9c6e-410b-89e0-02731ff92cde | warehouse_name: Seoul Regional Hub 92 | city: Seoul | state: Seoul | warehouse_capacity: 86973 | current_utilization: 73.73 | warehouse_type: Distribution
warehouse_id: bc7f5f53-240f-44f2-bf7b-cc15e09731cc | warehouse_name: Amsterdam Fulfilment Center 93 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 52951 | current_utilization: 84.27 | warehouse_type: Regional
warehouse_id: 8634f151-7f4d-43a9-bf93-5fd2ec79fcde | warehouse_name: Incheon Bonded Warehouse 94 | city: Incheon | state: Incheon | warehouse_capacity: 27616 | current_utilization: 77.88 | warehouse_type: Bonded
warehouse_id: 540dc4e6-2e95-47c0-b884-60d7c9f69462 | warehouse_name: Amsterdam Bonded Warehouse 95 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 65713 | current_utilization: 82.94 | warehouse_type: Bonded
warehouse_id: 0a73ce57-4d37-4648-9de2-f06661ebcf54 | warehouse_name: Incheon Bonded Warehouse 96 | city: Incheon | state: Incheon | warehouse_capacity: 115661 | current_utilization: 71.06 | warehouse_type: Distribution
warehouse_id: 4882872d-6c29-43bd-a760-6dce770f7567 | warehouse_name: Singapore Bonded Warehouse 97 | city: Singapore | state: Singapore | warehouse_capacity: 33263 | current_utilization: 68.25 | warehouse_type: Regional
warehouse_id: d10eed5a-b05b-4cae-99e8-e7281c596fc1 | warehouse_name: Singapore Regional Hub 98 | city: Singapore | state: Singapore | warehouse_capacity: 41251 | current_utilization: 68.81 | warehouse_type: Distribution
warehouse_id: 3ff4fa42-e06e-4df5-9fee-8ffe4499ad6a | warehouse_name: Delhi Regional Hub 99 | city: Delhi | state: West Bengal | warehouse_capacity: 105324 | current_utilization: 66.07 | warehouse_type: Bonded
warehouse_id: 4a11f47c-8719-4c0b-9969-f3335c0a6838 | warehouse_name: Incheon Regional Hub 100 | city: Incheon | state: Incheon | warehouse_capacity: 49279 | current_utilization: 60.93 | warehouse_type: Distribution
warehouse_id: aea577b0-7384-4f54-b559-d0063e881986 | warehouse_name: Incheon Fulfilment Center 101 | city: Incheon | state: Incheon | warehouse_capacity: 74054 | current_utilization: 88.31 | warehouse_type: Regional
warehouse_id: 5c2816a7-0bb0-4b7c-a664-86b10522e0e3 | warehouse_name: New York Distribution Center 102 | city: New York | state: New York | warehouse_capacity: 38689 | current_utilization: 66.03 | warehouse_type: Distribution
warehouse_id: 5f9bf7b0-a4ca-4041-93cd-982fef34eff9 | warehouse_name: Delhi Bonded Warehouse 103 | city: Delhi | state: Delhi | warehouse_capacity: 23685 | current_utilization: 78.05 | warehouse_type: Bonded
warehouse_id: d1ad2296-9f40-4926-9105-76c729e8b377 | warehouse_name: Hamburg Fulfilment Center 104 | city: Hamburg | state: Hamburg | warehouse_capacity: 21465 | current_utilization: 86.65 | warehouse_type: Distribution
warehouse_id: 2be0b520-2948-4731-a5a8-682caf877a42 | warehouse_name: Chicago Fulfilment Center 105 | city: Chicago | state: Chicago | warehouse_capacity: 92469 | current_utilization: 76.63 | warehouse_type: Distribution
warehouse_id: 99948cf0-286e-4f9a-a06a-cd410bc56267 | warehouse_name: Bengaluru Bonded Warehouse 106 | city: Bengaluru | state: Telangana | warehouse_capacity: 113721 | current_utilization: 71.6 | warehouse_type: Regional
warehouse_id: 89f7bc54-5594-4528-9948-e1772a6f2a49 | warehouse_name: Ningbo Fulfilment Center 107 | city: Ningbo | state: Ningbo | warehouse_capacity: 60801 | current_utilization: 60.9 | warehouse_type: Distribution
warehouse_id: 79c0116e-ae7d-45e9-b339-13856e96df2e | warehouse_name: Houston Fulfilment Center 108 | city: Houston | state: Houston | warehouse_capacity: 65561 | current_utilization: 69.69 | warehouse_type: Bonded
warehouse_id: eddbca1d-93cb-4342-8546-242bd0baaca4 | warehouse_name: Sharjah Fulfilment Center 109 | city: Sharjah | state: Sharjah | warehouse_capacity: 115593 | current_utilization: 78.19 | warehouse_type: Regional
warehouse_id: 3fa4b62c-3b72-4ac1-9ac6-7315c364f57f | warehouse_name: Incheon Distribution Center 110 | city: Incheon | state: Incheon | warehouse_capacity: 31104 | current_utilization: 83.6 | warehouse_type: Distribution
warehouse_id: 5c54f3de-175b-46d3-904f-fb4f808ddea8 | warehouse_name: Delhi Regional Hub 111 | city: Delhi | state: West Bengal | warehouse_capacity: 22281 | current_utilization: 72.87 | warehouse_type: Distribution
warehouse_id: 007626a1-fbe1-4137-83fb-3f31aceabb4b | warehouse_name: Singapore Bonded Warehouse 112 | city: Singapore | state: Singapore | warehouse_capacity: 111604 | current_utilization: 81.19 | warehouse_type: Bonded
warehouse_id: 82e4b9fe-6b69-469f-97ff-e01adba8d4c2 | warehouse_name: Osaka Bonded Warehouse 113 | city: Osaka | state: Osaka | warehouse_capacity: 46731 | current_utilization: 93.0 | warehouse_type: Distribution
warehouse_id: 394f533e-dc15-44ea-82be-fef9e605529d | warehouse_name: Bremen Bonded Warehouse 114 | city: Bremen | state: Bremen | warehouse_capacity: 84877 | current_utilization: 83.4 | warehouse_type: Distribution
warehouse_id: d7fd5af0-d97f-467d-baa6-4b696285711f | warehouse_name: Rotterdam Distribution Center 115 | city: Rotterdam | state: Rotterdam | warehouse_capacity: 86105 | current_utilization: 77.89 | warehouse_type: Distribution
warehouse_id: 7f88f7e1-c96e-4843-b548-148e240b5adf | warehouse_name: Dubai Fulfilment Center 116 | city: Dubai | state: Dubai | warehouse_capacity: 98595 | current_utilization: 75.04 | warehouse_type: Distribution
warehouse_id: d11fdcb6-7615-43eb-8b9a-616537953a43 | warehouse_name: Bremen Distribution Center 117 | city: Bremen | state: Bremen | warehouse_capacity: 8259 | current_utilization: 68.8 | warehouse_type: Distribution
warehouse_id: 30549cde-0bdc-466e-b368-16194e5dc5fa | warehouse_name: Amsterdam Bonded Warehouse 118 | city: Amsterdam | state: Amsterdam | warehouse_capacity: 49553 | current_utilization: 98.0 | warehouse_type: Distribution
warehouse_id: 83cf9e38-e855-4d19-a341-2dc6ad8da482 | warehouse_name: Sharjah Regional Hub 119 | city: Sharjah | state: Sharjah | warehouse_capacity: 29483 | current_utilization: 60.62 | warehouse_type: Distribution
warehouse_id: 0c55a057-2d15-4313-ba41-43c405e7ccea | warehouse_name: Tokyo Regional Hub 120 | city: Tokyo | state: Tokyo | warehouse_capacity: 53320 | current_utilization: 76.9 | warehouse_type: Regional
warehouse_id: 61f04b7a-a915-4f24-a509-58fa5fc542cc | warehouse_name: Singapore Bonded Warehouse 121 | city: Singapore | state: Singapore | warehouse_capacity: 27509 | current_utilization: 59.6 | warehouse_type: Regional
warehouse_id: 1e8bd801-ccfe-47c1-a4f8-7d8fe0a22b36 | warehouse_name: Kolkata Fulfilment Center 122 | city: Kolkata | state: Maharashtra | warehouse_capacity: 92664 | current_utilization: 64.55 | warehouse_type: Regional
warehouse_id: c5be210d-9eab-4e01-909d-729aa48bd697 | warehouse_name: Incheon Regional Hub 123 | city: Incheon | state: Incheon | warehouse_capacity: 76451 | current_utilization: 80.16 | warehouse_type: Regional
warehouse_id: 9e7f14aa-ba80-4c71-b621-509bb5061225 | warehouse_name: Shanghai Bonded Warehouse 124 | city: Shanghai | state: Shanghai | warehouse_capacity: 90009 | current_utilization: 76.66 | warehouse_type: Regional
