Shipment_ID,Order_ID,Dispatch_Date,Carrier,Warehouse_ID,Estimated_Delivery,Shipment_Status
SHP0080,ORD0080,20-Jun-2026,Blue Dart,WH005,23-Jun-2026,Delivered
SHP0081,ORD0081,21-Jun-2026,Delhivery,WH001,24-Jun-2026,Delivered
SHP0082,ORD0082,22-Jun-2026,Blue Dart,WH002,25-Jun-2026,Delivered
SHP0083,ORD0083,23-Jun-2026,Blue Dart,WH003,26-Jun-2026,Delivered
SHP0084,ORD0084,24-Jun-2026,Blue Dart,WH004,27-Jun-2026,Delivered
SHP0085,ORD0085,25-Jun-2026,Blue Dart,WH005,28-Jun-2026,Delivered
SHP0086,ORD0086,26-Jun-2026,DTDC,WH001,29-Jun-2026,Delivered
SHP0087,ORD0087,27-Jun-2026,Delhivery,WH002,30-Jun-2026,Delivered
SHP0088,ORD0088,28-Jun-2026,Ecom Express,WH003,01-Jul-2026,Delivered
SHP0089,ORD0089,29-Jun-2026,XpressBees,WH004,02-Jul-2026,Dispatched
SHP0090,ORD0090,30-Jun-2026,Blue Dart,WH005,03-Jul-2026,Packed
SHP0091,ORD0091,01-Jul-2026,XpressBees,WH001,04-Jul-2026,Dispatched
SHP0092,ORD0092,02-Jul-2026,Blue Dart,WH002,05-Jul-2026,Packed
SHP0093,ORD0093,02-Apr-2026,Blue Dart,WH003,05-Apr-2026,Delivered
SHP0094,ORD0094,03-Apr-2026,DTDC,WH004,06-Apr-2026,Delivered
SHP0095,ORD0095,04-Apr-2026,Delhivery,WH005,07-Apr-2026,Delivered
SHP0096,ORD0096,05-Apr-2026,Ecom Express,WH001,08-Apr-2026,Delivered
SHP0097,ORD0097,06-Apr-2026,XpressBees,WH002,09-Apr-2026,Delivered
SHP0098,ORD0098,07-Apr-2026,XpressBees,WH003,10-Apr-2026,Delivered
SHP0099,ORD0099,08-Apr-2026,XpressBees,WH004,11-Apr-2026,Delivered
SHP0100,ORD0100,09-Apr-2026,Blue Dart,WH005,12-Apr-2026,Delivered
SHP0101,ORD0101,10-Apr-2026,Ecom Express,WH001,13-Apr-2026,Delivered
SHP0102,ORD0102,11-Apr-2026,Blue Dart,WH002,14-Apr-2026,Delivered
SHP0103,ORD0103,12-Apr-2026,Delhivery,WH003,15-Apr-2026,Delivered
SHP0104,ORD0104,13-Apr-2026,XpressBees,WH004,16-Apr-2026,Delivered
SHP0105,ORD0105,14-Apr-2026,Blue Dart,WH005,17-Apr-2026,Delivered
SHP0106,ORD0106,15-Apr-2026,Blue Dart,WH001,18-Apr-2026,Delivered
SHP0107,ORD0107,16-Apr-2026,XpressBees,WH002,19-Apr-2026,Delivered
SHP0108,ORD0108,17-Apr-2026,Ecom Express,WH003,20-Apr-2026,Delivered
SHP0109,ORD0109,18-Apr-2026,XpressBees,WH004,21-Apr-2026,Delivered
SHP0110,ORD0110,19-Apr-2026,DTDC,WH005,22-Apr-2026,Delivered
SHP0111,ORD0111,20-Apr-2026,Ecom Express,WH001,23-Apr-2026,Delivered
SHP0112,ORD0112,21-Apr-2026,Blue Dart,WH002,24-Apr-2026,Delivered
SHP0113,ORD0113,22-Apr-2026,Blue Dart,WH003,25-Apr-2026,Delivered
SHP0114,ORD0114,23-Apr-2026,XpressBees,WH004,26-Apr-2026,Delivered
SHP0115,ORD0115,24-Apr-2026,Delhivery,WH005,27-Apr-2026,Delivered
SHP0116,ORD0116,25-Apr-2026,Blue Dart,WH001,28-Apr-2026,Delivered
SHP0117,ORD0117,26-Apr-2026,Blue Dart,WH002,29-Apr-2026,Delivered
SHP0118,ORD0118,27-Apr-2026,Delhivery,WH003,30-Apr-2026,Delivered
SHP0119,ORD0119,28-Apr-2026,Ecom Express,WH004,01-May-2026,Delivered
SHP0120,ORD0120,29-Apr-2026,Ecom Express,WH005,02-May-2026,Delivered
SHP0121,ORD0121,30-Apr-2026,Blue Dart,WH001,03-May-2026,Delivered
SHP0122,ORD0122,01-May-2026,Ecom Express,WH002,04-May-2026,Delivered
SHP0123,ORD0123,02-May-2026,DTDC,WH003,05-May-2026,Delivered
SHP0124,ORD0124,03-May-2026,Delhivery,WH004,06-May-2026,Delivered
SHP0125,ORD0125,04-May-2026,DTDC,WH005,07-May-2026,Delivered
SHP0126,ORD0126,05-May-2026,XpressBees,WH001,08-May-2026,Delivered
SHP0127,ORD0127,06-May-2026,DTDC,WH002,09-May-2026,Delivered
SHP0128,ORD0128,07-May-2026,Blue Dart,WH003,10-May-2026,Delivered
SHP0129,ORD0129,08-May-2026,Ecom Express,WH004,11-May-2026,Delivered
SHP0130,ORD0130,09-May-2026,Blue Dart,WH005,12-May-2026,Delivered
SHP0131,ORD0131,10-May-2026,Ecom Express,WH001,13-May-2026,Delivered
SHP0132,ORD0132,11-May-2026,DTDC,WH002,14-May-2026,Delivered
SHP0133,ORD0133,12-May-2026,Delhivery,WH003,15-May-2026,Delivered
SHP0134,ORD0134,13-May-2026,Delhivery,WH004,16-May-2026,Delivered
SHP0135,ORD0135,14-May-2026,DTDC,WH005,17-May-2026,Delivered
SHP0136,ORD0136,15-May-2026,Ecom Express,WH001,18-May-2026,Delivered
SHP0137,ORD0137,16-May-2026,Ecom Express,WH002,19-May-2026,Delivered
SHP0138,ORD0138,17-May-2026,Blue Dart,WH003,20-May-2026,Delivered
SHP0139,ORD0139,18-May-2026,DTDC,WH004,21-May-2026,Delivered
SHP0140,ORD0140,19-May-2026,Ecom Express,WH005,22-May-2026,Delivered
SHP0141,ORD0141,20-May-2026,DTDC,WH001,23-May-2026,Delivered
SHP0142,ORD0142,21-May-2026,DTDC,WH002,24-May-2026,Delivered
SHP0143,ORD0143,22-May-2026,DTDC,WH003,25-May-2026,Delivered
SHP0144,ORD0144,23-May-2026,DTDC,WH004,26-May-2026,Delivered
SHP0145,ORD0145,24-May-2026,Blue Dart,WH005,27-May-2026,Delivered
SHP0146,ORD0146,25-May-2026,DTDC,WH001,28-May-2026,Delivered
SHP0147,ORD0147,26-May-2026,DTDC,WH002,29-May-2026,Delivered
SHP0148,ORD0148,27-May-2026,DTDC,WH003,30-May-2026,Delivered
SHP0149,ORD0149,28-May-2026,XpressBees,WH004,31-May-2026,Delivered
SHP0150,ORD0150,29-May-2026,XpressBees,WH005,01-Jun-2026,Delivered
SHP0151,ORD0151,30-May-2026,Blue Dart,WH001,02-Jun-2026,Delivered
SHP0152,ORD0152,31-May-2026,Delhivery,WH002,03-Jun-2026,Delivered
SHP0153,ORD0153,01-Jun-2026,DTDC,WH003,04-Jun-2026,Delivered
SHP0154,ORD0154,02-Jun-2026,Delhivery,WH004,05-Jun-2026,Delivered
SHP0155,ORD0155,03-Jun-2026,Blue Dart,WH005,06-Jun-2026,Delivered
SHP0156,ORD0156,04-Jun-2026,Blue Dart,WH001,07-Jun-2026,Delivered
SHP0157,ORD0157,05-Jun-2026,Delhivery,WH002,08-Jun-2026,Delivered
SHP0158,ORD0158,06-Jun-2026,Blue Dart,WH003,09-Jun-2026,Delivered
SHP0159,ORD0159,07-Jun-2026,XpressBees,WH004,10-Jun-2026,Delivered
SHP0160,ORD0160,08-Jun-2026,Delhivery,WH005,11-Jun-2026,Delivered
SHP0161,ORD0161,09-Jun-2026,Delhivery,WH001,12-Jun-2026,Delivered
SHP0162,ORD0162,10-Jun-2026,XpressBees,WH002,13-Jun-2026,Delivered
SHP0163,ORD0163,11-Jun-2026,DTDC,WH003,14-Jun-2026,Delivered
SHP0164,ORD0164,12-Jun-2026,Delhivery,WH004,15-Jun-2026,Delivered
SHP0165,ORD0165,13-Jun-2026,Blue Dart,WH005,16-Jun-2026,Delivered
SHP0166,ORD0166,14-Jun-2026,XpressBees,WH001,17-Jun-2026,Delivered
SHP0167,ORD0167,15-Jun-2026,XpressBees,WH002,18-Jun-2026,Delivered
SHP0168,ORD0168,16-Jun-2026,Delhivery,WH003,19-Jun-2026,Delivered
SHP0169,ORD0169,17-Jun-2026,Delhivery,WH004,20-Jun-2026,Delivered
SHP0170,ORD0170,18-Jun-2026,DTDC,WH005,21-Jun-2026,Delivered
SHP0171,ORD0171,19-Jun-2026,DTDC,WH001,22-Jun-2026,Delivered
SHP0172,ORD0172,20-Jun-2026,Ecom Express,WH002,23-Jun-2026,Delivered
SHP0173,ORD0173,21-Jun-2026,Ecom Express,WH003,24-Jun-2026,Delivered
SHP0174,ORD0174,22-Jun-2026,Blue Dart,WH004,25-Jun-2026,Delivered
SHP0175,ORD0175,23-Jun-2026,Delhivery,WH005,26-Jun-2026,Delivered
SHP0176,ORD0176,24-Jun-2026,Blue Dart,WH001,27-Jun-2026,Delivered
SHP0177,ORD0177,25-Jun-2026,XpressBees,WH002,28-Jun-2026,Delivered
SHP0178,ORD0178,26-Jun-2026,DTDC,WH003,29-Jun-2026,Delivered
SHP0179,ORD0179,27-Jun-2026,Ecom Express,WH004,30-Jun-2026,Delivered
SHP0180,ORD0180,28-Jun-2026,Ecom Express,WH005,01-Jul-2026,Delivered
SHP0181,ORD0181,29-Jun-2026,XpressBees,WH001,02-Jul-2026,Processing
SHP0182,ORD0182,30-Jun-2026,Delhivery,WH002,03-Jul-2026,Processing
SHP0183,ORD0183,01-Jul-2026,DTDC,WH003,04-Jul-2026,Packed
SHP0184,ORD0184,02-Jul-2026,Blue Dart,WH004,05-Jul-2026,Dispatched
SHP0185,ORD0185,02-Apr-2026,Ecom Express,WH005,05-Apr-2026,Delivered
SHP0186,ORD0186,03-Apr-2026,XpressBees,WH001,06-Apr-2026,Delivered
SHP0187,ORD0187,04-Apr-2026,DTDC,WH002,07-Apr-2026,Delivered
SHP0188,ORD0188,05-Apr-2026,Delhivery,WH003,08-Apr-2026,Delivered
SHP0189,ORD0189,06-Apr-2026,XpressBees,WH004,09-Apr-2026,Delivered
SHP0190,ORD0190,07-Apr-2026,Delhivery,WH005,10-Apr-2026,Delivered
SHP0191,ORD0191,08-Apr-2026,DTDC,WH001,11-Apr-2026,Delivered
SHP0192,ORD0192,09-Apr-2026,Blue Dart,WH002,12-Apr-2026,Delivered
SHP0193,ORD0193,10-Apr-2026,Delhivery,WH003,13-Apr-2026,Delivered
SHP0194,ORD0194,11-Apr-2026,Ecom Express,WH004,14-Apr-2026,Delivered
SHP0195,ORD0195,12-Apr-2026,XpressBees,WH005,15-Apr-2026,Delivered
SHP0196,ORD0196,13-Apr-2026,Delhivery,WH001,16-Apr-2026,Delivered
SHP0197,ORD0197,14-Apr-2026,Delhivery,WH002,17-Apr-2026,Delivered
SHP0198,ORD0198,15-Apr-2026,DTDC,WH003,18-Apr-2026,Delivered
SHP0199,ORD0199,16-Apr-2026,Ecom Express,WH004,19-Apr-2026,Delivered
SHP0200,ORD0200,17-Apr-2026,Delhivery,WH005,20-Apr-2026,Delivered
SHP0201,ORD0201,18-Apr-2026,Delhivery,WH001,21-Apr-2026,Delivered
SHP0202,ORD0202,19-Apr-2026,Delhivery,WH002,22-Apr-2026,Delivered
SHP0203,ORD0203,20-Apr-2026,Delhivery,WH003,23-Apr-2026,Delivered
SHP0204,ORD0204,21-Apr-2026,Blue Dart,WH004,24-Apr-2026,Delivered
SHP0205,ORD0205,22-Apr-2026,Ecom Express,WH005,25-Apr-2026,Delivered
SHP0206,ORD0206,23-Apr-2026,XpressBees,WH001,26-Apr-2026,Delivered
SHP0207,ORD0207,24-Apr-2026,Delhivery,WH002,27-Apr-2026,Delivered
SHP0208,ORD0208,25-Apr-2026,Blue Dart,WH003,28-Apr-2026,Delivered
SHP0209,ORD0209,26-Apr-2026,XpressBees,WH004,29-Apr-2026,Delivered
SHP0210,ORD0210,27-Apr-2026,Ecom Express,WH005,30-Apr-2026,Delivered
SHP0211,ORD0211,28-Apr-2026,Ecom Express,WH001,01-May-2026,Delivered
SHP0212,ORD0212,29-Apr-2026,XpressBees,WH002,02-May-2026,Delivered
SHP0213,ORD0213,30-Apr-2026,Ecom Express,WH003,03-May-2026,Delivered
SHP0214,ORD0214,01-May-2026,DTDC,WH004,04-May-2026,Delivered
SHP0215,ORD0215,02-May-2026,Ecom Express,WH005,05-May-2026,Delivered
SHP0216,ORD0216,03-May-2026,Ecom Express,WH001,06-May-2026,Delivered
SHP0217,ORD0217,04-May-2026,XpressBees,WH002,07-May-2026,Delivered
SHP0218,ORD0218,05-May-2026,XpressBees,WH003,08-May-2026,Delivered
SHP0219,ORD0219,06-May-2026,Delhivery,WH004,09-May-2026,Delivered
SHP0220,ORD0220,07-May-2026,DTDC,WH005,10-May-2026,Delivered
SHP0221,ORD0221,08-May-2026,XpressBees,WH001,11-May-2026,Delivered
SHP0222,ORD0222,09-May-2026,DTDC,WH002,12-May-2026,Delivered
SHP0223,ORD0223,10-May-2026,DTDC,WH003,13-May-2026,Delivered
SHP0224,ORD0224,11-May-2026,DTDC,WH004,14-May-2026,Delivered
SHP0225,ORD0225,12-May-2026,Blue Dart,WH005,15-May-2026,Delivered
SHP0226,ORD0226,13-May-2026,Delhivery,WH001,16-May-2026,Delivered
SHP0227,ORD0227,14-May-2026,Delhivery,WH002,17-May-2026,Delivered
SHP0228,ORD0228,15-May-2026,Blue Dart,WH003,18-May-2026,Delivered
SHP0229,ORD0229,16-May-2026,DTDC,WH004,19-May-2026,Delivered
SHP0230,ORD0230,17-May-2026,XpressBees,WH005,20-May-2026,Delivered
SHP0231,ORD0231,18-May-2026,XpressBees,WH001,21-May-2026,Delivered
SHP0232,ORD0232,19-May-2026,Blue Dart,WH002,22-May-2026,Delivered
SHP0233,ORD0233,20-May-2026,XpressBees,WH003,23-May-2026,Delivered
SHP0234,ORD0234,21-May-2026,DTDC,WH004,24-May-2026,Delivered
SHP0235,ORD0235,22-May-2026,XpressBees,WH005,25-May-2026,Delivered
SHP0236,ORD0236,23-May-2026,Ecom Express,WH001,26-May-2026,Delivered
SHP0237,ORD0237,24-May-2026,Delhivery,WH002,27-May-2026,Delivered
SHP0238,ORD0238,25-May-2026,DTDC,WH003,28-May-2026,Delivered
SHP0239,ORD0239,26-May-2026,Blue Dart,WH004,29-May-2026,Delivered
SHP0240,ORD0240,27-May-2026,XpressBees,WH005,30-May-2026,Delivered
SHP0241,ORD0241,28-May-2026,XpressBees,WH001,31-May-2026,Delivered
SHP0242,ORD0242,29-May-2026,Ecom Express,WH002,01-Jun-2026,Delivered
SHP0243,ORD0243,30-May-2026,XpressBees,WH003,02-Jun-2026,Delivered
SHP0244,ORD0244,31-May-2026,Blue Dart,WH004,03-Jun-2026,Delivered
SHP0245,ORD0245,01-Jun-2026,XpressBees,WH005,04-Jun-2026,Delivered
SHP0246,ORD0246,02-Jun-2026,Delhivery,WH001,05-Jun-2026,Delivered
SHP0247,ORD0247,03-Jun-2026,XpressBees,WH002,06-Jun-2026,Delivered
SHP0248,ORD0248,04-Jun-2026,XpressBees,WH003,07-Jun-2026,Delivered
SHP0249,ORD0249,05-Jun-2026,XpressBees,WH004,08-Jun-2026,Delivered
SHP0250,ORD0250,06-Jun-2026,DTDC,WH005,09-Jun-2026,Delivered
SHP0251,ORD0251,07-Jun-2026,XpressBees,WH001,10-Jun-2026,Delivered
SHP0252,ORD0252,08-Jun-2026,Ecom Express,WH002,11-Jun-2026,Delivered
SHP0253,ORD0253,09-Jun-2026,Delhivery,WH003,12-Jun-2026,Delivered
SHP0254,ORD0254,10-Jun-2026,Blue Dart,WH004,13-Jun-2026,Delivered
SHP0255,ORD0255,11-Jun-2026,Delhivery,WH005,14-Jun-2026,Delivered
SHP0256,ORD0256,12-Jun-2026,Ecom Express,WH001,15-Jun-2026,Delivered
SHP0257,ORD0257,13-Jun-2026,Delhivery,WH002,16-Jun-2026,Delivered
SHP0258,ORD0258,14-Jun-2026,Blue Dart,WH003,17-Jun-2026,Delivered
SHP0259,ORD0259,15-Jun-2026,XpressBees,WH004,18-Jun-2026,Delivered
SHP0260,ORD0260,16-Jun-2026,DTDC,WH005,19-Jun-2026,Delivered
SHP0261,ORD0261,17-Jun-2026,Ecom Express,WH001,20-Jun-2026,Delivered
SHP0262,ORD0262,18-Jun-2026,Blue Dart,WH002,21-Jun-2026,Delivered
SHP0263,ORD0263,19-Jun-2026,DTDC,WH003,22-Jun-2026,Delivered
SHP0264,ORD0264,20-Jun-2026,Blue Dart,WH004,23-Jun-2026,Delivered
SHP0265,ORD0265,21-Jun-2026,Ecom Express,WH005,24-Jun-2026,Delivered
SHP0266,ORD0266,22-Jun-2026,XpressBees,WH001,25-Jun-2026,Delivered
SHP0267,ORD0267,23-Jun-2026,Blue Dart,WH002,26-Jun-2026,Delivered
SHP0268,ORD0268,24-Jun-2026,Delhivery,WH003,27-Jun-2026,Delivered
SHP0269,ORD0269,25-Jun-2026,DTDC,WH004,28-Jun-2026,Delivered
SHP0270,ORD0270,26-Jun-2026,Ecom Express,WH005,29-Jun-2026,Delivered
SHP0271,ORD0271,27-Jun-2026,Ecom Express,WH001,30-Jun-2026,Delivered
SHP0272,ORD0272,28-Jun-2026,DTDC,WH002,01-Jul-2026,Delivered
SHP0273,ORD0273,29-Jun-2026,DTDC,WH003,02-Jul-2026,Dispatched
SHP0274,ORD0274,30-Jun-2026,DTDC,WH004,03-Jul-2026,Processing
SHP0275,ORD0275,01-Jul-2026,XpressBees,WH005,04-Jul-2026,Processing
SHP0276,ORD0276,02-Jul-2026,XpressBees,WH001,05-Jul-2026,Processing
SHP0277,ORD0277,02-Apr-2026,XpressBees,WH002,05-Apr-2026,Delivered
SHP0278,ORD0278,03-Apr-2026,Ecom Express,WH003,06-Apr-2026,Delivered
SHP0279,ORD0279,04-Apr-2026,Ecom Express,WH004,07-Apr-2026,Delivered
SHP0280,ORD0280,05-Apr-2026,XpressBees,WH005,08-Apr-2026,Delivered
SHP0281,ORD0281,06-Apr-2026,Ecom Express,WH001,09-Apr-2026,Delivered
SHP0282,ORD0282,07-Apr-2026,Delhivery,WH002,10-Apr-2026,Delivered
SHP0283,ORD0283,08-Apr-2026,DTDC,WH003,11-Apr-2026,Delivered
SHP0284,ORD0284,09-Apr-2026,Delhivery,WH004,12-Apr-2026,Delivered
SHP0285,ORD0285,10-Apr-2026,Ecom Express,WH005,13-Apr-2026,Delivered
SHP0286,ORD0286,11-Apr-2026,XpressBees,WH001,14-Apr-2026,Delivered
SHP0287,ORD0287,12-Apr-2026,XpressBees,WH002,15-Apr-2026,Delivered
SHP0288,ORD0288,13-Apr-2026,Delhivery,WH003,16-Apr-2026,Delivered
SHP0289,ORD0289,14-Apr-2026,DTDC,WH004,17-Apr-2026,Delivered
SHP0290,ORD0290,15-Apr-2026,DTDC,WH005,18-Apr-2026,Delivered
SHP0291,ORD0291,16-Apr-2026,DTDC,WH001,19-Apr-2026,Delivered
SHP0292,ORD0292,17-Apr-2026,Ecom Express,WH002,20-Apr-2026,Delivered
SHP0293,ORD0293,18-Apr-2026,Delhivery,WH003,21-Apr-2026,Delivered
SHP0294,ORD0294,19-Apr-2026,XpressBees,WH004,22-Apr-2026,Delivered
SHP0295,ORD0295,20-Apr-2026,XpressBees,WH005,23-Apr-2026,Delivered
SHP0296,ORD0296,21-Apr-2026,XpressBees,WH001,24-Apr-2026,Delivered
SHP0297,ORD0297,22-Apr-2026,Blue Dart,WH002,25-Apr-2026,Delivered
SHP0298,ORD0298,23-Apr-2026,XpressBees,WH003,26-Apr-2026,Delivered
SHP0299,ORD0299,24-Apr-2026,DTDC,WH004,27-Apr-2026,Delivered
SHP0300,ORD0300,25-Apr-2026,DTDC,WH005,28-Apr-2026,Delivered
